l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
39629,4100,17155,138000,,,,East,,,67978.3069149566,,,,,"","SRID=4326;LINESTRING(-150.031772702011 61.2488012526079,-151.036866688936 61.1862526947996)"
34056,10801,10802,,3,,,,,,63701.9672637613,,,,,"","SRID=4326;LINESTRING(-148.947501659388 63.8560450585866,-148.86997056585 63.3855665003009)"
28098,4100,4260,230000,,,,,,,11132.2499049956,,,,,"","SRID=4326;LINESTRING(-150.031772702011 61.2488012526079,-149.916201623257 61.3076712424954)"
39628,4100,17155,230000,,,,,,,68150.1009726787,,,,,"","SRID=4326;LINESTRING(-150.031772702011 61.2488012526079,-151.036866688936 61.1862526947996)"
24569,17110,27733,,3,,,,,,41845.5334518184,,,,,"","SRID=4326;LINESTRING(-149.97027596283 62.1330919639982,-150.024342197307 61.7643976745039)"
24568,17111,27733,,,,,,,,3.40667810775738,,,,,"","SRID=4326;LINESTRING(-150.022665761323 61.7641070852412,-150.024342197307 61.7643976745039)"
27961,10800,4100,230000,,,,,,,41626.6577646019,,,,,"","SRID=4326;LINESTRING(-149.611747650403 61.5238810973876,-150.031772702011 61.2488012526079)"
37074,10801,14440,,3,,,,,,155425.965373587,,,,,"","SRID=4326;LINESTRING(-148.947501659388 63.8560450585866,-147.724621465527 64.8160654214672)"
24570,10800,27733,,3,,,,,,40745.1431081538,,,,,"","SRID=4326;LINESTRING(-149.611747650403 61.5238810973876,-150.024342197307 61.7643976745039)"
39630,4100,17155,230000,,,,,,,68070.8749010781,,,,,"","SRID=4326;LINESTRING(-150.031772702011 61.2488012526079,-151.036866688936 61.1862526947996)"
39602,10802,17110,,3,,,,,,166399.225201487,,,,,"","SRID=4326;LINESTRING(-148.86997056585 63.3855665003009,-149.97027596283 62.1330919639982)"
