v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
27733,-150.024342197307,61.7643976745039,joint,,,,,,SRID=4326;POINT(-150.024342197307 61.7643976745039)
17111,-150.022665761323,61.7641070852412,substation,,,,,,SRID=4326;POINT(-150.022665761323 61.7641070852412)
10801,-148.947501659388,63.8560450585866,substation,,,,,,SRID=4326;POINT(-148.947501659388 63.8560450585866)
14440,-147.724621465527,64.8160654214672,substation,,,,,,SRID=4326;POINT(-147.724621465527 64.8160654214672)
17155,-151.036866688936,61.1862526947996,substation,,,,,,SRID=4326;POINT(-151.036866688936 61.1862526947996)
17110,-149.97027596283,62.1330919639982,substation,,,,,,SRID=4326;POINT(-149.97027596283 62.1330919639982)
10802,-148.86997056585,63.3855665003009,substation,,,,,,SRID=4326;POINT(-148.86997056585 63.3855665003009)
10800,-149.611747650403,61.5238810973876,station,,,,,,SRID=4326;POINT(-149.611747650403 61.5238810973876)
4260,-149.916201623257,61.3076712424954,station,,,West terminal Substation,,,SRID=4326;POINT(-149.916201623257 61.3076712424954)
4100,-150.031772702011,61.2488012526079,station,,,Point McKenzie Substation,,,SRID=4326;POINT(-150.031772702011 61.2488012526079)
