l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
14863,8712,23254,230000,3,,60,,,,7703.56835983972,,,,,"","SRID=4326;LINESTRING(-111.99513029811 32.9603230385099,-111.996271373111 33.0312261019256)"
11655,13653,21840,230000,3,,60,,,,2346.36496529731,,,,,"","SRID=4326;LINESTRING(-111.918386869662 33.4506352329243,-111.941262946856 33.4473994146979)"
38097,2659,15532,500000,3,3,60,,,,1085.39144212039,,,,,"","SRID=4326;LINESTRING(-112.843500961904 33.3347327146892,-112.843245680441 33.3463659289826)"
148,31218,29701,,,,,,,,248.817395386713,,,,,"","SRID=4326;LINESTRING(-114.738454745372 36.0135822066092,-114.737497314428 36.0131544679032)"
33772,24029,10421,230000,6;3;3;6;6;6,,60,,,,8020.07401137987,,,,,"","SRID=4326;LINESTRING(-111.454936701432 32.9448892074848,-111.50870960919 32.9162326621978)"
28598,29822,4891,,,,,,,,3506.6159989749,,,,,"","SRID=4326;LINESTRING(-112.134431982733 33.4404523775882,-112.095231046962 33.4409003019645)"
5416,3840,28438,500000,3,2,60,,,,210802.673485101,,,,,"","SRID=4326;LINESTRING(-111.037330871464 33.3391737161161,-110.303197343718 34.9383025522753)"
38096,2656,15532,500000,3,3,60,,,,244.337418010873,,,,,"","SRID=4326;LINESTRING(-112.852132167522 33.3458527627282,-112.843245680441 33.3463659289826)"
5095,20199,28280,230000,9,2,60,,,,2469.05228941373,,,,,"","SRID=4326;LINESTRING(-112.013400898106 33.6553751680524,-112.041223686263 33.6544296337147)"
14788,8631,23215,230000,3,,60,,,,2647.54605105948,,,,,"","SRID=4326;LINESTRING(-113.204758212636 35.2393290337025,-113.204686440782 35.2629292187647)"
23229,13094,27134,,,,,,,,865.810873180257,,,,,"","SRID=4326;LINESTRING(-110.290572145397 31.5406375891212,-110.300437528968 31.5402145130088)"
14846,21836,23245,230000,3,,60,,,,169.914973319701,,,,,"","SRID=4326;LINESTRING(-111.936069606536 33.4344575161744,-111.934238660324 33.4346486040599)"
11651,6022,21838,230000,6,,60,,,,654.627809809811,,,,,"","SRID=4326;LINESTRING(-111.945040741524 33.4287207134039,-111.943064877485 33.4351317569189)"
3243,7778,31004,230000,3,1,60,,,,824.490047484933,,,,,"","SRID=4326;LINESTRING(-111.65394141964 35.1756534376433,-111.660891121678 35.1687208181656)"
36849,4642,14255,,,,,,,,1476.64067274667,,,,,"","SRID=4326;LINESTRING(-111.934558940585 33.3076573995592,-111.949717592337 33.304818196332)"
21349,19179,19180,230000,3,,,,,,208.877172947078,,,,,"","SRID=4326;LINESTRING(-111.747588327557 33.3554041917358,-111.747648424849 33.3573017841053)"
7737,2656,29257,500000,3,2,60,,,,237.100610085541,,,,,"","SRID=4326;LINESTRING(-112.852132167522 33.3458527627282,-112.861050876618 33.3458220626378)"
29869,29272,6337,230000,3,2,60,,,,51885.1858392231,,,,,"","SRID=4326;LINESTRING(-111.298700541335 32.553989936725,-111.794745943762 32.6253014841056)"
21347,19178,19179,230000,3,,,,,,210.843969562764,,,,,"","SRID=4326;LINESTRING(-111.74784650337 33.3573078617368,-111.747588327557 33.3554041917358)"
27789,3880,3885,230000,6,,,,,,6682.21036162463,,,,,"","SRID=4326;LINESTRING(-111.941983967192 33.3518168056261,-111.965291916242 33.2918690849065)"
36804,26162,14224,,,,,,,,1249.8567907483,,,,,"","SRID=4326;LINESTRING(-111.910593834236 33.2910620829026,-111.910588254597 33.3031901998055)"
18317,11849,24795,,2,,,,,,1162.59583152569,,,,,"","SRID=4326;LINESTRING(-112.212414336975 33.5412506066747,-112.21165432024 33.5527203541629)"
21206,26169,26167,,,,,,,,3733.04645328989,,,,,"","SRID=4326;LINESTRING(-111.875671378408 33.2182832881637,-111.89302404492 33.2379809201505)"
32624,6337,9161,230000,3,2,60,,,,14453.1331631745,,,,,"","SRID=4326;LINESTRING(-111.794745943762 32.6253014841056,-111.884637810818 32.516929305719)"
20779,3784,25974,,,,,,,,209.170589528212,,,,,"","SRID=4326;LINESTRING(-112.317070092036 33.4101446175985,-112.321818406625 33.4129496070916)"
21346,3851,19179,230000,6,,,,,,2579.83970828662,,,,,"","SRID=4326;LINESTRING(-111.748298781162 33.3300718300034,-111.747588327557 33.3554041917358)"
38095,2656,15532,500000,3,3,60,,,,252.34454275216,,,,,"","SRID=4326;LINESTRING(-112.852132167522 33.3458527627282,-112.843245680441 33.3463659289826)"
7950,2056,29344,230000,3,1,60,,,,44183.8347298793,,,,,"","SRID=4326;LINESTRING(-114.086302813057 35.1383584557283,-114.565594428983 35.194728375003)"
29864,3784,6332,230000,6;3;6;6,,60,,,,2870.54844860914,,,,,"","SRID=4326;LINESTRING(-112.317070092036 33.4101446175985,-112.284175307668 33.40583254619)"
10040,3518,21109,230000,3;6,2,,,,,121.255795896868,,,,,"","SRID=4326;LINESTRING(-112.273467860639 33.8023302406774,-112.271136536273 33.800585365807)"
