v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
21106,-112.272399298068,33.7988818793401,joint,500000;230000;500000;230000,60,,,,SRID=4326;POINT(-112.272399298068 33.7988818793401)
4579,-111.981160270129,33.6809615412099,substation,,,,,,SRID=4326;POINT(-111.981160270129 33.6809615412099)
14181,-112.273200871804,33.5221345812205,substation,,,,,,SRID=4326;POINT(-112.273200871804 33.5221345812205)
23231,-111.911857584178,33.4287767886866,joint,230000,60,,,,SRID=4326;POINT(-111.911857584178 33.4287767886866)
21839,-111.941598018457,33.4468568907041,joint,230000,60,,,,SRID=4326;POINT(-111.941598018457 33.4468568907041)
3518,-112.273467860639,33.8023302406774,substation,,,,Arizona Public Service Company,,SRID=4326;POINT(-112.273467860639 33.8023302406774)
3790,-111.886152560394,33.7445058200835,substation,,,Dale Substation,Arizona Public Service,,SRID=4326;POINT(-111.886152560394 33.7445058200835)
14046,-112.530911552084,33.6738764355985,substation,,,Future Arizona Public Service Substation,,,SRID=4326;POINT(-112.530911552084 33.6738764355985)
4784,-111.990575507382,33.4872539018791,substation,,,,,,SRID=4326;POINT(-111.990575507382 33.4872539018791)
13648,-111.422191496692,33.0076902581715,substation,,,,,,SRID=4326;POINT(-111.422191496692 33.0076902581715)
26168,-111.89302934498,33.2381918243858,joint,,,,,,SRID=4326;POINT(-111.89302934498 33.2381918243858)
26004,-112.499022145695,33.7542701234493,joint,,,,,,SRID=4326;POINT(-112.499022145695 33.7542701234493)
26107,-111.836833705246,33.276497100034,joint,,,,,,SRID=4326;POINT(-111.836833705246 33.276497100034)
10418,-111.939507599483,33.4632354060556,substation,,,,Salt River Project,,SRID=4326;POINT(-111.939507599483 33.4632354060556)
29257,-112.861050876618,33.3458220626378,merge,,,,,,SRID=4326;POINT(-112.861050876618 33.3458220626378)
8670,-111.864841126738,33.6362829886223,substation,,,,Arizona Public Service Company,,SRID=4326;POINT(-111.864841126738 33.6362829886223)
21073,-111.765168267836,33.7700778240776,joint,345000,60,,PNM,,SRID=4326;POINT(-111.765168267836 33.7700778240776)
23232,-111.915082266553,33.4289134603721,joint,230000;115000,60,,,,SRID=4326;POINT(-111.915082266553 33.4289134603721)
24021,-112.203767201877,33.5533739856443,joint,230000,60,,,,SRID=4326;POINT(-112.203767201877 33.5533739856443)
26178,-111.889684647683,33.3024997235761,joint,,,,,,SRID=4326;POINT(-111.889684647683 33.3024997235761)
14325,-111.805871098494,33.2222384548526,substation,,,,,,SRID=4326;POINT(-111.805871098494 33.2222384548526)
4527,-112.129118428379,33.5715026885962,substation,,,,Arizona Public Service Company,,SRID=4326;POINT(-112.129118428379 33.5715026885962)
30932,-110.925950484482,31.9984878823864,joint,345000;138000,,,,,SRID=4326;POINT(-110.925950484482 31.9984878823864)
29053,-111.562351701805,32.8702553459169,merge,,,,,,SRID=4326;POINT(-111.562351701805 32.8702553459169)
21838,-111.943064877485,33.4351317569189,joint,230000,60,,,,SRID=4326;POINT(-111.943064877485 33.4351317569189)
1707,-112.125490536272,33.7456849644851,substation,,,,,,SRID=4326;POINT(-112.125490536272 33.7456849644851)
1318,-112.01457744433,33.5810542909931,substation,,,,,,SRID=4326;POINT(-112.01457744433 33.5810542909931)
9559,-112.030015563622,34.8466137430856,substation,,,,,,SRID=4326;POINT(-112.030015563622 34.8466137430856)
24029,-111.454936701432,32.9448892074848,joint,230000,60,,,,SRID=4326;POINT(-111.454936701432 32.9448892074848)
21083,-112.283801883464,33.7067339540415,joint,230000,60,,,,SRID=4326;POINT(-112.283801883464 33.7067339540415)
9147,-111.997111697227,32.8788654070181,substation,,,,,,SRID=4326;POINT(-111.997111697227 32.8788654070181)
19790,-111.996266791703,33.6769674108128,joint,230000,60,,,,SRID=4326;POINT(-111.996266791703 33.6769674108128)
26069,-112.603407459688,33.8342639869111,joint,,,,,,SRID=4326;POINT(-112.603407459688 33.8342639869111)
11231,-111.885124302494,33.2465629440301,substation,,,RS-28,,,SRID=4326;POINT(-111.885124302494 33.2465629440301)
8628,-114.107558313975,35.199910972547,substation,,,,,,SRID=4326;POINT(-114.107558313975 35.199910972547)
28285,-111.875852164359,33.3314470390817,merge,,,,,,SRID=4326;POINT(-111.875852164359 33.3314470390817)
28437,-111.395189188684,35.182766459266,merge,,,Flagstaff Substation,,,SRID=4326;POINT(-111.395189188684 35.182766459266)
9545,-109.313117857145,33.0294331256929,substation,,,,,,SRID=4326;POINT(-109.313117857145 33.0294331256929)
8669,-111.839099491771,33.5911205009084,substation,,,,,,SRID=4326;POINT(-111.839099491771 33.5911205009084)
13709,-112.012256308855,33.4875151535037,substation,,,,,,SRID=4326;POINT(-112.012256308855 33.4875151535037)
1780,-114.454981656566,34.9082015732992,substation,,,,,,SRID=4326;POINT(-114.454981656566 34.9082015732992)
29247,-111.833413958295,33.2453019678425,merge,,,Schrader Substation,,,SRID=4326;POINT(-111.833413958295 33.2453019678425)
9161,-111.884637810818,32.516929305719,substation,,,,,,SRID=4326;POINT(-111.884637810818 32.516929305719)
30461,-114.558690619699,35.1723829112444,joint,,,,,,SRID=4326;POINT(-114.558690619699 35.1723829112444)
3834,-112.262440369426,33.8163905722678,substation,,,Morgan Substation (TS-9),,,SRID=4326;POINT(-112.262440369426 33.8163905722678)
19151,-112.461236579394,33.3993453071791,joint,500000;230000;230000,60,,,,SRID=4326;POINT(-112.461236579394 33.3993453071791)
10414,-112.185354061203,33.5360345172127,substation,,,,,,SRID=4326;POINT(-112.185354061203 33.5360345172127)
4595,-112.084648040312,33.3767222458816,substation,,,,,,SRID=4326;POINT(-112.084648040312 33.3767222458816)
7110,-110.813135769582,32.0699786897671,substation,,,Vail Substation,,,SRID=4326;POINT(-110.813135769582 32.0699786897671)
8711,-111.775027203482,32.8854743005477,substation,,,,,,SRID=4326;POINT(-111.775027203482 32.8854743005477)
19791,-111.996255023773,33.669725517282,joint,230000,60,,,,SRID=4326;POINT(-111.996255023773 33.669725517282)
7446,-110.235787164641,36.781940085433,substation,,,,,,SRID=4326;POINT(-110.235787164641 36.781940085433)
26191,-112.257490947444,33.5232467014115,joint,,,,,,SRID=4326;POINT(-112.257490947444 33.5232467014115)
21047,-111.401156541666,36.8960947181221,joint,230000,60,,,,SRID=4326;POINT(-111.401156541666 36.8960947181221)
21837,-111.935922731987,33.4345995764511,joint,230000,60,,,,SRID=4326;POINT(-111.935922731987 33.4345995764511)
4499,-112.199504341249,33.5967570686135,substation,,,,,,SRID=4326;POINT(-112.199504341249 33.5967570686135)
7826,-112.134480411605,33.7088771657325,substation,,,,APS,,SRID=4326;POINT(-112.134480411605 33.7088771657325)
21145,-112.298669001416,33.5577970789517,joint,230000;345000;230000;345000,60,,,,SRID=4326;POINT(-112.298669001416 33.5577970789517)
1781,-114.345868281089,34.561765827337,substation,,,,,,SRID=4326;POINT(-114.345868281089 34.561765827337)
20116,-114.547420304679,35.1553934054975,joint,,,,,,SRID=4326;POINT(-114.547420304679 35.1553934054975)
21109,-112.271136536273,33.800585365807,joint,230000,60,,,,SRID=4326;POINT(-112.271136536273 33.800585365807)
15532,-112.843245680441,33.3463659289826,substation,500000,,Sun Streams Project,,,SRID=4326;POINT(-112.843245680441 33.3463659289826)
3899,-112.318577261136,33.4520936552216,substation,,,,,,SRID=4326;POINT(-112.318577261136 33.4520936552216)
24028,-111.531672499801,33.0059756662009,joint,230000;69000;69000;230000,60,,,,SRID=4326;POINT(-111.531672499801 33.0059756662009)
23254,-111.996271373111,33.0312261019256,joint,230000,60,,,,SRID=4326;POINT(-111.996271373111 33.0312261019256)
19181,-111.701232474119,33.2905403591809,joint,,,,,,SRID=4326;POINT(-111.701232474119 33.2905403591809)
20202,-111.931611716938,33.698253416025,joint,230000,60,,,,SRID=4326;POINT(-111.931611716938 33.698253416025)
7808,-111.829481492604,33.4227015619804,substation,,,North Lewis Center,,,SRID=4326;POINT(-111.829481492604 33.4227015619804)
13729,-111.712367731997,33.218669231366,substation,,,,,,SRID=4326;POINT(-111.712367731997 33.218669231366)
21552,-112.218282000575,33.5595054983682,joint,230000,60,,,,SRID=4326;POINT(-112.218282000575 33.5595054983682)
23630,-109.898201229818,32.0587311145649,joint,230000,60,,,,SRID=4326;POINT(-109.898201229818 32.0587311145649)
13669,-111.887737702187,33.6201783833009,substation,,,,,,SRID=4326;POINT(-111.887737702187 33.6201783833009)
26019,-112.533723975289,33.7387713142644,joint,,,,,,SRID=4326;POINT(-112.533723975289 33.7387713142644)
23228,-111.909334396208,33.4253465063037,joint,,60,,,,SRID=4326;POINT(-111.909334396208 33.4253465063037)
29042,-112.153550184213,33.4420554474523,merge,,,,Arizona Public Service Company,,SRID=4326;POINT(-112.153550184213 33.4420554474523)
2649,-114.347381025712,32.8678715078376,substation,,,,,,SRID=4326;POINT(-114.347381025712 32.8678715078376)
29701,-114.737497314428,36.0131544679032,joint,,,,,,SRID=4326;POINT(-114.737497314428 36.0131544679032)
14233,-111.880985631966,33.268420399276,substation,,,,,,SRID=4326;POINT(-111.880985631966 33.268420399276)
30629,-112.199353217469,33.0059863269201,joint,345000;230000,,,,,SRID=4326;POINT(-112.199353217469 33.0059863269201)
3880,-111.941983967192,33.3518168056261,substation,,,Kyrene Substation,,,SRID=4326;POINT(-111.941983967192 33.3518168056261)
21142,-112.297958973015,33.5552871637428,joint,230000,60,,,,SRID=4326;POINT(-112.297958973015 33.5552871637428)
7778,-111.65394141964,35.1756534376433,substation,,,,,,SRID=4326;POINT(-111.65394141964 35.1756534376433)
8676,-111.996088065835,33.3814945964842,substation,,,,,,SRID=4326;POINT(-111.996088065835 33.3814945964842)
