l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
9520,18333,18332,,,,,,,,26398.2202609733,,,,,"","SRID=4326;LINESTRING(-94.3664559111939 33.8247750201522,-94.1396241154314 33.6836029228381)"
36203,13566,13567,,,,,,,,6010.23532093874,,,,,"","SRID=4326;LINESTRING(-93.9380085499719 33.9493400636856,-93.8894039737209 33.9120791232391)"
30667,7215,7220,500000,3,,,,,,4026.23150214921,,,,,"","SRID=4326;LINESTRING(-92.8769284800225 34.4352050268033,-92.8299528231592 34.4308579377277)"
6426,7214,28738,500000,3,,,,,,100.658729318092,,,,,"","SRID=4326;LINESTRING(-92.5894187795243 33.2969532549703,-92.5919581362663 33.2890496309329)"
6567,7740,28780,500000,3,,60,,,,133376.40750855,,,,,"","SRID=4326;LINESTRING(-91.4126305043663 35.679981241558,-90.0205863248958 35.8610181710878)"
9480,18326,18327,,3,,,,,,6523.80177907024,,,,,"","SRID=4326;LINESTRING(-93.6684489454209 36.4381950034579,-93.7404009454069 36.4294719716297)"
6424,7214,28738,,,,,,,,207.04964147833,,,,,"","SRID=4326;LINESTRING(-92.5894187795243 33.2969532549703,-92.5919581362663 33.2890496309329)"
4125,18339,31339,,,,,,,,1949.93388619313,,,,,"","SRID=4326;LINESTRING(-90.8891149061145 34.9853989744336,-90.8950142854212 34.9684523178865)"
8170,48,29421,500000,3,,,,APS,,27511.6601055686,,,,,"","SRID=4326;LINESTRING(-92.0483163983145 34.640463871001,-92.1358536177907 34.4229407782524)"
9554,11930,18334,500000,,,,,,,29977.5172511254,,,,,"","SRID=4326;LINESTRING(-89.9670249864163 35.6527294796873,-90.0271075494855 35.8575331578066)"
39381,3146,48,500000,3,,60,500kV transmission line,APS,,179302.401815817,,,,,"","SRID=4326;LINESTRING(-90.1876719067359 35.117746612667,-92.0483163983145 34.640463871001)"
9584,10306,18336,230000,3,,60,,,,1052.39164891229,,,,,"","SRID=4326;LINESTRING(-90.5994212556294 34.4645730463835,-90.5941712285426 34.4695810781971)"
41304,564,1844,,,,,,,,11906.4495009662,,,,,"","SRID=4326;LINESTRING(-92.2731942984747 34.633470223116,-92.3051522621949 34.7210619649788)"
25400,11570,19369,,,,,,,,14037.460953055,,,,,"","SRID=4326;LINESTRING(-92.4534626402807 35.0526097442335,-92.436814314118 34.9402983121794)"
9618,18338,18339,,,,,,,,2315.36503876868,,,,,"","SRID=4326;LINESTRING(-90.9026189204546 34.9941999620019,-90.8891149061145 34.9853989744336)"
34602,11564,11570,,,,,,,,2621.63986715442,,,,,"","SRID=4326;LINESTRING(-92.4287589171669 35.0680753366823,-92.4534626402807 35.0526097442335)"
41303,1842,1843,,,,,,,,2127.14601822987,,,,,"","SRID=4326;LINESTRING(-92.256801154929 34.7139011886999,-92.2529675884979 34.7328399216758)"
9478,15936,18326,,,,,,,,7527.44467576447,,,,,"","SRID=4326;LINESTRING(-93.6945125809405 36.4927544431326,-93.6684489454209 36.4381950034579)"
30785,589,7329,500000,3,,60,,,,45351.4744223995,,,,,"","SRID=4326;LINESTRING(-92.4387827616724 34.9370272886251,-92.7137728286947 35.2432212657004)"
38,18335,29649,,,,,,,,37020.8278583393,,,,,"","SRID=4326;LINESTRING(-93.465252902762 33.4916659652891,-93.2289226341206 33.3338025574703)"
39784,608,609,,,,,,,,5449.86925157798,,,,,"","SRID=4326;LINESTRING(-92.3987633870829 34.7533080066378,-92.4557791473066 34.7600797252001)"
25376,589,19360,500000;500000;115000;115000,3;6;3,,60,,,,20365.0808869917,,,,,"","SRID=4326;LINESTRING(-92.4387827616724 34.9370272886251,-92.5020302071145 34.7901297923527)"
30790,6759,7317,345000,3,,60,,,,18111.7659632425,,,,,"","SRID=4326;LINESTRING(-94.2818543834383 36.185316103439,-94.4342294300535 36.1082133322425)"
9519,953,18332,,,,,,,,3.78014795365754,,,,,"","SRID=4326;LINESTRING(-94.1380798353864 33.6829342628268,-94.1396241154314 33.6836029228381)"
36243,10293,13616,,,,,,,,68000.3432358718,,,,,"","SRID=4326;LINESTRING(-91.290836009076 33.3466419219499,-91.9582614062511 33.1420274225048)"
37,18328,29649,,,,,,,,274.447219361439,,,,,"","SRID=4326;LINESTRING(-93.2255229164871 33.3337299877011,-93.2289226341206 33.3338025574703)"
30653,28738,7213,500000,3,,,,,,120959.076419439,,,,,"","SRID=4326;LINESTRING(-92.5919581362663 33.2890496309329,-92.4263531768125 34.3463434783484)"
34606,11572,11573,,,,,,,,36422.0259257065,,,,,"","SRID=4326;LINESTRING(-92.4130870736016 35.0715870780194,-92.2675653552501 35.330210898158)"
1617,18328,30317,,,,,,,,189.972693023554,,,,,"","SRID=4326;LINESTRING(-93.2255229164871 33.3337299877011,-93.2274011238521 33.3351081090515)"
41193,1714,1738,,,,,,,,9301.36302768888,,,,,"","SRID=4326;LINESTRING(-92.1957978009058 34.8587691388688,-92.1238968079193 34.886998677349)"
41302,1844,1842,,,,,,,,6039.58678136173,,,,,"","SRID=4326;LINESTRING(-92.3051522621949 34.7210619649788,-92.256801154929 34.7139011886999)"
30664,7223,7219,500000,3,,60,,,,119334.148564211,,,,,"","SRID=4326;LINESTRING(-93.2245849103345 33.3367137773871,-92.8705531692438 34.2980535617573)"
30659,30317,7223,,3,,,,,,387.529540996198,,,,,"","SRID=4326;LINESTRING(-93.2274011238521 33.3351081090515,-93.2245849103345 33.3367137773871)"
33681,10306,10310,230000,6;3;3,,60,Ritchie - Woodward 230kV,Entergy Arkansas,,143571.728937884,,,,,"","SRID=4326;LINESTRING(-90.5994212556294 34.4645730463835,-92.059618459914 34.2326202234575)"
4124,10309,31339,,,,,,,,24005.6710515551,,,,,"","SRID=4326;LINESTRING(-91.1446642172531 34.90068909979,-90.8950142854212 34.9684523178865)"
8172,18331,29421,,3,,,,,,986.988066049818,,,,,"","SRID=4326;LINESTRING(-92.1521431413146 34.428039057648,-92.1358536177907 34.4229407782524)"
9522,15759,18333,,,,,,,,11382.9635405027,,,,,"","SRID=4326;LINESTRING(-94.3808109043066 33.7228943359685,-94.3664559111939 33.8247750201522)"
30788,171,7330,500000,3,,60,Fort Smith - Arkansas Nuclear One 500kv,,,150077.282351022,,,,,"","SRID=4326;LINESTRING(-93.2274013551422 35.3113150169686,-94.4305251649768 35.300005139977)"
30806,563,7364,,,,,,,,474.871221236806,,,,,"","SRID=4326;LINESTRING(-92.4107190423009 34.6342876717093,-92.4104986780862 34.6418407959926)"
25399,589,19369,,,,,,,,97.4353658925417,,,,,"","SRID=4326;LINESTRING(-92.4387827616724 34.9370272886251,-92.436814314118 34.9402983121794)"
39382,46,48,500000,,,,500kV transmission line,APS,,16909.4152390006,,,,,"","SRID=4326;LINESTRING(-92.2165235945907 34.5927473124082,-92.0483163983145 34.640463871001)"
33682,10309,10311,230000,3,,60,Ritchie - Brinkley East 230kV,Entergy Arkansas,,35648.1320638413,,,,,"","SRID=4326;LINESTRING(-91.1446642172531 34.90068909979,-90.8853026413874 34.6596796889004)"
30665,7215,7219,500000,3,,,,,,15700.7239687794,,,,,"","SRID=4326;LINESTRING(-92.8769284800225 34.4352050268033,-92.8705531692438 34.2980535617573)"
33683,10306,10311,230000,3,,60,Ritchie - Brinkley East 230kV,Entergy Arkansas,,36140.7108943413,,,,,"","SRID=4326;LINESTRING(-90.5994212556294 34.4645730463835,-90.8853026413874 34.6596796889004)"
39383,7740,48,500000,3,,60,Independence - Keo 500kV,APS,,138421.670068171,,,,,"","SRID=4326;LINESTRING(-91.4126305043663 35.679981241558,-92.0483163983145 34.640463871001)"
39380,46,563,500000,,,,Mabelvale - Wrightsville 500 kV transmission line; Powerline,APS,,23187.9308189907,,,,,"","SRID=4326;LINESTRING(-92.2165235945907 34.5927473124082,-92.4107190423009 34.6342876717093)"
34,18328,29648,,,,,,,,31.5494105044037,,,,,"","SRID=4326;LINESTRING(-93.2255229164871 33.3337299877011,-93.2247280023442 33.3337077781063)"
9518,15759,18332,,,,,,,,23064.7275253944,,,,,"","SRID=4326;LINESTRING(-94.3808109043066 33.7228943359685,-94.1396241154314 33.6836029228381)"
25401,14257,19369,,,,,,,,27230.1599884869,,,,,"","SRID=4326;LINESTRING(-92.2203079310194 34.8812281603136,-92.436814314118 34.9402983121794)"
9481,13097,18327,,,,,,,,2005.32079415722,,,,,"","SRID=4326;LINESTRING(-93.7434326188217 36.4107239425159,-93.7404009454069 36.4294719716297)"
36204,13568,13567,,,,,,,,16379.4054927112,,,,,"","SRID=4326;LINESTRING(-93.926988607129 33.7719844974181,-93.8894039737209 33.9120791232391)"
34604,11564,11572,,,,,,,,1283.3920940044,,,,,"","SRID=4326;LINESTRING(-92.4287589171669 35.0680753366823,-92.4130870736016 35.0715870780194)"
9503,564,18331,,,,,,,,26024.0245320467,,,,,"","SRID=4326;LINESTRING(-92.2731942984747 34.633470223116,-92.1521431413146 34.428039057648)"
38707,13639,16121,,,,,,,,16836.8594143072,,,,,"","SRID=4326;LINESTRING(-93.1787210143779 33.06894127365,-93.2261051994179 33.208515418874)"
9620,18339,18340,,,,,,,,2060.22968437843,,,,,"","SRID=4326;LINESTRING(-90.8891149061145 34.9853989744336,-90.871383869205 34.9764159679447)"
39379,171,563,500000,3,,60,,,,139270.435862563,,,,,"","SRID=4326;LINESTRING(-93.2274013551422 35.3113150169686,-92.4107190423009 34.6342876717093)"
9621,13680,18340,,,,,,,,5294.1907249573,,,,,"","SRID=4326;LINESTRING(-90.8130236097511 34.9808683091683,-90.871383869205 34.9764159679447)"
30654,563,7213,500000,3,,,Sheridan - Mabelvale 500 kV transmission line,,,31689.3685644744,,,,,"","SRID=4326;LINESTRING(-92.4107190423009 34.6342876717093,-92.4263531768125 34.3463434783484)"
30658,29648,7223,,3,,,,,,813.251938397713,,,,,"","SRID=4326;LINESTRING(-93.2247280023442 33.3337077781063,-93.2245849103345 33.3367137773871)"
6425,7214,28738,,3,,,,,,176.206671888523,,,,,"","SRID=4326;LINESTRING(-92.5894187795243 33.2969532549703,-92.5919581362663 33.2890496309329)"
30807,609,7364,,,,,,,,14341.5091193752,,,,,"","SRID=4326;LINESTRING(-92.4557791473066 34.7600797252001,-92.4104986780862 34.6418407959926)"
9553,7747,18334,,,,,,,,1585.92073576738,,,,,"","SRID=4326;LINESTRING(-90.0172194119979 35.8686486263186,-90.0271075494855 35.8575331578066)"
6427,7214,28738,500000,3,,,,,,136.580960727984,,,,,"","SRID=4326;LINESTRING(-92.5894187795243 33.2969532549703,-92.5919581362663 33.2890496309329)"
30666,7213,7220,500000,3,,,,,,38701.1099490026,,,,,"","SRID=4326;LINESTRING(-92.4263531768125 34.3463434783484,-92.8299528231592 34.4308579377277)"
36205,18335,13568,,,,,,,,53858.6836598655,,,,,"","SRID=4326;LINESTRING(-93.465252902762 33.4916659652891,-93.926988607129 33.7719844974181)"
9555,28780,18334,161000;500000,3,,60,,,,402.170240204545,,,,,"","SRID=4326;LINESTRING(-90.0205863248958 35.8610181710878,-90.0271075494855 35.8575331578066)"
36846,1714,14257,,,,,,,,3252.57416225177,,,,,"","SRID=4326;LINESTRING(-92.1957978009058 34.8587691388688,-92.2203079310194 34.8812281603136)"
8171,7213,29421,500000,3,,,,,,29822.2772306053,,,,,"","SRID=4326;LINESTRING(-92.4263531768125 34.3463434783484,-92.1358536177907 34.4229407782524)"
35,29648,29649,,3,,,,,,407.289427947007,,,,,"","SRID=4326;LINESTRING(-93.2247280023442 33.3337077781063,-93.2289226341206 33.3338025574703)"
25377,563,19360,500000,3,,60,,,,27339.9599676612,,,,,"","SRID=4326;LINESTRING(-92.4107190423009 34.6342876717093,-92.5020302071145 34.7901297923527)"
1618,18335,30317,,,,,,,,28343.8152882094,,,,,"","SRID=4326;LINESTRING(-93.465252902762 33.4916659652891,-93.2274011238521 33.3351081090515)"
41305,1844,1845,,,,,,,,4710.61928607316,,,,,"","SRID=4326;LINESTRING(-92.3051522621949 34.7210619649788,-92.3517686742459 34.7176833178444)"
25378,609,19360,115000,3,,60,,,,6195.46875290841,,,,,"","SRID=4326;LINESTRING(-92.4557791473066 34.7600797252001,-92.5020302071145 34.7901297923527)"
6430,7223,28738,500000,3;6,,,,,,60396.4521033613,,,,,"","SRID=4326;LINESTRING(-93.2245849103345 33.3367137773871,-92.5919581362663 33.2890496309329)"
9617,13802,18338,,,,,,,,58163.4172673051,,,,,"","SRID=4326;LINESTRING(-91.3636786496907 35.26051612337,-90.9026189204546 34.9941999620019)"
6568,7747,28780,161000,3,,60,,,,806.764223033904,,,,,"","SRID=4326;LINESTRING(-90.0172194119979 35.8686486263186,-90.0205863248958 35.8610181710878)"
30786,171,7329,500000,3,,60,,,,52120.3011593512,,,,,"","SRID=4326;LINESTRING(-93.2274013551422 35.3113150169686,-92.7137728286947 35.2432212657004)"
4126,18340,31339,,,,,,,,2282.71121537129,,,,,"","SRID=4326;LINESTRING(-90.871383869205 34.9764159679447,-90.8950142854212 34.9684523178865)"
8173,18331,29421,,3,,,,,,919.654045528498,,,,,"","SRID=4326;LINESTRING(-92.1521431413146 34.428039057648,-92.1358536177907 34.4229407782524)"
41306,1844,1846,,,,,,,,3576.65282467168,,,,,"","SRID=4326;LINESTRING(-92.3051522621949 34.7210619649788,-92.3156563033225 34.6939832765993)"
9583,10306,18336,230000,3,,60,,,,736.864917431484,,,,,"","SRID=4326;LINESTRING(-90.5994212556294 34.4645730463835,-90.5941712285426 34.4695810781971)"
36,7223,29649,,3,,,,,,563.514828729688,,,,,"","SRID=4326;LINESTRING(-93.2245849103345 33.3367137773871,-93.2289226341206 33.3338025574703)"
9619,18338,18339,,,,,,,,1571.07300591079,,,,,"","SRID=4326;LINESTRING(-90.9026189204546 34.9941999620019,-90.8891149061145 34.9853989744336)"
