v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
608,-92.3987633870829,34.7533080066378,station,,,,,,SRID=4326;POINT(-92.3987633870829 34.7533080066378)
29421,-92.1358536177907,34.4229407782524,merge,,,White Bluff Power Plant,,,SRID=4326;POINT(-92.1358536177907 34.4229407782524)
28738,-92.5919581362663,33.2890496309329,merge,,,El Dorado Substation,Entergy Arkansas,,SRID=4326;POINT(-92.5919581362663 33.2890496309329)
7317,-94.4342294300535,36.1082133322425,station,,,Chambers Springs Substation,,,SRID=4326;POINT(-94.4342294300535 36.1082133322425)
16121,-93.2261051994179,33.208515418874,substation,,,,,,SRID=4326;POINT(-93.2261051994179 33.208515418874)
13566,-93.9380085499719,33.9493400636856,sub_station,,,,,,SRID=4326;POINT(-93.9380085499719 33.9493400636856)
953,-94.1380798353864,33.6829342628268,station,,,,,,SRID=4326;POINT(-94.1380798353864 33.6829342628268)
11570,-92.4534626402807,35.0526097442335,station,,,,,,SRID=4326;POINT(-92.4534626402807 35.0526097442335)
10310,-92.059618459914,34.2326202234575,station,,,Woodward Substation,Entergy Arkansas,,SRID=4326;POINT(-92.059618459914 34.2326202234575)
1844,-92.3051522621949,34.7210619649788,station,,,,,,SRID=4326;POINT(-92.3051522621949 34.7210619649788)
7214,-92.5894187795243,33.2969532549703,sub_station,,,,,,SRID=4326;POINT(-92.5894187795243 33.2969532549703)
10306,-90.5994212556294,34.4645730463835,station,,,Ritchie Station,Entergy Arkansas,,SRID=4326;POINT(-90.5994212556294 34.4645730463835)
7215,-92.8769284800225,34.4352050268033,substation,,,,,,SRID=4326;POINT(-92.8769284800225 34.4352050268033)
6759,-94.2818543834383,36.185316103439,station,,,Tontitown Substation,SWEPCO,,SRID=4326;POINT(-94.2818543834383 36.185316103439)
30317,-93.2274011238521,33.3351081090515,joint,,,,,,SRID=4326;POINT(-93.2274011238521 33.3351081090515)
18327,-93.7404009454069,36.4294719716297,joint,,,,,,SRID=4326;POINT(-93.7404009454069 36.4294719716297)
7329,-92.7137728286947,35.2432212657004,station,,,Pleasant Hill Substation,,,SRID=4326;POINT(-92.7137728286947 35.2432212657004)
15936,-93.6945125809405,36.4927544431326,substation,,,,,,SRID=4326;POINT(-93.6945125809405 36.4927544431326)
1842,-92.256801154929,34.7139011886999,station,,,,,,SRID=4326;POINT(-92.256801154929 34.7139011886999)
589,-92.4387827616724,34.9370272886251,sub_station,,,Mayflower Substation,Entergy Arkansas,,SRID=4326;POINT(-92.4387827616724 34.9370272886251)
10311,-90.8853026413874,34.6596796889004,station,,,,,,SRID=4326;POINT(-90.8853026413874 34.6596796889004)
18338,-90.9026189204546,34.9941999620019,joint,,,,,,SRID=4326;POINT(-90.9026189204546 34.9941999620019)
29648,-93.2247280023442,33.3337077781063,joint,,,,,,SRID=4326;POINT(-93.2247280023442 33.3337077781063)
18336,-90.5941712285426,34.4695810781971,joint,230000,60,,,,SRID=4326;POINT(-90.5941712285426 34.4695810781971)
15759,-94.3808109043066,33.7228943359685,sub_station,,,,,,SRID=4326;POINT(-94.3808109043066 33.7228943359685)
7223,-93.2245849103345,33.3367137773871,sub_station,,,,,,SRID=4326;POINT(-93.2245849103345 33.3367137773871)
29649,-93.2289226341206,33.3338025574703,joint,,,,,,SRID=4326;POINT(-93.2289226341206 33.3338025574703)
7213,-92.4263531768125,34.3463434783484,sub_station,,,Sheridan Substation,,,SRID=4326;POINT(-92.4263531768125 34.3463434783484)
7219,-92.8705531692438,34.2980535617573,sub_station,,,,,,SRID=4326;POINT(-92.8705531692438 34.2980535617573)
1843,-92.2529675884979,34.7328399216758,station,,,,,,SRID=4326;POINT(-92.2529675884979 34.7328399216758)
18326,-93.6684489454209,36.4381950034579,joint,,,,,,SRID=4326;POINT(-93.6684489454209 36.4381950034579)
13097,-93.7434326188217,36.4107239425159,station,,,,,,SRID=4326;POINT(-93.7434326188217 36.4107239425159)
11572,-92.4130870736016,35.0715870780194,station,,,,,,SRID=4326;POINT(-92.4130870736016 35.0715870780194)
563,-92.4107190423009,34.6342876717093,station,500000,,Mabelvale Substation,Entergy Arkansas,,SRID=4326;POINT(-92.4107190423009 34.6342876717093)
28780,-90.0205863248958,35.8610181710878,merge,,,Dell Substation,Entergy Arkansas,,SRID=4326;POINT(-90.0205863248958 35.8610181710878)
17220,-90.1858337930953,36.3873074684633,substation,,,,,,SRID=4326;POINT(-90.1858337930953 36.3873074684633)
7330,-94.4305251649768,35.300005139977,station,,,Fort Smith Substation,,,SRID=4326;POINT(-94.4305251649768 35.300005139977)
1738,-92.1238968079193,34.886998677349,station,,,,,,SRID=4326;POINT(-92.1238968079193 34.886998677349)
18334,-90.0271075494855,35.8575331578066,joint,161000;500000,60,,,,SRID=4326;POINT(-90.0271075494855 35.8575331578066)
18332,-94.1396241154314,33.6836029228381,joint,,,,,,SRID=4326;POINT(-94.1396241154314 33.6836029228381)
48,-92.0483163983145,34.640463871001,sub_station,,,Keo Substation,,,SRID=4326;POINT(-92.0483163983145 34.640463871001)
10293,-91.290836009076,33.3466419219499,station,,,Lake Village Bagby Substation,Entergy Arkansas,,SRID=4326;POINT(-91.290836009076 33.3466419219499)
7220,-92.8299528231592,34.4308579377277,sub_station,,,,,,SRID=4326;POINT(-92.8299528231592 34.4308579377277)
1845,-92.3517686742459,34.7176833178444,substation,,,,,,SRID=4326;POINT(-92.3517686742459 34.7176833178444)
18340,-90.871383869205,34.9764159679447,joint,,,,,,SRID=4326;POINT(-90.871383869205 34.9764159679447)
4171,-94.5276452178921,36.254055620804,station,,,,,,SRID=4326;POINT(-94.5276452178921 36.254055620804)
11930,-89.9670249864163,35.6527294796873,station,,,Sans Souci Substation,,,SRID=4326;POINT(-89.9670249864163 35.6527294796873)
13802,-91.3636786496907,35.26051612337,plant,,,,,,SRID=4326;POINT(-91.3636786496907 35.26051612337)
1846,-92.3156563033225,34.6939832765993,station,,,,,,SRID=4326;POINT(-92.3156563033225 34.6939832765993)
11817,-93.0725183702703,36.2212448493002,station,,,,,,SRID=4326;POINT(-93.0725183702703 36.2212448493002)
31339,-90.8950142854212,34.9684523178865,joint,,,,,,SRID=4326;POINT(-90.8950142854212 34.9684523178865)
11573,-92.2675653552501,35.330210898158,station,,,,,,SRID=4326;POINT(-92.2675653552501 35.330210898158)
13568,-93.926988607129,33.7719844974181,sub_station,,,,,,SRID=4326;POINT(-93.926988607129 33.7719844974181)
46,-92.2165235945907,34.5927473124082,station,500000,,Wrightsville Substation,,,SRID=4326;POINT(-92.2165235945907 34.5927473124082)
11564,-92.4287589171669,35.0680753366823,station,,,,,,SRID=4326;POINT(-92.4287589171669 35.0680753366823)
3146,-90.1876719067359,35.117746612667,station,,,West Memphis Substation,,,SRID=4326;POINT(-90.1876719067359 35.117746612667)
18339,-90.8891149061145,34.9853989744336,joint,,,,,,SRID=4326;POINT(-90.8891149061145 34.9853989744336)
14257,-92.2203079310194,34.8812281603136,substation,,,,,,SRID=4326;POINT(-92.2203079310194 34.8812281603136)
18328,-93.2255229164871,33.3337299877011,joint,,,,,,SRID=4326;POINT(-93.2255229164871 33.3337299877011)
564,-92.2731942984747,34.633470223116,station,,,,,,SRID=4326;POINT(-92.2731942984747 34.633470223116)
609,-92.4557791473066,34.7600797252001,station,,,,,,SRID=4326;POINT(-92.4557791473066 34.7600797252001)
18331,-92.1521431413146,34.428039057648,joint,,,,,,SRID=4326;POINT(-92.1521431413146 34.428039057648)
19369,-92.436814314118,34.9402983121794,joint,,,,,,SRID=4326;POINT(-92.436814314118 34.9402983121794)
11934,-89.8570551063139,35.97294392625,station,,,,,,SRID=4326;POINT(-89.8570551063139 35.97294392625)
13616,-91.9582614062511,33.1420274225048,substation,,,,,,SRID=4326;POINT(-91.9582614062511 33.1420274225048)
18333,-94.3664559111939,33.8247750201522,joint,,,,,,SRID=4326;POINT(-94.3664559111939 33.8247750201522)
10309,-91.1446642172531,34.90068909979,station,,,Brinkley East Substation,,,SRID=4326;POINT(-91.1446642172531 34.90068909979)
7364,-92.4104986780862,34.6418407959926,sub_station,,,,,,SRID=4326;POINT(-92.4104986780862 34.6418407959926)
13680,-90.8130236097511,34.9808683091683,substation,,,,,,SRID=4326;POINT(-90.8130236097511 34.9808683091683)
7740,-91.4126305043663,35.679981241558,sub_station,,,Independence Substation,,,SRID=4326;POINT(-91.4126305043663 35.679981241558)
13567,-93.8894039737209,33.9120791232391,sub_station,,,,,,SRID=4326;POINT(-93.8894039737209 33.9120791232391)
18335,-93.465252902762,33.4916659652891,joint,,,,,,SRID=4326;POINT(-93.465252902762 33.4916659652891)
19360,-92.5020302071145,34.7901297923527,joint,500000;500000;115000;115000,60,,,,SRID=4326;POINT(-92.5020302071145 34.7901297923527)
1714,-92.1957978009058,34.8587691388688,station,,,,,,SRID=4326;POINT(-92.1957978009058 34.8587691388688)
7747,-90.0172194119979,35.8686486263186,sub_station,,,,,,SRID=4326;POINT(-90.0172194119979 35.8686486263186)
13639,-93.1787210143779,33.06894127365,substation,,,,,,SRID=4326;POINT(-93.1787210143779 33.06894127365)
171,-93.2274013551422,35.3113150169686,substation,,,Arkansas Nuclear One Substation,,,SRID=4326;POINT(-93.2274013551422 35.3113150169686)
