l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
12821,6227,22348,,,,,,,,20368.0047213702,,,,,"","SRID=4326;LINESTRING(-121.160329953608 38.1178208971966,-121.140182944628 37.9504781749696)"
15702,30738,23624,230000,3,2,,,,Los Esteros-Newark,641.527163521913,,,,,"","SRID=4326;LINESTRING(-121.966058907059 37.5057710424973,-121.9660383213 37.505550491086)"
22865,19231,19232,230000,6,1,,,WAPA,,312.579785144175,,,,,"","SRID=4326;LINESTRING(-121.4250132989 38.5850138863627,-121.428411176462 38.5859601626222)"
37172,19257,364,,,,,,,,8780.46841773335,,,,,"","SRID=4326;LINESTRING(-122.499133106203 38.0065672741815,-122.540361292178 38.0767756400956)"
1629,28968,30322,500000,3,2,,Path 15,Pacific Gas and Electric,Diablo Canyon - Midway,21435.2766125541,,,,,"","SRID=4326;LINESTRING(-119.452247780269 35.4030708371503,-119.668636702924 35.33960247202)"
25338,500,19340,230000,3,,60,,,,225.963082514641,,,,,"","SRID=4326;LINESTRING(-121.614455153837 37.7643178974414,-121.612093385699 37.7627129541672)"
37139,345,354,230000,6,2,,,SMUD,Rancho Seco-Pocket,45869.3084205119,,,,,"","SRID=4326;LINESTRING(-121.470084317457 38.4895282573393,-121.123777688015 38.3442192444842)"
8668,20471,20473,,3,1,,,,,9628.95856415159,,,,,"","SRID=4326;LINESTRING(-120.843206918557 36.9283779964697,-120.775623425798 36.8610048938042)"
19429,106,19059,500000,3,2,60,Path 15,,Tracy - Los Banos,90646.3969524319,,,,,"","SRID=4326;LINESTRING(-121.020769370059 37.0532597183161,-121.549146098121 37.7048910607271)"
14304,19401,22984,230000,6,1,,,LADWP,,1486.23285021407,,,,,"","SRID=4326;LINESTRING(-118.22575872576 34.0787411085855,-118.224762673773 34.0655556604746)"
38386,20436,490,,6,1,,,,,652.571611157686,,,,,"","SRID=4326;LINESTRING(-121.789915345348 37.997424659371,-121.782613954448 37.9993091008561)"
30715,601,7267,220000,3,,60,,,,38712.2027069151,,,,,"","SRID=4326;LINESTRING(-117.559054977739 35.0149234167607,-117.647282842729 35.365272313518)"
33111,389,9688,230000,6,,60,,,,1673.94250148605,,,,,"","SRID=4326;LINESTRING(-122.583803381992 38.4428002137625,-122.593337202961 38.4288558105375)"
14171,7820,22924,,3,,,,,,1808.85220192746,,,,,"","SRID=4326;LINESTRING(-119.004478503881 35.3874884327454,-119.012651563445 35.4010797771622)"
39490,30637,576,220000,3,,,,,,4557.85043602095,,,,,"","SRID=4326;LINESTRING(-118.095516784195 34.0545328293131,-118.082662178535 34.0921443695648)"
1891,7858,30432,,6;3;3,,,,,,22.2298269854585,,,,,"","SRID=4326;LINESTRING(-119.096944334911 35.3791522294702,-119.095543972648 35.3766673308111)"
37085,117,344,230000,3,1,,Hurley-Tracy,WAPA,Hurley-Tracy,35583.655311412,,,,,"","SRID=4326;LINESTRING(-121.376844085035 38.0587529461565,-121.353290140715 38.3729863144329)"
2827,19254,30835,230000,6,2,60,,,,4991.42272189951,,,,,"","SRID=4326;LINESTRING(-122.210055966426 38.1844802197937,-122.158127717287 38.1991044020442)"
3490,29248,31101,500000,3,2,,,,Whirlwind-Vincent,34106.148869997,,,,,"","SRID=4326;LINESTRING(-118.119337841805 34.4861310920513,-118.311762978296 34.6823820060993)"
20660,192,19117,,,,,,,,2822.6782847737,,,,,"","SRID=4326;LINESTRING(-122.363315906922 37.5899566555208,-122.388480515968 37.6062771639158)"
35440,124,129,230000,6,1,60,,,,3386.27664131311,,,,,"","SRID=4326;LINESTRING(-121.734150012775 36.7979237277268,-121.777186443726 36.8054754968692)"
37141,19108,354,230000,3;6,,60,,,Rancho Seco-Bellotta,17622.82600352,,,,,"","SRID=4326;LINESTRING(-121.034359338034 38.2173892220091,-121.123777688015 38.3442192444842)"
14267,22936,22967,220000,3,,60,,,,45390.138476037,,,,,"","SRID=4326;LINESTRING(-118.945802173936 35.4567331705664,-119.08348210663 35.8381608937613)"
2311,30618,30619,230000,6,,,,,,1223.50486868116,,,,,"","SRID=4326;LINESTRING(-116.890799540883 32.822376856451,-116.886431832657 32.8335476349)"
26270,7459,19760,230000,3,,60,,,,8817.28059112426,,,,,"","SRID=4326;LINESTRING(-116.287054247799 33.7976817908323,-116.370815907314 33.8270523816603)"
7676,506,29237,230000,3,1,60,,WAPA,Cottonwood-Roseville,7961.77379761487,,,,,"","SRID=4326;LINESTRING(-121.357100704794 38.7628103505089,-121.264067963032 38.7629209360768)"
40883,1395,1396,220000,6,,60,,Southern California Edison,,3208.83643046845,,,,,"","SRID=4326;LINESTRING(-117.943185004411 33.6852587189217,-117.952727854992 33.6545232160232)"
