v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
14469,-120.586136482858,35.0469575869802,substation,,,Callendar Switching Station,Pacific Gas & Electric,,SRID=4326;POINT(-120.586136482858 35.0469575869802)
19256,-122.380997280156,38.1526443596662,joint,,,,,,SRID=4326;POINT(-122.380997280156 38.1526443596662)
335,-121.486385741376,38.6503019093505,station,,,Natomas Substation,,,SRID=4326;POINT(-121.486385741376 38.6503019093505)
19232,-121.428411176462,38.5859601626222,joint,230000,,,WAPA,Elverta-Hurley,SRID=4326;POINT(-121.428411176462 38.5859601626222)
19165,-122.592130836666,38.4000693644804,joint,230000,60,,,,SRID=4326;POINT(-122.592130836666 38.4000693644804)
134,-117.555207395412,33.3686645652453,plant,,,San Onofre Nuclear Generating Station,Southern California Edison,,SRID=4326;POINT(-117.555207395412 33.3686645652453)
22324,-121.871343224108,37.5585886751152,joint,230000,60,,Pacific Gas & Electric Co.,Los Esteros-Metcalf,SRID=4326;POINT(-121.871343224108 37.5585886751152)
17262,-118.391611914428,33.9016320905724,substation,220000,60,,Southern California Edison Company,,SRID=4326;POINT(-118.391611914428 33.9016320905724)
345,-121.470084317457,38.4895282573393,station,,,Pocket Substation,,,SRID=4326;POINT(-121.470084317457 38.4895282573393)
19062,-121.24032704267,37.5107632574626,joint,230000,60,,,,SRID=4326;POINT(-121.24032704267 37.5107632574626)
118,-121.602602297965,37.7966375043771,sub_station,,,,,,SRID=4326;POINT(-121.602602297965 37.7966375043771)
17005,-118.437176873618,34.8580303567668,sub_station,,,Whirlwind Substation,Southern California Edison,,SRID=4326;POINT(-118.437176873618 34.8580303567668)
303,-122.015254200929,37.2809862029797,station,,,Saratoga Substation,,,SRID=4326;POINT(-122.015254200929 37.2809862029797)
31202,-118.480986020846,34.3119243203573,joint,500000,0,Pacific DC Intertie,,Pacific DC Intertie;Path 65,SRID=4326;POINT(-118.480986020846 34.3119243203573)
9687,-122.707443420769,38.7661914608088,substation,,,,,,SRID=4326;POINT(-122.707443420769 38.7661914608088)
30500,-121.925346082475,38.4169634122322,joint,230000,60,,,,SRID=4326;POINT(-121.925346082475 38.4169634122322)
20030,-117.688753215098,33.9397913664458,joint,500000,60,,Southern California Edison,,SRID=4326;POINT(-117.688753215098 33.9397913664458)
284,-117.322202794988,34.5634915725502,station,,,Victorville,,,SRID=4326;POINT(-117.322202794988 34.5634915725502)
22926,-119.010010336847,35.4036142849941,joint,,,,,,SRID=4326;POINT(-119.010010336847 35.4036142849941)
22873,-120.63222041626,41.538820669021,joint,230000,60,,,,SRID=4326;POINT(-120.63222041626 41.538820669021)
31071,-118.181968741682,34.2198036391199,joint,,60,,,,SRID=4326;POINT(-118.181968741682 34.2198036391199)
19287,-117.242048692417,34.0322426621371,joint,,,,,,SRID=4326;POINT(-117.242048692417 34.0322426621371)
22694,-117.154248075199,33.7326078072094,joint,,,,,,SRID=4326;POINT(-117.154248075199 33.7326078072094)
605,-119.185451078708,34.3022294162662,station,,,,,,SRID=4326;POINT(-119.185451078708 34.3022294162662)
30222,-122.512181134143,38.0823219467447,joint,,,,,,SRID=4326;POINT(-122.512181134143 38.0823219467447)
29627,-114.17184409061,34.2924929227548,merge,,,,,,SRID=4326;POINT(-114.17184409061 34.2924929227548)
7449,-116.284486242128,33.7734721458531,station,,,,,,SRID=4326;POINT(-116.284486242128 33.7734721458531)
18183,-120.622675906198,38.7992255948355,joint,230000,,,SMUD,Jaybird-Whiterock,SRID=4326;POINT(-120.622675906198 38.7992255948355)
29641,-119.807448869456,35.8354846593229,joint,230000,60,,,,SRID=4326;POINT(-119.807448869456 35.8354846593229)
29797,-117.199394703129,33.0801553007627,joint,230000,,,San Diego Gas & Electric,23051,SRID=4326;POINT(-117.199394703129 33.0801553007627)
19071,-121.729428992491,37.919959876047,joint,230000,60,,PG&E,Contra Costa-Brentwood/Contra Costa-Delta,SRID=4326;POINT(-121.729428992491 37.919959876047)
19736,-122.223607591476,38.0773615006573,joint,,,,,,SRID=4326;POINT(-122.223607591476 38.0773615006573)
16900,-117.869699388998,33.8126596984111,substation,66000,60,,Southern California Edison,,SRID=4326;POINT(-117.869699388998 33.8126596984111)
283,-117.316397680839,34.5662451413555,station,,,Victorville,,,SRID=4326;POINT(-117.316397680839 34.5662451413555)
29791,-117.032197372848,32.9199223539707,joint,230000;69000;230000;69000;230000,,,San Diego Gas & Electric,23051,SRID=4326;POINT(-117.032197372848 32.9199223539707)
19201,-118.658808766292,34.5863061914302,joint,,,,,,SRID=4326;POINT(-118.658808766292 34.5863061914302)
81,-122.257271642338,38.0854607852416,station,,,,,,SRID=4326;POINT(-122.257271642338 38.0854607852416)
327,-121.355201644269,38.5083230627864,station,,,Hedge Substation,SMUD,,SRID=4326;POINT(-121.355201644269 38.5083230627864)
18198,-120.451406258231,35.0070621981228,joint,,,,,,SRID=4326;POINT(-120.451406258231 35.0070621981228)
278,-117.919647737973,34.5090173009687,station,,,,,,SRID=4326;POINT(-117.919647737973 34.5090173009687)
7822,-119.011934727401,35.4156673190773,substation,,,,,,SRID=4326;POINT(-119.011934727401 35.4156673190773)
369,-122.096803978929,38.2363184381523,station,,,,,,SRID=4326;POINT(-122.096803978929 38.2363184381523)
28621,-119.0780960339,35.3770977955665,merge,,,,,,SRID=4326;POINT(-119.0780960339 35.3770977955665)
9693,-121.625905442977,37.7784335087741,station,,,,,,SRID=4326;POINT(-121.625905442977 37.7784335087741)
28616,-122.315712328529,40.518872221703,merge,,,,,,SRID=4326;POINT(-122.315712328529 40.518872221703)
511,-121.266288254873,38.6848548039528,station,,,Orangevale Substation,SMUD,,SRID=4326;POINT(-121.266288254873 38.6848548039528)
6162,-122.444130040721,40.6097873347148,station,,,,,,SRID=4326;POINT(-122.444130040721 40.6097873347148)
29663,-119.04612629567,35.3751040245496,joint,,,,,,SRID=4326;POINT(-119.04612629567 35.3751040245496)
367,-122.20906099075,38.1381269273509,station,,,,,,SRID=4326;POINT(-122.20906099075 38.1381269273509)
21545,-119.760737270688,34.4793893146399,joint,,,,,,SRID=4326;POINT(-119.760737270688 34.4793893146399)
29905,-121.335715457956,38.7648074812257,joint,230000;12000;12000,,,WAPA,Roseville-Elverta,SRID=4326;POINT(-121.335715457956 38.7648074812257)
19236,-121.428390694874,38.5856490921793,joint,230000;115000;230000;115000,,,SMUD,Natomas-Hurley/Hurley-North City,SRID=4326;POINT(-121.428390694874 38.5856490921793)
30737,-121.968374237737,37.726541715947,joint,230000,,,PG&E,Pittsburg-San Mateo/Pittsburg-Eastshore,SRID=4326;POINT(-121.968374237737 37.726541715947)
1034,-122.016332981174,37.374502211536,sub_station,,,,,,SRID=4326;POINT(-122.016332981174 37.374502211536)
29906,-121.307249672025,38.7657957830246,joint,230000;12000;12000,,,WAPA,Roseville-Elverta,SRID=4326;POINT(-121.307249672025 38.7657957830246)
555,-122.010211837855,37.3971628573322,station,,,Fair Oaks Substation,,,SRID=4326;POINT(-122.010211837855 37.3971628573322)
31170,-121.932963252278,40.8246049319572,joint,230000,,,,,SRID=4326;POINT(-121.932963252278 40.8246049319572)
19069,-121.543579597631,37.8302556997446,joint,230000,,Hurley-Tracy,WAPA,,SRID=4326;POINT(-121.543579597631 37.8302556997446)
487,-121.895826551851,38.0367826088373,station,,,,,,SRID=4326;POINT(-121.895826551851 38.0367826088373)
22519,-118.328897088307,34.1536947235579,joint,230000,60,,Los Angeles Department of Water and Power,,SRID=4326;POINT(-118.328897088307 34.1536947235579)
22329,-122.326690797465,40.5202518548863,joint,230000,,,WAPA,Keswick-Cottonwood,SRID=4326;POINT(-122.326690797465 40.5202518548863)
20284,-117.154244571769,33.7331601167388,joint,,,,,,SRID=4326;POINT(-117.154244571769 33.7331601167388)
23610,-116.869811991505,33.9476809679006,joint,220000,60,,,,SRID=4326;POINT(-116.869811991505 33.9476809679006)
19209,-118.189200258137,34.1651190647677,joint,,,,,,SRID=4326;POINT(-118.189200258137 34.1651190647677)
28761,-115.500887377529,33.2424778525601,merge,,,,,,SRID=4326;POINT(-115.500887377529 33.2424778525601)
9185,-121.251774806701,40.9725890441971,station,,,,,,SRID=4326;POINT(-121.251774806701 40.9725890441971)
27766,-118.370033640113,33.9992727898756,joint,220000,60,,Southern California Edison Company,,SRID=4326;POINT(-118.370033640113 33.9992727898756)
20029,-118.480868229025,34.3130207635381,joint,500000,0,Pacific DC Intertie,,Pacific DC Intertie;Path 65,SRID=4326;POINT(-118.480868229025 34.3130207635381)
27695,-117.943719526907,34.1589225791487,joint,500000;220000,60,,,Mira Loma-Vincent,SRID=4326;POINT(-117.943719526907 34.1589225791487)
