l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
21536,28544,26318,,8,,,,,,8774.59465528436,,,,,"","SRID=4326;LINESTRING(-105.017973960659 39.7363296925592,-105.119573639903 39.7329486841598)"
5796,4956,28544,,6,2,,,,,4700.35143595301,,,,,"","SRID=4326;LINESTRING(-104.998799147456 39.7760297034582,-105.017973960659 39.7363296925592)"
42199,27862,2783,,,,,,,,70.2091397098807,,,,,"","SRID=4326;LINESTRING(-104.780121314612 39.5078108116153,-104.782691011674 39.5094808382934)"
9979,21075,21077,230000,3,,,,,,297.755431572825,,,,,"","SRID=4326;LINESTRING(-104.549464941527 40.1040126750674,-104.552681000076 40.1050925816608)"
27529,20958,3512,230000,3,,,,,,11182.8596981602,,,,,"","SRID=4326;LINESTRING(-104.700549175565 39.6317624565607,-104.577349818568 39.6388031915372)"
7993,15636,29356,230000,3,,,,,,83755.3396100213,,,,,"","SRID=4326;LINESTRING(-103.677396867971 40.2137414892259,-104.020868161232 39.6859863722772)"
20623,25912,25913,230000,3,,60,,,,154.6230303542,,,,,"","SRID=4326;LINESTRING(-104.801449385582 40.0218690545239,-104.801566795389 40.0232724152216)"
28653,21761,4957,230000,,,,230kV transmission line,,,2235.64612302837,,,,,"","SRID=4326;LINESTRING(-106.315803599733 39.1695287821582,-106.32544068361 39.1887276929245)"
35028,12142,12143,,3,,,,,,16436.0609647814,,,,,"","SRID=4326;LINESTRING(-104.653951594915 37.1323940240184,-104.834057349679 37.13522592993)"
22632,15756,26850,,,,,,,,3549.03743279955,,,,,"","SRID=4326;LINESTRING(-104.533049781781 38.2842758646277,-104.53451410059 38.3173580630329)"
30484,4957,7048,230000,3,,,,,,30206.9823265701,,,,,"","SRID=4326;LINESTRING(-106.32544068361 39.1887276929245,-106.047511056119 39.2678763697574)"
38522,20514,15947,,3,,,,,,3452.82696370854,,,,,"","SRID=4326;LINESTRING(-104.917693090146 39.6794053917377,-104.958388844791 39.6831822740132)"
7510,25279,29173,230000,6,,,,,,144.239507859772,,,,,"","SRID=4326;LINESTRING(-104.546509843568 40.1079493009584,-104.549975065414 40.1073659004825)"
