v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
3816,-104.625733672866,38.9086808071388,substation,,,,,,SRID=4326;POINT(-104.625733672866 38.9086808071388)
28314,-105.151104791605,39.7331965870122,merge,,,,,,SRID=4326;POINT(-105.151104791605 39.7331965870122)
15707,-104.690839990315,38.3456143045049,substation,,,,,,SRID=4326;POINT(-104.690839990315 38.3456143045049)
28442,-107.951439851593,38.4382554182549,merge,345000;115000,,Montrose Substation,,,SRID=4326;POINT(-107.951439851593 38.4382554182549)
12155,-104.704803340558,38.7061746842484,substation,,,,,,SRID=4326;POINT(-104.704803340558 38.7061746842484)
24950,-104.663711691215,38.9373675621989,joint,,,,,,SRID=4326;POINT(-104.663711691215 38.9373675621989)
3587,-104.848198786041,40.4648114213039,station,,,,,,SRID=4326;POINT(-104.848198786041 40.4648114213039)
26030,-105.847070589654,40.2377289553838,joint,,,,,,SRID=4326;POINT(-105.847070589654 40.2377289553838)
21074,-104.54719992937,40.103247997113,joint,230000,,,,,SRID=4326;POINT(-104.54719992937 40.103247997113)
10799,-104.814903679534,38.8192984354296,substation,,,,,,SRID=4326;POINT(-104.814903679534 38.8192984354296)
14472,-104.674119913786,40.415989607526,substation,,,,,,SRID=4326;POINT(-104.674119913786 40.415989607526)
20476,-104.81195814727,39.5078239802149,joint,230000,,,,,SRID=4326;POINT(-104.81195814727 39.5078239802149)
8153,-103.641460563777,39.3009692653408,station,,,Big Sandy Substation,,,SRID=4326;POINT(-103.641460563777 39.3009692653408)
26845,-105.094865927171,38.3767509219625,joint,,,,,,SRID=4326;POINT(-105.094865927171 38.3767509219625)
27110,-104.754830774923,39.594902695967,joint,,,,,,SRID=4326;POINT(-104.754830774923 39.594902695967)
17470,-105.895151696291,37.459292455337,substation,,,,,,SRID=4326;POINT(-105.895151696291 37.459292455337)
30928,-107.744587801015,39.5137447179303,joint,345000,,,,,SRID=4326;POINT(-107.744587801015 39.5137447179303)
17506,-104.562659060646,39.0122389911688,substation,,,,,,SRID=4326;POINT(-104.562659060646 39.0122389911688)
20186,-104.734995883618,39.7553297059239,joint,115000;230000;230000,60,,,,SRID=4326;POINT(-104.734995883618 39.7553297059239)
14284,-106.292047881473,40.7229083240079,sub_station,,,,,,SRID=4326;POINT(-106.292047881473 40.7229083240079)
14603,-105.095056033891,40.4594374412322,substation,,,,,,SRID=4326;POINT(-105.095056033891 40.4594374412322)
24854,-105.147485822916,39.8993826843064,joint,230000,,,,,SRID=4326;POINT(-105.147485822916 39.8993826843064)
1931,-105.479575241572,39.7426306419166,station,,,Idaho Springs Substation,,,SRID=4326;POINT(-105.479575241572 39.7426306419166)
21075,-104.549464941527,40.1040126750674,joint,230000,,,,,SRID=4326;POINT(-104.549464941527 40.1040126750674)
15724,-105.029858255136,38.3758643917248,substation,,,,,,SRID=4326;POINT(-105.029858255136 38.3758643917248)
5671,-105.086473161991,40.3823648085799,station,,,,,,SRID=4326;POINT(-105.086473161991 40.3823648085799)
3812,-104.628095396882,39.0124490643957,substation,,,,,,SRID=4326;POINT(-104.628095396882 39.0124490643957)
29818,-105.235390258847,40.3676985222054,joint,,,,,,SRID=4326;POINT(-105.235390258847 40.3676985222054)
7028,-108.466503039251,37.4305205484574,sub_station,,,Lost Canyon Substation,,,SRID=4326;POINT(-108.466503039251 37.4305205484574)
15930,-104.942811802168,40.1967976334594,substation,,,,,,SRID=4326;POINT(-104.942811802168 40.1967976334594)
2899,-104.893709561466,39.6522160532323,station,230000,,Sullivan Substation,,,SRID=4326;POINT(-104.893709561466 39.6522160532323)
29356,-104.020868161232,39.6859863722772,merge,,,,,,SRID=4326;POINT(-104.020868161232 39.6859863722772)
28209,-103.679386169633,39.4486369804112,merge,,,,,,SRID=4326;POINT(-103.679386169633 39.4486369804112)
15996,-104.605425272936,38.1292922593246,substation,,,,,,SRID=4326;POINT(-104.605425272936 38.1292922593246)
16750,-105.801235309923,40.2417038780287,substation,,,,,,SRID=4326;POINT(-105.801235309923 40.2417038780287)
29902,-104.81010807962,40.8118182631416,joint,230000,,,,,SRID=4326;POINT(-104.81010807962 40.8118182631416)
22078,-105.128082033116,40.4053806044397,joint,,,,,,SRID=4326;POINT(-105.128082033116 40.4053806044397)
27112,-104.75485233449,39.5940667031548,joint,,,,,,SRID=4326;POINT(-104.75485233449 39.5940667031548)
26838,-104.640598308449,38.3208813121328,joint,,,,,,SRID=4326;POINT(-104.640598308449 38.3208813121328)
21076,-104.546508136769,40.1081642817864,joint,230000,,,,,SRID=4326;POINT(-104.546508136769 40.1081642817864)
21094,-104.627299020162,38.9361222574391,joint,230000,,,,,SRID=4326;POINT(-104.627299020162 38.9361222574391)
17503,-104.849900616505,39.070837664418,substation,,,,,,SRID=4326;POINT(-104.849900616505 39.070837664418)
12104,-104.975581982142,37.4880481259253,sub_station,,,,,,SRID=4326;POINT(-104.975581982142 37.4880481259253)
1480,-105.060867522021,39.734551281049,station,,,,,,SRID=4326;POINT(-105.060867522021 39.734551281049)
16501,-104.26362768273,38.2281782692796,substation,,,,,,SRID=4326;POINT(-104.26362768273 38.2281782692796)
4643,-105.041211091604,40.5645583287237,substation,230000,,Timberline Substation,PRPA,,SRID=4326;POINT(-105.041211091604 40.5645583287237)
28650,-104.816212908902,40.9933834815941,merge,,,Ponnequin Wind Farm,Xcel Energy,,SRID=4326;POINT(-104.816212908902 40.9933834815941)
20978,-104.571674259791,38.2124220648399,joint,230000,,,,,SRID=4326;POINT(-104.571674259791 38.2124220648399)
15948,-104.790609265132,39.6245894150684,substation,230000,,,,,SRID=4326;POINT(-104.790609265132 39.6245894150684)
