l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
12011,5461,21999,345000,3,,,Millstone - Haddam - Beseck 345kV transmission line,CL&P,348,13044.5006416256,,,,,"","SRID=4326;LINESTRING(-72.477412981103 41.4608940132587,-72.6283939352023 41.4871424937686)"
11930,10668,21960,345000,3,,,Manchester - North Bloomfield - Barbour Hill 345kV transmission line,,395,2768.27913225895,,,,,"","SRID=4326;LINESTRING(-72.6689241072213 41.828858949392,-72.6392813367828 41.8195622605981)"
11966,5431,21979,115000;345000,6,,,115kV transmission line;Falls Village - Torrington Terminal 69kV transmission line,CL&P,1788;1900,265.547180145392,,,,,"","SRID=4326;LINESTRING(-73.1210242497708 41.7760582676554,-73.1163757756949 41.7761651690836)"
29034,5385,5386,345000;115000;345000,3,,,Long Mountain - Frost Bridge 345kV transmission line;Frost Bridge - Southington 345kV transmission line,CL&P,352,20271.2198525872,,,,,"","SRID=4326;LINESTRING(-72.8664148797653 41.5884389278408,-73.060683226956 41.6125089058059)"
16895,4217,24173,,,,,,,,8305.68657233943,,,,,"","SRID=4326;LINESTRING(-72.7581139965077 41.8912367383718,-72.7056965705151 41.8446939095316)"
11983,5437,21985,115000,3,,,115kV transmission line,,,4153.65084942956,,,,,"","SRID=4326;LINESTRING(-73.4337635775983 41.5825363744667,-73.4322023191822 41.5512072829981)"
11957,5383,21973,345000,6;3,,60,East Shore - Scovill Rock 345kV transmission line,CL&P,387,21773.8470279777,,,,,"","SRID=4326;LINESTRING(-72.7550744088109 41.4892264142531,-72.8201313375916 41.3195552051938)"
11818,10668,21906,115000,,,,115kV transmission line,,,9598.05656943544,,,,,"","SRID=4326;LINESTRING(-72.6689241072213 41.828858949392,-72.5672530698292 41.7969394858963)"
29105,949,5460,345000,3,,,Millstone - Haddam - Beseck 345kV transmission line,,348,8496.29992719867,,,,,"","SRID=4326;LINESTRING(-72.5697084915461 41.5103687294803,-72.6723085339121 41.5114215710587)"
11937,10668,21965,345000,3,,,Manchester - North Bloomfield - Barbour Hill 345kV transmission line,,395,3764.02761856235,,,,,"","SRID=4326;LINESTRING(-72.6689241072213 41.828858949392,-72.7025531856729 41.8437479140429)"
5914,30024,28573,345000,6;3;3;3;3,,60,East Shore - Scovill Rock 345kV transmission line,CL&P,387,4409.95186194683,,,,,"","SRID=4326;LINESTRING(-72.8541655913417 41.2876913542746,-72.9034972325885 41.2873761583542)"
29024,5384,5383,345000;345000;115000;345000;115000;115000;345000,3;6;3;3,,,Beseck - Southington 345kV transmission line,CL&P,3754,2115.98631086233,,,,,"","SRID=4326;LINESTRING(-72.7519003451497 41.5101189929779,-72.7550744088109 41.4892264142531)"
16892,10656,24171,,,,,,,,2352.51744453636,,,,,"","SRID=4326;LINESTRING(-72.7286014370961 41.8287211163723,-72.7065985688919 41.8435141567773)"
29083,5386,5428,115000,,,,115kV transmission line,CL&P,1813,15689.296103742,,,,,"","SRID=4326;LINESTRING(-73.060683226956 41.6125089058059,-73.2411838035572 41.6010919851596)"
11824,5283,21909,345000,3,,,Manchester - Card 345kV transmission line;Millstone - Manchester 345kV transmission line,,368,1218.26801227211,,,,,"","SRID=4326;LINESTRING(-72.5575565920892 41.7702117242331,-72.5555629337108 41.7581697594215)"
16893,10656,24172,,,,,,,,2471.12568666219,,,,,"","SRID=4326;LINESTRING(-72.7286014370961 41.8287211163723,-72.7058614113698 41.8442157606171)"
11917,5423,21953,115000,,,,,,,6117.99380320827,,,,,"","SRID=4326;LINESTRING(-72.1160958701275 41.4290532753345,-72.1885272088001 41.4332669871006)"
11925,21975,21958,115000;345000;115000,3,,,Beseck - East Devon 345kV transmission line,CL&P,3827,5975.65895680877,,,,,"","SRID=4326;LINESTRING(-72.8298439224435 41.4350701000443,-72.8884463284868 41.4551140578078)"
40192,21953,725,345000,6;3,,,Millstone - Haddam - Beseck 345kV transmission line,CL&P,348,16407.5822653224,,,,,"","SRID=4326;LINESTRING(-72.1885272088001 41.4332669871006,-72.1653714395008 41.3148141375493)"
29033,5384,5385,345000,3,,,Beseck - Southington 345kV transmission line,CL&P,3754,16638.7274500763,,,,,"","SRID=4326;LINESTRING(-72.7519003451497 41.5101189929779,-72.8664148797653 41.5884389278408)"
29023,5384,5383,345000;345000;115000;115000;115000;345000,3;6;3,,,Millstone - Haddam - Beseck 345kV transmission line,,348,2109.02769046517,,,,,"","SRID=4326;LINESTRING(-72.7519003451497 41.5101189929779,-72.7550744088109 41.4892264142531)"
29106,21953,5461,345000;115000;345000;345000;115000;345000,6;3;3;3,,,Millstone - Haddam - Beseck 345kV transmission line;115kV transmission line;Millstone - Haddam - Beseck 345kV transmission line,CL&P,348,25879.6757491415,,,,,"","SRID=4326;LINESTRING(-72.1885272088001 41.4332669871006,-72.477412981103 41.4608940132587)"
11820,5323,21908,115000,3;6;3;3;3;3;3;3,,,Manchester to Hopewell 115kV transmission line;Middletown - Portland 115kV transmission line;Portland - Hopewell 115kV transmission line;Middletown - Haddam 115kV transmission line,CL&P,1767,8016.58001965214,,,,,"","SRID=4326;LINESTRING(-72.5549951814505 41.6810087421623,-72.5539974396652 41.7466962592945)"
29004,949,5363,345000,3,,,Middletown - Scovill Rock 345kV transmission line,CL&P,384,4924.05664828198,,,,,"","SRID=4326;LINESTRING(-72.5697084915461 41.5103687294803,-72.5780599835187 41.5544871227583)"
29026,5460,5384,345000,3,,,Millstone - Haddam - Beseck 345kV transmission line,,348,9798.30021943117,,,,,"","SRID=4326;LINESTRING(-72.6723085339121 41.5114215710587,-72.7519003451497 41.5101189929779)"
40193,5324,725,345000,3;6,,,Millstone - Card 345kV transmission line;345kV transmission line,CL&P,383,45979.0603304571,,,,,"","SRID=4326;LINESTRING(-72.2345220430706 41.7021804585809,-72.1653714395008 41.3148141375493)"
11959,21975,21974,345000,3,,,Beseck - East Devon 345kV transmission line,,3827,1316.94319492002,,,,,"","SRID=4326;LINESTRING(-72.8298439224435 41.4350701000443,-72.8172601422805 41.4279703688917)"
29079,21972,5423,115000;345000;345000,3,,,Millstone - Montville 345kV transmission line,,371,340.478470457465,,,,,"","SRID=4326;LINESTRING(-72.111120818072 41.4274361772427,-72.1160958701275 41.4290532753345)"
29028,5426,5385,115000;345000;115000;345000,6;3;3;3;3,,,Southington - Todd 115kV transmission line;Scovill Rock - Southington 345kV transmission line,CL&P,1910;1950,3172.61968163415,,,,,"","SRID=4326;LINESTRING(-72.9019513196985 41.5735415713695,-72.8664148797653 41.5884389278408)"
11982,5437,21985,345000,3,,,Long Mountain - Plumtree 345kV transmission line,,321,4234.75696545446,,,,,"","SRID=4326;LINESTRING(-73.4337635775983 41.5825363744667,-73.4322023191822 41.5512072829981)"
11819,5282,21907,345000,3,,,Barbour Hill - Ludlow 345kV transmission line;Barbour Hill Substation;Manchester - North Bloomfield - Barbour Hill 345kV transmission line;Barbour Hill - Ludlow 345kV transmission line,,3419,7658.43667254292,,,,,"","SRID=4326;LINESTRING(-72.5285725948653 41.8544597606199,-72.5745676020301 41.7999389550383)"
29032,5460,5385,115000;345000;115000;345000,6;3;3;3,,,Southington - Todd 115kV transmission line;Scovill Rock - Southington 345kV transmission line,CL&P,1910;1950,22086.4151640544,,,,,"","SRID=4326;LINESTRING(-72.6723085339121 41.5114215710587,-72.8664148797653 41.5884389278408)"
29002,949,5362,345000,3,,,Scovill Rock - Kleen 345kV transmission line,CL&P,3533,5813.37637087708,,,,,"","SRID=4326;LINESTRING(-72.5697084915461 41.5103687294803,-72.5968939780797 41.5541582930026)"
11958,5383,21974,345000,3,,,Beseck - East Devon 345kV transmission line,,3827,9415.90451382595,,,,,"","SRID=4326;LINESTRING(-72.7550744088109 41.4892264142531,-72.8172601422805 41.4279703688917)"
29038,5437,5388,345000,3,,,Long Mountain - Plumtree 345kV transmission line,,321,4333.80759715285,,,,,"","SRID=4326;LINESTRING(-73.4337635775983 41.5825363744667,-73.4422414766025 41.6204172308075)"
5898,5466,28569,345000,,,,Killingly - Lake Road 345kV transmission line;Killingly - Sherman Road 345kV transmission line,,3348,538.733590876653,,,,,"","SRID=4326;LINESTRING(-71.8959826605628 41.8747621138362,-71.8909522781061 41.8822695993955)"
28056,5565,4217,,,,,Central New England Railway,,,6908.56013721125,,,,,"","SRID=4326;LINESTRING(-72.6928099887243 41.9156250404416,-72.7581139965077 41.8912367383718)"
11970,21979,21981,115000,3,,,115kV transmission line,CL&P,1900,3215.79454748981,,,,,"","SRID=4326;LINESTRING(-73.1163757756949 41.7761651690836,-73.0860725468896 41.7906136811102)"
28979,5466,5324,345000,3,,,Card - Lake Road 345kV transmission line,CL&P,330,46731.7663235477,,,,,"","SRID=4326;LINESTRING(-71.8959826605628 41.8747621138362,-72.2345220430706 41.7021804585809)"
11971,3441,21981,345000,3,,,Franklin Drive - Canton 115kV transmission line,CL&P,1732,14376.206425281,,,,,"","SRID=4326;LINESTRING(-72.9265979797912 41.8384841093888,-73.0860725468896 41.7906136811102)"
29077,21972,5422,115000;345000;345000,6;3;3;3,,,Montville - Williams - Flanders 115kV transmission line;Millstone - Montville 345kV transmission line,,1500;1605,415.742725872139,,,,,"","SRID=4326;LINESTRING(-72.111120818072 41.4274361772427,-72.1040913312346 41.4286032472661)"
11985,21985,21986,345000;345000;115000;115000;345000;115000,3;6;3;6,,,Long Mountain - Plumtree 345kV transmission line,,321,14256.0579952439,,,,,"","SRID=4326;LINESTRING(-73.4322023191822 41.5512072829981,-73.4028029752157 41.4322939870731)"
10664,3441,21391,345000,3,,,North Bloomfield - Northeast Simsbury - Canton 115kV transmission line,,1784,15840.4947365288,,,,,"","SRID=4326;LINESTRING(-72.9265979797912 41.8384841093888,-72.7924596335796 41.9093256596038)"
29084,5386,5428,345000;115000;345000,3,,,Long Mountain - Frost Bridge 345kV transmission line;Frost Bridge - Southington 345kV transmission line,CL&P,352,15731.9777126192,,,,,"","SRID=4326;LINESTRING(-73.060683226956 41.6125089058059,-73.2411838035572 41.6010919851596)"
11929,21907,21960,345000,3,,,Manchester - North Bloomfield - Barbour Hill 345kV transmission line,,395,5995.0647313264,,,,,"","SRID=4326;LINESTRING(-72.5745676020301 41.7999389550383,-72.6392813367828 41.8195622605981)"
29170,5363,5416,115000,3,,,Middletown - Pratt & Whitney 115kV transmission line,CL&P,1572,2291.20957858383,,,,,"","SRID=4326;LINESTRING(-72.5780599835187 41.5544871227583,-72.5635983800232 41.5404462725997)"
10662,4217,21391,345000,3,,,North Bloomfield - Northeast Simsbury - Canton 115kV transmission line,,1784,3740.00286756856,,,,,"","SRID=4326;LINESTRING(-72.7581139965077 41.8912367383718,-72.7924596335796 41.9093256596038)"
16896,10668,24173,,,,,,,,4076.22542599892,,,,,"","SRID=4326;LINESTRING(-72.6689241072213 41.828858949392,-72.7056965705151 41.8446939095316)"
25908,947,19602,,3,,,,,,6667.82653948818,,,,,"","SRID=4326;LINESTRING(-72.4927042945962 41.4882845705645,-72.5517417699867 41.5119533174445)"
12013,21999,22001,345000,6,,,Millstone - Haddam - Beseck 345kV transmission line,,348,3169.5929905254,,,,,"","SRID=4326;LINESTRING(-72.6283939352023 41.4871424937686,-72.6627878223169 41.4967830067656)"
