v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
21979,-73.1163757756949,41.7761651690836,joint,115000,,115kV transmission line,CL&P,1788,SRID=4326;POINT(-73.1163757756949 41.7761651690836)
5426,-72.9019513196985,41.5735415713695,substation,115000,,Canal Street Substation,CL&P,15Q,SRID=4326;POINT(-72.9019513196985 41.5735415713695)
5283,-72.5575565920892,41.7702117242331,substation,345000;115000,,Manchester Substation,,,SRID=4326;POINT(-72.5575565920892 41.7702117242331)
5423,-72.1160958701275,41.4290532753345,substation,,,Uncasville Substation,,,SRID=4326;POINT(-72.1160958701275 41.4290532753345)
21999,-72.6283939352023,41.4871424937686,joint,345000;115000;345000,,Millstone - Haddam - Beseck 345kV transmission line,CL&P,348,SRID=4326;POINT(-72.6283939352023 41.4871424937686)
5466,-71.8959826605628,41.8747621138362,substation,345000,,Lake Road Substation,,,SRID=4326;POINT(-71.8959826605628 41.8747621138362)
21980,-73.1158300491598,41.7764342759883,joint,345000;115000,,Franklin Drive - Canton 115kV transmission line;115kV transmission line,CL&P,1732,SRID=4326;POINT(-73.1158300491598 41.7764342759883)
5460,-72.6723085339121,41.5114215710587,sub_station,115000,,Dooley Substation,CL&P,30K,SRID=4326;POINT(-72.6723085339121 41.5114215710587)
5363,-72.5780599835187,41.5544871227583,substation,115000,,,,,SRID=4326;POINT(-72.5780599835187 41.5544871227583)
5430,-73.1166299100587,41.7997261554941,substation,,,Franklin Drive Substation,,,SRID=4326;POINT(-73.1166299100587 41.7997261554941)
5282,-72.5285725948653,41.8544597606199,substation,345000;115000,,Barbour Hill Substation,,,SRID=4326;POINT(-72.5285725948653 41.8544597606199)
21972,-72.111120818072,41.4274361772427,joint,115000;345000,,Montville - Williams - Flanders 115kV transmission line;Millstone - Montville 345kV transmission line,,1500;1605,SRID=4326;POINT(-72.111120818072 41.4274361772427)
21907,-72.5745676020301,41.7999389550383,joint,345000,,Manchester - North Bloomfield - Barbour Hill 345kV transmission line,,395,SRID=4326;POINT(-72.5745676020301 41.7999389550383)
10656,-72.7286014370961,41.8287211163723,sub_station,,,,,,SRID=4326;POINT(-72.7286014370961 41.8287211163723)
5416,-72.5635983800232,41.5404462725997,sub_station,,,Pratt & Whitney Substation,CL&P,23B,SRID=4326;POINT(-72.5635983800232 41.5404462725997)
