v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
19950,-75.7653030021732,39.6130380093974,joint,230000,,,,,SRID=4326;POINT(-75.7653030021732 39.6130380093974)
29532,-75.2411788146067,38.5850663053787,merge,,,,,,SRID=4326;POINT(-75.2411788146067 38.5850663053787)
1686,-75.7715101131792,39.612801833353,station,,,,,,SRID=4326;POINT(-75.7715101131792 39.612801833353)
29539,-75.7295819045966,39.6335791735502,merge,138000;500000;230000,,,,,SRID=4326;POINT(-75.7295819045966 39.6335791735502)
9481,-75.6032753788416,39.6965629060916,sub_station,,,,,,SRID=4326;POINT(-75.6032753788416 39.6965629060916)
1638,-75.5792040990014,38.8939561421409,station,,,,,,SRID=4326;POINT(-75.5792040990014 38.8939561421409)
1687,-75.6936077382251,39.6931158908979,sub_station,,,,,,SRID=4326;POINT(-75.6936077382251 39.6931158908979)
19956,-75.7410547777089,39.6712697740715,joint,230000;138000;138000;230000,,,,,SRID=4326;POINT(-75.7410547777089 39.6712697740715)
29839,-75.6545424077044,39.6965712155653,joint,,,,,,SRID=4326;POINT(-75.6545424077044 39.6965712155653)
19947,-75.7630027760567,39.614314591832,joint,138000;230000;230000;138000,,,,,SRID=4326;POINT(-75.7630027760567 39.614314591832)
5059,-75.6625094404185,39.6892913637067,sub_station,,,,,,SRID=4326;POINT(-75.6625094404185 39.6892913637067)
19946,-75.7449280437195,39.6206150847356,joint,230000;138000,,,,,SRID=4326;POINT(-75.7449280437195 39.6206150847356)
19957,-75.7407754016556,39.6701946976528,joint,230000;138000;138000;230000,,,,,SRID=4326;POINT(-75.7407754016556 39.6701946976528)
19949,-75.7244925388156,39.6362726630197,joint,138000;230000,,,,,SRID=4326;POINT(-75.7244925388156 39.6362726630197)
2847,-75.6260939948526,39.6081212060554,station,,,,,,SRID=4326;POINT(-75.6260939948526 39.6081212060554)
21823,-75.7188195879649,39.6398190216661,joint,,,,,,SRID=4326;POINT(-75.7188195879649 39.6398190216661)
29534,-75.3996559986373,38.8812094086408,merge,,,,,,SRID=4326;POINT(-75.3996559986373 38.8812094086408)
19948,-75.7431933070743,39.6217754189643,joint,230000,,,,,SRID=4326;POINT(-75.7431933070743 39.6217754189643)
19953,-75.74132049937,39.6723052142217,joint,230000;138000;230000;138000,,,,,SRID=4326;POINT(-75.74132049937 39.6723052142217)
