l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
37167,14527,14530,138000,3,,60,,FPL,,5923.08963576545,,,,,"","SRID=4326;LINESTRING(-80.2208421777124 26.3918726692979,-80.219746472126 26.3367616320416)"
5344,12204,28422,230000,3,,60,,,,4.91011405966523,,,,,"","SRID=4326;LINESTRING(-80.2464862134398 27.3486330747803,-80.2492403174042 27.3467023480636)"
23408,14531,27220,138000,3,,60,,Florida Power & Light,,3495.61268336508,,,,,"","SRID=4326;LINESTRING(-80.2172855367499 26.2592426823558,-80.2202706494916 26.2290684926199)"
18507,6790,24876,230000,6;3;3,1,60,,Flordia Power and Light,,3442.95386806585,,,,,"","SRID=4326;LINESTRING(-81.7688183864897 26.6729474696482,-81.7756671821756 26.6990297274313)"
30967,22771,7512,138000;230000;230000;138000,3;6,,60,,JEA,,1407.75523340239,,,,,"","SRID=4326;LINESTRING(-81.5370514661791 30.4093327210607,-81.5497784203959 30.4182619367947)"
25805,19548,19551,230000;69000,6;3,,,,Progress Energy,,399.335565724002,,,,,"","SRID=4326;LINESTRING(-81.4508368245956 28.4769663276777,-81.4538194110019 28.4744860008765)"
8661,4914,20469,230000,3,,60,,JEA,916,3526.08961926467,,,,,"","SRID=4326;LINESTRING(-81.5376439041178 30.107370154947,-81.5362885270083 30.075432672785)"
23320,7681,27180,138000;230000,3,,60,,FPL,,2356.49349455206,,,,,"","SRID=4326;LINESTRING(-80.3376718722557 25.7054217346868,-80.360073211371 25.7014372260783)"
8020,16373,29364,230000,3,,60,,,,6518.17040722626,,,,,"","SRID=4326;LINESTRING(-82.446119134515 27.3309414132045,-82.4829879415355 27.3579491906937)"
9650,20904,20906,230000,,,,,,,608.87897891368,,,,,"","SRID=4326;LINESTRING(-80.3544115792928 26.0356948051664,-80.360505031528 26.0355303068741)"
2496,16130,30695,230000,3,1,60,,Flordia Power and Light,,840.319505611218,,,,,"","SRID=4326;LINESTRING(-81.7688443356498 26.6260181257541,-81.7678230032831 26.6180405861901)"
38873,536,16283,230000;69000;230000,3,,60,,Tampa Electric,,16357.937030697,,,,,"","SRID=4326;LINESTRING(-82.2013064334803 27.8559675684376,-82.1468741301904 27.9660292301626)"
23451,24881,27243,230000,3,1,60,,LCEC,,30227.4074946372,,,,,"","SRID=4326;LINESTRING(-81.9562074438744 26.9467452829048,-81.9564015698073 26.7044496859272)"
40350,22741,878,230000,3,,,,,,60.7512702077447,,,,,"","SRID=4326;LINESTRING(-81.9528165731715 28.8181026024294,-81.9551678936894 28.8168903073324)"
9648,3537,20905,230000,,,,,,,1131.82171222078,,,,,"","SRID=4326;LINESTRING(-80.4087546234164 26.0348235588873,-80.3965332236391 26.0350611061104)"
9652,3540,20907,230000,,,,,,,4985.96127838851,,,,,"","SRID=4326;LINESTRING(-80.3118944370649 26.0364637877644,-80.2616712161593 26.0363703111913)"
8057,11254,29377,,,,,,,,14157.0011245249,,,,,"","SRID=4326;LINESTRING(-85.5188818720032 30.2654270894266,-85.6318162889347 30.1939840933554)"
40331,1644,871,230000,3;6;6,,,,Progress Energy,,4244.37633468359,,,,,"","SRID=4326;LINESTRING(-81.4546403046109 28.4179404480626,-81.4736247028182 28.3847963563011)"
37040,6522,14411,230000,3,,60,,Florida Power & Light,,2007.78920290853,,,,,"","SRID=4326;LINESTRING(-81.3275743726442 28.7925151121616,-81.3300781286177 28.8102632255278)"
