v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
26853,-87.225595093961,30.5711890245163,joint,230000,60,,Gulf Power,,SRID=4326;POINT(-87.225595093961 30.5711890245163)
14214,-81.8349148623344,27.9085550867931,substation,230000;69000,60,North Bartow Substation,Progress Energy,,SRID=4326;POINT(-81.8349148623344 27.9085550867931)
24878,-81.7778508069682,26.7011981590864,joint,230000,,,,,SRID=4326;POINT(-81.7778508069682 26.7011981590864)
1792,-81.4546818878385,28.6229904231286,sub_station,,,,Progress Energy,,SRID=4326;POINT(-81.4546818878385 28.6229904231286)
9356,-80.2128237305631,26.0766571944268,substation,,,,,,SRID=4326;POINT(-80.2128237305631 26.0766571944268)
1777,-81.3990712682415,28.642783580728,sub_station,,,,Progress Energy,,SRID=4326;POINT(-81.3990712682415 28.642783580728)
30120,-86.6460424782297,30.4753805293248,joint,230000,60,Shoal River to Wright 230kV transmission line,Gulf Power,,SRID=4326;POINT(-86.6460424782297 30.4753805293248)
28412,-80.7067400078202,28.043545732999,merge,230000;138000,60,Malabar Substation,FPL,,SRID=4326;POINT(-80.7067400078202 28.043545732999)
29535,-81.3751141349594,28.3746699856303,merge,230000;69000,,Taft Substation;Meadow Woods South Substation,Orlando Utilities Commission,,SRID=4326;POINT(-81.3751141349594 28.3746699856303)
16039,-80.326523223941,25.8058163396041,substation,230000;24000,60,Milam Substation,FPL,,SRID=4326;POINT(-80.326523223941 25.8058163396041)
19095,-82.3705954335363,27.9068758498733,joint,230000,60,,Tampa Electric,,SRID=4326;POINT(-82.3705954335363 27.9068758498733)
7492,-81.290813345369,28.9117847357416,substation,230000;115000,60,Orange City Substation,Progress Energy,,SRID=4326;POINT(-81.290813345369 28.9117847357416)
5751,-82.5913325281827,28.0402198282155,substation,230000;69000,60,Sheldon Road Substation,Tampa Electric,,SRID=4326;POINT(-82.5913325281827 28.0402198282155)
30280,-82.3567446514421,27.9368797505432,joint,230000,60,,Tampa Electric,,SRID=4326;POINT(-82.3567446514421 27.9368797505432)
20908,-80.2608447660979,26.0364188209138,joint,230000,60,,,,SRID=4326;POINT(-80.2608447660979 26.0364188209138)
5055,-81.6119714584786,30.1855225977433,substation,138000,60,Hartley Substation,JEA,,SRID=4326;POINT(-81.6119714584786 30.1855225977433)
1894,-81.193810572949,28.2919032140341,sub_station,,,,Orlando Utilities Commission,,SRID=4326;POINT(-81.193810572949 28.2919032140341)
