l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
7195,7383,29044,230000,3,,60,,,,22815.4034150749,,,,,"","SRID=4326;LINESTRING(-84.4889302531813 30.8396297742137,-84.697045216157 30.7410085574623)"
32454,8983,8984,230000,3,,,,,,17228.2675195849,,,,,"","SRID=4326;LINESTRING(-84.0006225010016 33.7490554375645,-83.8823735802807 33.8681661222676)"
32295,8807,8817,230000;69000,,,,,,,3973.98910632274,,,,,"","SRID=4326;LINESTRING(-83.2102333573732 30.7646960907792,-83.2179833212049 30.7283636403613)"
15387,9216,23506,230000,6,,,,,,2204.43511978016,,,,,"","SRID=4326;LINESTRING(-84.2666528079858 34.0986393103557,-84.2461949221086 34.103623188886)"
30270,6815,6816,230000,3,,,,,,2677.41990980641,,,,,"","SRID=4326;LINESTRING(-83.7031443733424 32.6030128925575,-83.7278228170885 32.6179447040497)"
3986,7170,31287,,,,,,,,6430.14676169648,,,,,"","SRID=4326;LINESTRING(-83.6376004655834 32.9152645643424,-83.6963067296828 32.9271476717746)"
32671,9204,9207,230000,3,,,,,,1339.13662467643,,,,,"","SRID=4326;LINESTRING(-84.1335752686587 34.3781184827622,-84.1205608456359 34.3757875750767)"
30213,6751,6754,500000,,,,,,,5449.38414699646,,,,,"","SRID=4326;LINESTRING(-84.1671726845437 33.9102398270543,-84.1328642021974 33.8704604723059)"
31688,8236,8238,230000,6,,,,,,5793.07425126354,,,,,"","SRID=4326;LINESTRING(-84.6191863875215 33.5187675423525,-84.5589696981142 33.5389167237281)"
31675,8225,8235,,3;6,,,,,,27416.1449278,,,,,"","SRID=4326;LINESTRING(-84.9058388089338 33.4615804335336,-84.6235412558025 33.5177705868959)"
30204,6745,6749,500000,,,,,,,19929.5871808181,,,,,"","SRID=4326;LINESTRING(-84.1245464804286 33.6368572186296,-84.1791014603368 33.4933764407594)"
32314,8819,8833,,,,,,,,23720.3778934373,,,,,"","SRID=4326;LINESTRING(-83.227963003366 30.8817256235488,-83.3522651816331 31.0679647701692)"
30737,1030,7276,230000,,,,,,,26501.1376468915,,,,,"","SRID=4326;LINESTRING(-82.1436728109689 31.4230380282788,-82.371849040041 31.545933459754)"
30568,7127,7129,230000,3,,,,,,21657.7377713597,,,,,"","SRID=4326;LINESTRING(-84.9156610707994 32.6104157311701,-84.6931751909425 32.5888511249749)"
14403,6784,23034,230000,3,,,,,,13209.2513832863,,,,,"","SRID=4326;LINESTRING(-82.6475028006614 32.9478291860942,-82.7650572630603 33.0055528910277)"
14589,8321,23120,,,,,,,,779.067534907387,,,,,"","SRID=4326;LINESTRING(-83.4060963897358 34.0431855701505,-83.3973106043076 34.0462213202315)"
2636,19670,30754,,,,,,,,510.757880331645,,,,,"","SRID=4326;LINESTRING(-84.9304931474882 34.7164761769835,-84.9360092845947 34.7146311600086)"
32821,1008,9371,230000,6,,,,,,5836.40770828834,,,,,"","SRID=4326;LINESTRING(-84.4306071857399 33.779224492783,-84.4681537214949 33.817632048601)"
353,10161,29789,,,,,,,,4800.57679800025,,,,,"","SRID=4326;LINESTRING(-85.3285686494325 34.3259060499768,-85.3509195982262 34.3622320322669)"
30552,4541,7106,,,,,,,,21008.2940816418,,,,,"","SRID=4326;LINESTRING(-81.1751900786485 32.3520934799212,-81.3489560301074 32.3528312548648)"
6232,1019,28680,230000,,,,,Georgia Power,,29706.0038777548,,,,,"","SRID=4326;LINESTRING(-81.9953248977448 33.3197670118284,-81.7622532773644 33.1434146429701)"
30225,6724,6771,500000,,,,,,,3006.76732729693,,,,,"","SRID=4326;LINESTRING(-84.2134944414856 33.9326061528798,-84.1779999655285 33.9407345989571)"
33556,10162,10163,230000,3,,60,,,,1622.39237182638,,,,,"","SRID=4326;LINESTRING(-85.2932800852963 34.0126246139327,-85.2888375107678 33.9962367208641)"
4309,1132,29507,,,,,,,,14908.1827158905,,,,,"","SRID=4326;LINESTRING(-85.2726008125997 34.7030442204783,-85.2801214612877 34.838742950492)"
15530,5042,23564,230000,6,,,,,,6760.88312285578,,,,,"","SRID=4326;LINESTRING(-84.2404192215721 33.2488435854682,-84.2585756830174 33.3074270651496)"
4310,18154,29507,,,,,,,,1045.58184728832,,,,,"","SRID=4326;LINESTRING(-85.2791358669566 34.8499929898487,-85.2801214612877 34.838742950492)"
32746,9293,9295,,3,,,,,,6541.65445215101,,,,,"","SRID=4326;LINESTRING(-84.6730626670408 34.2435634048719,-84.7401484116392 34.2208961213743)"
31831,1047,8339,230000,3,,,,,,17350.2441404264,,,,,"","SRID=4326;LINESTRING(-83.0787567592735 34.2453539588498,-83.2408726886651 34.1628702592456)"
30580,7131,7132,500000,,,,,,,17465.0217735356,,,,,"","SRID=4326;LINESTRING(-84.3301631439865 32.2203738282028,-84.2117005431536 32.0976696476922)"
4710,6832,29623,500000,,,,,,,390.661815791255,,,,,"","SRID=4326;LINESTRING(-82.3529961011794 31.9317260347121,-82.3435521970937 31.9332303158004)"
31678,30443,8235,230000,3;6,,,,,,25191.8095259788,,,,,"","SRID=4326;LINESTRING(-84.8856411097094 33.4594039645671,-84.6235412558025 33.5177705868959)"
37829,9199,15225,,,,,,,,5916.75225167893,,,,,"","SRID=4326;LINESTRING(-83.7020206669394 32.4553814200719,-83.6574344686854 32.4937491645246)"
25994,6729,18122,500000,,,,,,,14865.5477195708,,,,,"","SRID=4326;LINESTRING(-84.8824358410944 34.384600433673,-84.9244298786465 34.2538449946546)"
991,9257,30063,,,,,Power Transmission Line,,,5865.87922453291,,,,,"","SRID=4326;LINESTRING(-84.4053669282376 34.242482029176,-84.4486846062861 34.2795860567871)"
38027,8196,15447,,,,,,,,6798.83641584403,,,,,"","SRID=4326;LINESTRING(-83.6262854418478 32.820412897405,-83.5986007623937 32.859427656321)"
36726,14131,14145,,,,,,,,6807.7089059777,,,,,"","SRID=4326;LINESTRING(-85.287082147556 34.22581533111,-85.3254236572248 34.2653254870881)"
40521,1060,1061,230000,3,,,,,,13331.9881863661,,,,,"","SRID=4326;LINESTRING(-82.954687941739 34.2954093389601,-82.8211728715304 34.3411567480526)"
31453,7989,7991,,,,,,,,1568.97040322518,,,,,"","SRID=4326;LINESTRING(-81.9635543754144 33.3353853035739,-81.960953617726 33.3481091035955)"
31833,6713,8341,230000,3,,,,,,19216.4883748489,,,,,"","SRID=4326;LINESTRING(-83.7134436529698 34.2605083353936,-83.7007475534054 34.4015033491193)"
6219,6723,28677,500000,,,,,,,21586.3761838728,,,,,"","SRID=4326;LINESTRING(-84.5094709735399 33.5533676538873,-84.6164474053136 33.686155550962)"
40497,28883,1030,230000,3,,,,,,49517.3142614979,,,,,"","SRID=4326;LINESTRING(-81.6810310016606 31.2933095923298,-82.1436728109689 31.4230380282788)"
15370,23492,23493,,3,,,,,,1555.21881803123,,,,,"","SRID=4326;LINESTRING(-84.6239998303084 33.85483381389,-84.6237206339181 33.8688675972769)"
31811,8339,8325,230000,3,,,,,,19722.0913846944,,,,,"","SRID=4326;LINESTRING(-83.2408726886651 34.1628702592456,-83.3981001115762 34.0534264333528)"
35061,8215,12182,,3,,,,,,4039.68432448547,,,,,"","SRID=4326;LINESTRING(-85.0156689306294 33.0240817565058,-85.0433748005029 32.9934692447195)"
28321,4542,4543,230000,,,,,,,16706.8949253007,,,,,"","SRID=4326;LINESTRING(-81.2810985346937 32.2790634229663,-81.3683156238585 32.1552731982764)"
