l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
32600,9139,9138,,3,,,,,,13555.338558207,,,,,"","SRID=4326;LINESTRING(-112.162211702832 43.4679563203023,-112.220415191025 43.5549087684842)"
32601,9107,9138,,3,,,,,,17588.1432124747,,,,,"","SRID=4326;LINESTRING(-112.220799153071 43.7147526359922,-112.220415191025 43.5549087684842)"
2902,3586,30868,230000,3,,60,,,,47597.2338897536,,,,,"","SRID=4326;LINESTRING(-113.668706990579 42.7055381198625,-114.230473603748 42.6374269231374)"
14709,8491,23173,,,,,,,,57.880937281617,,,,,"","SRID=4326;LINESTRING(-115.9776167072 42.9448965885466,-115.978828038083 42.9440941883669)"
31342,3250,7892,230000,3,,60,,,,12815.6479850345,,,,,"","SRID=4326;LINESTRING(-116.910380080754 46.469068643596,-116.91537658664 46.3568995325743)"
2906,8753,30870,,3,,,,,,10239.3040852094,,,,,"","SRID=4326;LINESTRING(-113.627644910609 42.4813381116683,-113.544350272785 42.5321702097905)"
5311,23435,28407,,3;6,,,,,,33883.7415396848,,,,,"","SRID=4326;LINESTRING(-111.807119591604 43.5051492138201,-112.121591533509 43.3078464885291)"
27414,3521,3523,500000,3,,60,,,,111070.112909227,,,,,"","SRID=4326;LINESTRING(-114.426563207689 42.8346715682473,-115.624830983368 43.1750550962794)"
9657,3548,20909,,3,,,,,,512.699837483971,,,,,"","SRID=4326;LINESTRING(-112.873268094809 42.7753149857014,-112.880687473997 42.7740212719322)"
32540,3585,9061,138000,3,,,,,,10036.1041630568,,,,,"","SRID=4326;LINESTRING(-111.849917585064 42.2226218007585,-111.749457718166 42.2668992788294)"
14710,8496,23173,,,,,,,,205.614702987022,,,,,"","SRID=4326;LINESTRING(-115.981796549731 42.94354887288,-115.978828038083 42.9440941883669)"
27446,8015,3547,230000,3,,60,Brady - Antelope 230kV,Idaho Power,,90616.2866380491,,,,,"","SRID=4326;LINESTRING(-112.926359003837 43.5336908213846,-112.870206140191 42.77294520378)"
32235,8741,8744,,3,,,,,,4710.70788940186,,,,,"","SRID=4326;LINESTRING(-113.74947027762 42.561100528045,-113.751657076496 42.6044754479987)"
10719,3523,18402,,3,,,,,,3610.90996417227,,,,,"","SRID=4326;LINESTRING(-115.624830983368 43.1750550962794,-115.670441521442 43.1772063205262)"
