v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
27022,-112.495428704896,42.9002610984072,joint,,,,,,SRID=4326;POINT(-112.495428704896 42.9002610984072)
15833,-116.668381289086,47.4005611355483,substation,,,,,,SRID=4326;POINT(-116.668381289086 47.4005611355483)
9061,-111.749457718166,42.2668992788294,station,,,,,,SRID=4326;POINT(-111.749457718166 42.2668992788294)
29847,-115.282912488713,42.9589918444578,joint,,,,,,SRID=4326;POINT(-115.282912488713 42.9589918444578)
9140,-112.170442449936,44.0011180226788,substation,,,,,,SRID=4326;POINT(-112.170442449936 44.0011180226788)
8748,-113.354327029846,42.1290220873565,station,,,,,,SRID=4326;POINT(-113.354327029846 42.1290220873565)
9067,-111.912948296512,43.6835506723407,station,,,,,,SRID=4326;POINT(-111.912948296512 43.6835506723407)
9605,-113.336259188571,43.7829466632765,station,,,,,,SRID=4326;POINT(-113.336259188571 43.7829466632765)
9063,-111.368751672993,43.4555781553327,sub_station,,,,,,SRID=4326;POINT(-111.368751672993 43.4555781553327)
8754,-113.356787191996,42.1299431864192,station,,,,,,SRID=4326;POINT(-113.356787191996 42.1299431864192)
18402,-115.670441521442,43.1772063205262,joint,,,,,,SRID=4326;POINT(-115.670441521442 43.1772063205262)
23176,-115.731973692952,43.1784910660782,joint,230000,60,,,,SRID=4326;POINT(-115.731973692952 43.1784910660782)
9043,-111.590133837998,42.6874444735994,station,,,,,,SRID=4326;POINT(-111.590133837998 42.6874444735994)
1802,-116.378365977783,43.2439678862502,plant,,,,,,SRID=4326;POINT(-116.378365977783 43.2439678862502)
30967,-116.741569067779,47.3919355294877,joint,230000,60,Benewah - Pine Creek 230kV,Avista,,SRID=4326;POINT(-116.741569067779 47.3919355294877)
9602,-114.133058863992,44.4449296300969,station,,,,,,SRID=4326;POINT(-114.133058863992 44.4449296300969)
30360,-116.360225055599,43.2427106926998,joint,,,,,,SRID=4326;POINT(-116.360225055599 43.2427106926998)
28407,-112.121591533509,43.3078464885291,merge,,,Goshen Substation,,,SRID=4326;POINT(-112.121591533509 43.3078464885291)
28687,-111.835181703867,43.4654405638027,merge,,,,,,SRID=4326;POINT(-111.835181703867 43.4654405638027)
23263,-114.702521804668,42.0152701967981,joint,,,,,,SRID=4326;POINT(-114.702521804668 42.0152701967981)
3585,-111.849917585064,42.2226218007585,station,230000;138000,,Treasureton Substation,PacifiCorp,,SRID=4326;POINT(-111.849917585064 42.2226218007585)
23026,-112.61618689292,44.0899976739784,joint,230000,60,,,,SRID=4326;POINT(-112.61618689292 44.0899976739784)
12733,-116.395013561245,43.2054661316597,sub_station,,,,,,SRID=4326;POINT(-116.395013561245 43.2054661316597)
15963,-112.450177796892,42.8783379688796,substation,,,,,,SRID=4326;POINT(-112.450177796892 42.8783379688796)
8491,-115.9776167072,42.9448965885466,station,,,,,,SRID=4326;POINT(-115.9776167072 42.9448965885466)
8740,-113.872032130898,42.6911341461993,station,,,,,,SRID=4326;POINT(-113.872032130898 42.6911341461993)
9044,-111.595084752384,42.6871601248189,station,,,,,,SRID=4326;POINT(-111.595084752384 42.6871601248189)
23156,-116.696934089686,43.7057064711183,joint,230000;230000;138000;138000,60,,,,SRID=4326;POINT(-116.696934089686 43.7057064711183)
8503,-116.204894714766,43.5859420655653,substation,,,,,,SRID=4326;POINT(-116.204894714766 43.5859420655653)
8509,-115.471428912111,43.0606607190143,station,,,,,,SRID=4326;POINT(-115.471428912111 43.0606607190143)
9064,-111.848967683011,43.3757740554195,substation,,,,,,SRID=4326;POINT(-111.848967683011 43.3757740554195)
3531,-111.596281149314,42.7104333419394,station,,,,,,SRID=4326;POINT(-111.596281149314 42.7104333419394)
8731,-114.674509544334,42.0165411845308,station,,,,,,SRID=4326;POINT(-114.674509544334 42.0165411845308)
8496,-115.981796549731,42.94354887288,station,,,,,,SRID=4326;POINT(-115.981796549731 42.94354887288)
