l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
7205,179,29050,345000,3;6,,60,345kV transmission line,,,40796.6503704397,,,,,"","SRID=4326;LINESTRING(-88.2253788006448 41.2447489886979,-88.6675083613522 41.244726431089)"
27508,23528,3617,345000,3;6,,60,,,,52469.486226924,,,,,"","SRID=4326;LINESTRING(-87.5845380761401 41.4323552083119,-87.9108632927141 41.2098223375156)"
18625,6600,19051,,,,,,,,15.2086191223608,,,,,"","SRID=4326;LINESTRING(-88.9689189445832 38.3334134903466,-88.9668029329364 38.3336740097635)"
15274,26065,23449,345000,3,,60,,,,22903.9640026709,,,,,"","SRID=4326;LINESTRING(-89.4559082065233 41.8483615843573,-89.2814013895988 41.9591036074648)"
27504,3607,3608,345000,,,,,ComEd,,5735.98297275943,,,,,"","SRID=4326;LINESTRING(-87.6666149769832 41.6368656030363,-87.7331117289012 41.6401182418942)"
38638,11458,16062,,,,,,,,2358.75560188758,,,,,"","SRID=4326;LINESTRING(-88.6769903652341 41.2458644382257,-88.6595046791775 41.2624066195601)"
27399,30794,3510,345000,3,,60,,,,5227.7996782894,,,,,"","SRID=4326;LINESTRING(-88.0041636781084 41.9124879921265,-88.0467785502966 41.8953906497361)"
32565,30749,9101,345000,6,,60,345kV transmission line,ComEd,,69971.5324375494,,,,,"","SRID=4326;LINESTRING(-87.9894952848347 41.5193695117072,-88.5850554472708 41.1451924246191)"
6923,27044,28921,,,,,,,,5003.58420935111,,,,,"","SRID=4326;LINESTRING(-88.9478614161816 40.4525282864062,-88.9038253667743 40.4529092356022)"
41133,177,1669,345000,6,,60,,,,2657.48911778007,,,,,"","SRID=4326;LINESTRING(-87.9775431254683 41.9960639692275,-87.9957326320361 41.9802210255899)"
28273,2977,4492,138000,6,,60,,,,3871.47048788428,,,,,"","SRID=4326;LINESTRING(-88.2401359829831 42.0636716975548,-88.2369085074765 42.0263715607854)"
36707,3502,14129,,,,,,,,260.26070569493,,,,,"","SRID=4326;LINESTRING(-88.2325088281426 41.7075450400944,-88.2355723105879 41.7043626815276)"
26628,19939,19940,345000,6,,60,,,,180.34566560868,,,,,"","SRID=4326;LINESTRING(-88.0398240250682 41.8925256610982,-88.0419992955286 41.8927213906622)"
25612,9264,19474,345000,6,,60,,,,6203.60198986637,,,,,"","SRID=4326;LINESTRING(-88.2350717895937 42.2027591848685,-88.2373030095959 42.2565220981333)"
34014,9174,10747,138000,3,,60,,,,30365.5969200853,,,,,"","SRID=4326;LINESTRING(-87.9718516459153 39.5449792178137,-88.0566665995484 39.7991385018265)"
25641,19486,19487,345000,3,,60,,,,40.7313218970878,,,,,"","SRID=4326;LINESTRING(-89.1612687883381 42.0704193178428,-89.1607607012135 42.0704525931043)"
31591,8080,8149,345000,3,,60,Oak Grove - Sub 39 345kV,Mid-American Energy,,31886.7696638694,,,,,"","SRID=4326;LINESTRING(-90.3539415776192 41.5257073644435,-90.5858510349775 41.3977136032863)"
25678,29387,19501,,,,,,,,40.844213800478,,,,,"","SRID=4326;LINESTRING(-88.2556919422804 41.4787036735127,-88.2522824169586 41.4779209205582)"
7498,19144,29170,345000,6,,60,,Commonwealth Edison,,2823.14679464904,,,,,"","SRID=4326;LINESTRING(-87.7640377294139 42.0769626057814,-87.7555436198219 42.0502456000036)"
36231,13601,13608,,,,,,,,15671.3517482355,,,,,"","SRID=4326;LINESTRING(-89.1363939558007 42.2640596941726,-89.3182959615347 42.2928958610008)"
41921,29588,2483,345000,,,,,ComEd,,8062.95822446967,,,,,"","SRID=4326;LINESTRING(-87.7520436957058 41.4415421338286,-87.8255166351563 41.494643341988)"
27391,3502,3503,345000,,,,345kV transmission line,,,4168.20688985292,,,,,"","SRID=4326;LINESTRING(-88.2325088281426 41.7075450400944,-88.2344424431529 41.7477464800428)"
32614,30993,9153,345000,3,,60,,,,26124.0128989133,,,,,"","SRID=4326;LINESTRING(-89.354451281755 39.501749767695,-89.0800506038856 39.4085816197312)"
3950,23483,31273,345000,6,,60,,,,6992.43802585423,,,,,"","SRID=4326;LINESTRING(-89.747599174283 40.5950211028668,-89.6650763662295 40.5949797612182)"
13247,6577,22495,345000,3;6,,60,,,,13455.9970202405,,,,,"","SRID=4326;LINESTRING(-88.8909701777732 39.9168838225944,-88.8888079660341 40.0393563066447)"
30064,23459,6600,345000,3,,60,,,,62176.5856526258,,,,,"","SRID=4326;LINESTRING(-89.6655687056298 38.2631694673866,-88.9689189445832 38.3334134903466)"
27501,3702,3605,345000;345000;138000,,,,345kV transmission line,,,4909.091843171,,,,,"","SRID=4326;LINESTRING(-87.5545991800656 41.5879806022228,-87.5457450531979 41.6335931537473)"
6130,6603,28654,,3,,60,,,,170.546718686495,,,,,"","SRID=4326;LINESTRING(-88.8602111103086 37.2100568645649,-88.8599078274162 37.2144636124175)"
27503,3607,3608,138000,,,,,ComEd,,5751.04941986659,,,,,"","SRID=4326;LINESTRING(-87.6666149769832 41.6368656030363,-87.7331117289012 41.6401182418942)"
27397,9181,3510,138000,6;3;3,,60,,,,288.577775989975,,,,,"","SRID=4326;LINESTRING(-88.0433628603413 41.8944908587353,-88.0467785502966 41.8953906497361)"
13186,19509,22469,345000,6,,60,,Commonwealth Edison,,2740.11575083383,,,,,"","SRID=4326;LINESTRING(-87.8150058030151 41.8034626111582,-87.7831263003807 41.8085124073271)"
20420,13608,25817,,,,,,,,23492.7211965342,,,,,"","SRID=4326;LINESTRING(-89.3182959615347 42.2928958610008,-89.5848944235612 42.3023229669118)"
23038,16021,27049,,,,,,,,26076.7304147385,,,,,"","SRID=4326;LINESTRING(-89.5094502538696 42.0624179977829,-89.5525415087721 42.2694281023524)"
36706,3502,14129,345000,6,,60,,,,116.050214899147,,,,,"","SRID=4326;LINESTRING(-88.2325088281426 41.7075450400944,-88.2355723105879 41.7043626815276)"
26627,9181,19940,345000,3,,60,,,,142.546208013852,,,,,"","SRID=4326;LINESTRING(-88.0433628603413 41.8944908587353,-88.0419992955286 41.8927213906622)"
35560,8080,12818,161000;69000,6,,60,,,,16319.0403038128,,,,,"","SRID=4326;LINESTRING(-90.3539415776192 41.5257073644435,-90.4618488081022 41.4395034406424)"
18648,15087,19056,,,,,,,,279.379833181549,,,,,"","SRID=4326;LINESTRING(-88.5234814990424 37.7659424690396,-88.5274765431776 37.7672289069996)"
41167,9212,359,345000;138000;138000;138000;345000;345000;138000;138000,12;3;3;6;6;3;3,,60,,,,2899.57130332585,,,,,"","SRID=4326;LINESTRING(-88.0459259214671 41.8333091472588,-88.0433016472017 41.8599688293218)"
13248,22495,22496,345000,6,,60,,,,11172.5233432775,,,,,"","SRID=4326;LINESTRING(-88.8888079660341 40.0393563066447,-88.8850390842596 40.1396965787817)"
40247,378,776,345000,,,,,ComEd,,1960.08897741622,,,,,"","SRID=4326;LINESTRING(-88.0952335402634 41.6302516722437,-88.1224175199179 41.6310047761478)"
26644,19951,19952,345000;138000,9,,60,,,,197.177165137778,,,,,"","SRID=4326;LINESTRING(-88.0371076094805 41.8143465576472,-88.0372129818633 41.8161334214233)"
6,16113,29632,,,,,,,,77164.7424393586,,,,,"","SRID=4326;LINESTRING(-89.7221592523118 39.6374713405832,-90.566039648153 39.8224013498592)"
15276,19487,23449,345000,3,,60,,,,15930.5690575994,,,,,"","SRID=4326;LINESTRING(-89.1607607012135 42.0704525931043,-89.2814013895988 41.9591036074648)"
25616,19474,19475,345000,3,,60,,,,19.9330970919612,,,,,"","SRID=4326;LINESTRING(-88.2373030095959 42.2565220981333,-88.2373198979232 42.2567143812805)"
1205,19056,30148,,,,,,,,31192.4404204191,,,,,"","SRID=4326;LINESTRING(-88.5274765431776 37.7672289069996,-88.8423771497677 37.8762374292252)"
175,19498,29713,345000,6,,60,,,,821.334942776498,,,,,"","SRID=4326;LINESTRING(-88.2963384934376 41.4103744209174,-88.2933443480708 41.417678869786)"
18624,19049,19051,,,,,,,,675.294056702357,,,,,"","SRID=4326;LINESTRING(-88.9591029336471 38.3332309954145,-88.9668029329364 38.3336740097635)"
36640,26065,14050,,,,,,,,36566.4670791716,,,,,"","SRID=4326;LINESTRING(-89.4559082065233 41.8483615843573,-89.0273093182244 41.825115591699)"
8096,28415,29388,765000,3,,60,,,,55115.8967564361,,,,,"","SRID=4326;LINESTRING(-88.4787423108328 41.6847098757539,-88.3472991832447 41.3518795991202)"
2181,20326,30560,345000,6,,60,,,,1936.8162509075,,,,,"","SRID=4326;LINESTRING(-87.6132254154124 41.4315262584083,-87.5899578219803 41.4317844967619)"
3211,10695,30991,,,,,,,,65205.601984931,,,,,"","SRID=4326;LINESTRING(-88.9763794580383 38.6185957867409,-88.4597287708207 38.7543552603913)"
40187,19485,723,345000,3;6,,60,,,,10661.1915635916,,,,,"","SRID=4326;LINESTRING(-89.0488219031539 42.1544726017015,-88.9759360647641 42.2163160336853)"
19423,13317,25309,,,,,,,,1989.29387728835,,,,,"","SRID=4326;LINESTRING(-90.4852222724208 41.478340892688,-90.4895170487851 41.4638519035343)"
9877,3723,21015,345000,3,,60,345kV transmission line,,,49686.9083172496,,,,,"","SRID=4326;LINESTRING(-90.3062703567472 41.7265190631724,-89.7189931325439 41.7585030039823)"
32578,28654,9110,230000,3,,60,Joppa - West Frankfort 230kV,Ameren Illinois,,76235.3624447825,,,,,"","SRID=4326;LINESTRING(-88.8599078274162 37.2144636124175,-88.933323768179 37.8894706758926)"
23177,19268,19269,345000,,,,,ComEd,,74.6649766010193,,,,,"","SRID=4326;LINESTRING(-87.8078744373005 41.6384662603659,-87.8074485460243 41.6378596185197)"
32587,28915,9123,230000,3,,60,,,,15750.4566179314,,,,,"","SRID=4326;LINESTRING(-89.3478681435202 38.1116268305652,-89.2183588573174 38.0529636261435)"
36606,14008,14016,,,,,,,,4671.86309269042,,,,,"","SRID=4326;LINESTRING(-89.6995992296174 40.7827603095012,-89.6515884551206 40.7755403942594)"
40229,759,763,,,,,,,,677.139943278738,,,,,"","SRID=4326;LINESTRING(-88.2748930073617 41.3910385459572,-88.2854613123562 41.3947839788872)"
6899,27694,28912,230000,3,,60,,,,11032.5628888976,,,,,"","SRID=4326;LINESTRING(-89.5740560699952 38.2160847196849,-89.6716133402619 38.2781179159696)"
27502,3605,3607,345000,,,,,,,12736.8777410769,,,,,"","SRID=4326;LINESTRING(-87.5457450531979 41.6335931537473,-87.6666149769832 41.6368656030363)"
32615,9156,9154,345000,3,,60,Pontiac Midpoint - Lanesville 345kV,Commonwealth Edison,,76404.9365638551,,,,,"","SRID=4326;LINESTRING(-88.902110865277 40.4515508826525,-89.3353076895137 39.8512351007849)"
1206,6602,30148,,6,,60,,,,675.096018746087,,,,,"","SRID=4326;LINESTRING(-88.8492681186762 37.8785702772137,-88.8423771497677 37.8762374292252)"
25614,727,19475,345000,6,,60,,,,26988.3296789381,,,,,"","SRID=4326;LINESTRING(-87.9755479520229 42.3137531387184,-88.2373198979232 42.2567143812805)"
6927,9156,28921,345000,3,,60,,,,21.629366626509,,,,,"","SRID=4326;LINESTRING(-88.902110865277 40.4515508826525,-88.9038253667743 40.4529092356022)"
15286,6602,23458,345000,3,,60,West Mount Vernon - West Frankfort East 345kV,Ameren Illinois,,56654.0182120115,,,,,"","SRID=4326;LINESTRING(-88.8492681186762 37.8785702772137,-88.966728911757 38.3323756818561)"
15332,23482,23483,345000,3,,60,,,,489.552937559196,,,,,"","SRID=4326;LINESTRING(-89.7487692299405 40.5937947155897,-89.747599174283 40.5950211028668)"
40188,19464,723,345000,3,,60,,,,421.536184960821,,,,,"","SRID=4326;LINESTRING(-88.9691792463575 42.2167652790661,-88.9759360647641 42.2163160336853)"
36225,232,233,345000,6,,60,,Commonwealth Edison,,4354.22505925721,,,,,"","SRID=4326;LINESTRING(-87.7667527342851 42.0873648731718,-87.7856900131053 42.1267357941621)"
25674,2756,19499,,,,,,,,98.914084737022,,,,,"","SRID=4326;LINESTRING(-88.2969470749716 41.4123514942719,-88.298149586882 41.4109729587028)"
3521,763,31114,,,,,,,,944.445221073241,,,,,"","SRID=4326;LINESTRING(-88.2854613123562 41.3947839788872,-88.2946559579126 41.3993106567233)"
18630,864,19052,345000,,,,345kV transmission line,,,110440.394766531,,,,,"","SRID=4326;LINESTRING(-88.3087386803961 41.7842071338955,-89.6091365394814 41.7540028166227)"
40199,16081,729,,,,,,,,8581.6261186171,,,,,"","SRID=4326;LINESTRING(-88.0733958152911 42.2109569972014,-87.9857349268254 42.2447875231138)"
27505,11100,3612,138000;345000,6,,60,,ComEd,,6031.04826053744,,,,,"","SRID=4326;LINESTRING(-87.8175129071495 41.5442702241104,-87.8187841850113 41.6007890501061)"
2626,3620,30749,345000,,,,,ComEd,,14561.2863304606,,,,,"","SRID=4326;LINESTRING(-88.1157352047972 41.4386362945464,-87.9894952848347 41.5193695117072)"
29988,2751,6517,345000,6,,60,,Commonwealth Edison,,2636.48573240364,,,,,"","SRID=4326;LINESTRING(-88.1148673607408 41.4925078811939,-88.1294804950489 41.507307136019)"
20424,25819,25820,,,,,,,,188.290085212688,,,,,"","SRID=4326;LINESTRING(-89.695460506035 42.3194842049414,-89.6953872933394 42.3177768138196)"
1992,359,30479,345000,6,,60,,Commonwealth Edison,,4715.18081953453,,,,,"","SRID=4326;LINESTRING(-88.0433016472017 41.8599688293218,-88.0457238521349 41.8926862409393)"
6920,30992,28920,345000,3,,60,,,,40353.4328456803,,,,,"","SRID=4326;LINESTRING(-88.9502449263118 40.2828797231449,-89.1935458488617 39.9705660865304)"
3210,9144,30991,345000,3,,60,,,,28840.2290768507,,,,,"","SRID=4326;LINESTRING(-88.274723176456 38.9387743508408,-88.4597287708207 38.7543552603913)"
38580,27044,16013,,,,,,,,1010.10546113054,,,,,"","SRID=4326;LINESTRING(-88.9478614161816 40.4525282864062,-88.9613073253048 40.452254655255)"
19462,12959,25327,,,,,,,,2537.46260487424,,,,,"","SRID=4326;LINESTRING(-90.5664371576784 41.4854341221975,-90.5665723779001 41.4621410098094)"
19422,12903,25309,,,,,,,,6599.6249539619,,,,,"","SRID=4326;LINESTRING(-90.4363930866454 41.4799533970636,-90.4895170487851 41.4638519035343)"
36224,233,232,138000,6;3;3,,60,,Commonwealth Edison,,4332.99036068743,,,,,"","SRID=4326;LINESTRING(-87.7856900131053 42.1267357941621,-87.7667527342851 42.0873648731718)"
7204,16062,29050,,3,,,,,,1914.65814435918,,,,,"","SRID=4326;LINESTRING(-88.6595046791775 41.2624066195601,-88.6675083613522 41.244726431089)"
22966,9144,17956,345000,3,,60,,,,21.3046538183212,,,,,"","SRID=4326;LINESTRING(-88.274723176456 38.9387743508408,-88.2762998642263 38.9372999940414)"
2726,11759,30793,,,,,,,,6881.93956178366,,,,,"","SRID=4326;LINESTRING(-87.9227575383542 41.9228778140345,-88.0016381662643 41.9125395706909)"
32653,1732,9187,,,,,,,,3390.2813796788,,,,,"","SRID=4326;LINESTRING(-87.8763072758791 42.3535208574616,-87.8764723501813 42.3211147564388)"
