v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
23470,-90.0404267803716,38.7386709600085,joint,345000,60,,,,SRID=4326;POINT(-90.0404267803716 38.7386709600085)
28654,-88.8599078274162,37.2144636124175,merge,,,,,,SRID=4326;POINT(-88.8599078274162 37.2144636124175)
6602,-88.8492681186762,37.8785702772137,sub_station,,,West Frankfort East Substation,,,SRID=4326;POINT(-88.8492681186762 37.8785702772137)
23450,-89.5371857971368,40.5518750983294,joint,345000,60,,Commonwealth Edison,,SRID=4326;POINT(-89.5371857971368 40.5518750983294)
27107,-88.2158164758096,41.8220524992976,joint,345000,60,,,,SRID=4326;POINT(-88.2158164758096 41.8220524992976)
8083,-89.606923290926,41.7734639089446,substation,,,,,,SRID=4326;POINT(-89.606923290926 41.7734639089446)
13317,-90.4852222724208,41.478340892688,sub_station,,,,,,SRID=4326;POINT(-90.4852222724208 41.478340892688)
9153,-89.0800506038856,39.4085816197312,station,,,,,,SRID=4326;POINT(-89.0800506038856 39.4085816197312)
23666,-88.0523486062539,41.9216647059443,joint,138000;345000;138000,60,,,,SRID=4326;POINT(-88.0523486062539 41.9216647059443)
29941,-88.3439945259387,41.8026964515198,joint,345000,,Plano - Electric Junction 345kV transmission line,ComEd,16703;16704,SRID=4326;POINT(-88.3439945259387 41.8026964515198)
29486,-87.9196501131576,42.1153373634571,merge,,,Prospect Heights Substation,,,SRID=4326;POINT(-87.9196501131576 42.1153373634571)
19473,-88.2400945243413,42.2566843952543,joint,345000,60,,,,SRID=4326;POINT(-88.2400945243413 42.2566843952543)
19047,-90.203738882057,40.3912159933353,joint,,,,,,SRID=4326;POINT(-90.203738882057 40.3912159933353)
3612,-87.8187841850113,41.6007890501061,station,,,Tinley Park Substation,,,SRID=4326;POINT(-87.8187841850113 41.6007890501061)
19284,-87.8213252713758,41.4984294052325,joint,345000,60,,ComEd,,SRID=4326;POINT(-87.8213252713758 41.4984294052325)
19056,-88.5274765431776,37.7672289069996,joint,,,,,,SRID=4326;POINT(-88.5274765431776 37.7672289069996)
2977,-88.2401359829831,42.0636716975548,station,,,,,,SRID=4326;POINT(-88.2401359829831 42.0636716975548)
9101,-88.5850554472708,41.1451924246191,sub_station,,,,,,SRID=4326;POINT(-88.5850554472708 41.1451924246191)
20924,-87.541336926317,41.6559002073345,joint,138000;345000;138000,,Hegewisch Substation,,,SRID=4326;POINT(-87.541336926317 41.6559002073345)
177,-87.9775431254683,41.9960639692275,sub_station,,,,,,SRID=4326;POINT(-87.9775431254683 41.9960639692275)
28920,-89.1935458488617,39.9705660865304,merge,,,Latham Substation,Ameren Illinois,,SRID=4326;POINT(-89.1935458488617 39.9705660865304)
9181,-88.0433628603413,41.8944908587353,station,,,,,,SRID=4326;POINT(-88.0433628603413 41.8944908587353)
14008,-89.6995992296174,40.7827603095012,substation,,,,,,SRID=4326;POINT(-89.6995992296174 40.7827603095012)
31069,-89.6898561601456,40.581098681219,joint,,,,,,SRID=4326;POINT(-89.6898561601456 40.581098681219)
19508,-87.7816774076589,41.8089578796942,joint,,,,,,SRID=4326;POINT(-87.7816774076589 41.8089578796942)
25723,-90.4318599399152,41.4890434985811,joint,,,,,,SRID=4326;POINT(-90.4318599399152 41.4890434985811)
29259,-87.5462553017057,41.7162945295205,merge,,,,,,SRID=4326;POINT(-87.5462553017057 41.7162945295205)
23481,-88.8540778395087,40.4516807941462,joint,345000,60,,,,SRID=4326;POINT(-88.8540778395087 40.4516807941462)
6577,-88.8909701777732,39.9168838225944,sub_station,,,,,,SRID=4326;POINT(-88.8909701777732 39.9168838225944)
3608,-87.7331117289012,41.6401182418942,station,,,Crestwood Substation,,,SRID=4326;POINT(-87.7331117289012 41.6401182418942)
17008,-89.655949438924,38.1988034061725,substation,,,,,,SRID=4326;POINT(-89.655949438924 38.1988034061725)
3605,-87.5457450531979,41.6335931537473,station,,,Burnham Substation,,,SRID=4326;POINT(-87.5457450531979 41.6335931537473)
19057,-88.6520263403532,37.7698580911205,joint,,,,,,SRID=4326;POINT(-88.6520263403532 37.7698580911205)
