l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
8390,2470,20332,345000,,,,,,,10361.6213308017,,,,,"","SRID=4326;LINESTRING(-87.0289813603033 41.6565392856973,-86.9253409357555 41.7071581951668)"
14196,2068,18734,,,,,,,,1082.55738756552,,,,,"","SRID=4326;LINESTRING(-85.4382910634938 38.7417446251383,-85.4297608822213 38.7387230215029)"
14297,14395,18737,,,,,,,,15661.518623092,,,,,"","SRID=4326;LINESTRING(-86.5994275896876 38.3241005435736,-86.5058738714773 38.4351499830002)"
15518,9321,23561,230000,3,,60,Kokomo Webster - Walton 230kV,Duke Energy Indiana,23020,18392.0844715525,,,,,"","SRID=4326;LINESTRING(-86.2604302371721 40.6777256589667,-86.2761830974916 40.512153593075)"
6947,9238,28931,345000,3;6,,60,,,,388.564079304276,,,,,"","SRID=4326;LINESTRING(-86.9357414802182 40.6476486290748,-86.9345541266076 40.6531108494564)"
8405,2453,20339,345000,6,,60,,,,17398.2267963648,,,,,"","SRID=4326;LINESTRING(-86.1367236461814 41.6686507319161,-86.1901175762453 41.5231196872206)"
15485,9334,23548,230000,3,,60,,,,15702.98355467,,,,,"","SRID=4326;LINESTRING(-86.0380892189023 40.7284870398121,-86.2166671946359 40.7098206053228)"
2004,23539,30484,345000,3,,60,,,,40527.6014227751,,,,,"","SRID=4326;LINESTRING(-86.3793474213504 38.731901170994,-86.0410094217525 38.9711085927822)"
41912,2473,2476,138000,,,,,,,5462.15271438561,,,,,"","SRID=4326;LINESTRING(-86.9243457781451 41.7000472359341,-86.9285634621742 41.6510070459637)"
32780,616,9326,345000,3,2,60,Fall Creek - Desoto 345kV,,,5076.64677028091,,,,,"","SRID=4326;LINESTRING(-85.3055978585008 40.2367641662883,-85.3215758125191 40.1924827452836)"
16034,9817,23762,230000,3,1,60,,,,32667.1995308169,,,,,"","SRID=4326;LINESTRING(-87.4338866214553 39.7250658863907,-87.3228493117341 39.953727069489)"
