v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
616,-85.3055978585008,40.2367641662883,substation,345000,,Desoto Substation,Indiana Michigan Power Company,,SRID=4326;POINT(-85.3055978585008 40.2367641662883)
3657,-85.1408859082986,38.8662041821228,sub_station,,,,,,SRID=4326;POINT(-85.1408859082986 38.8662041821228)
2076,-85.6447127352197,40.0869711657657,substation,,,,,,SRID=4326;POINT(-85.6447127352197 40.0869711657657)
3659,-85.4254968819057,38.7951207451099,substation,,,,,,SRID=4326;POINT(-85.4254968819057 38.7951207451099)
9819,-85.7273053601485,38.359684434739,station,,,,,,SRID=4326;POINT(-85.7273053601485 38.359684434739)
3656,-84.9846474782735,38.8724667721295,sub_station,,,,,,SRID=4326;POINT(-84.9846474782735 38.8724667721295)
14395,-86.5994275896876,38.3241005435736,substation,,,,,,SRID=4326;POINT(-86.5994275896876 38.3241005435736)
14708,-86.6350211923676,38.4999943144959,substation,,,,,,SRID=4326;POINT(-86.6350211923676 38.4999943144959)
2549,-86.5746083082611,39.1728573379711,station,,,,,,SRID=4326;POINT(-86.5746083082611 39.1728573379711)
29530,-84.8611889601251,39.0835422774155,merge,,,,,,SRID=4326;POINT(-84.8611889601251 39.0835422774155)
2504,-86.5066464004271,41.7232776938105,station,,,New Carlisle Substation,AEP,,SRID=4326;POINT(-86.5066464004271 41.7232776938105)
9329,-86.282428654429,38.3590602386273,sub_station,,,,,,SRID=4326;POINT(-86.282428654429 38.3590602386273)
9367,-86.8040466038051,39.9639295778747,station,,,,,,SRID=4326;POINT(-86.8040466038051 39.9639295778747)
13927,-87.5004979803081,41.6297896620314,substation,,,,,,SRID=4326;POINT(-87.5004979803081 41.6297896620314)
28936,-86.8317382698577,39.9721328671577,merge,,,Nucor Substation,Duke Energy Indiana,,SRID=4326;POINT(-86.8317382698577 39.9721328671577)
6316,-85.6390597873638,40.6207916588696,sub_station,,,,,,SRID=4326;POINT(-85.6390597873638 40.6207916588696)
9237,-87.3340155040946,40.5778722536372,station,,,,,,SRID=4326;POINT(-87.3340155040946 40.5778722536372)
31161,-86.1616967690268,41.6294694018193,joint,138000;345000,60,,,,SRID=4326;POINT(-86.1616967690268 41.6294694018193)
30486,-85.8750600786924,39.1478720366483,joint,345000,60,,,,SRID=4326;POINT(-85.8750600786924 39.1478720366483)
9330,-85.8093240802888,38.3824883831094,sub_station,,,,,,SRID=4326;POINT(-85.8093240802888 38.3824883831094)
18734,-85.4297608822213,38.7387230215029,joint,,,,,,SRID=4326;POINT(-85.4297608822213 38.7387230215029)
17182,-86.0489605618448,39.7714716707398,substation,,,,,,SRID=4326;POINT(-86.0489605618448 39.7714716707398)
28935,-87.2456734887289,38.8048581644947,merge,,,,,,SRID=4326;POINT(-87.2456734887289 38.8048581644947)
9310,-86.1854798017012,39.5952931429258,sub_station,,,,,,SRID=4326;POINT(-86.1854798017012 39.5952931429258)
18738,-86.2777791342569,41.5736725954858,joint,345000,60,Sorenson - Olive 345kV,Indiana Michigan Power Company,0679,SRID=4326;POINT(-86.2777791342569 41.5736725954858)
19459,-85.905546565596,38.187552174321,joint,345000,60,,,,SRID=4326;POINT(-85.905546565596 38.187552174321)
2529,-87.3989269262867,41.4509189256639,station,,,St. John Substation,,,SRID=4326;POINT(-87.3989269262867 41.4509189256639)
2512,-85.5966295233038,41.5575427100142,station,,,Hiple Substation,Northern Indiana Public Service Company,,SRID=4326;POINT(-85.5966295233038 41.5575427100142)
9282,-87.2494586479095,38.5273530119799,substation,,,Petersburg Station,,,SRID=4326;POINT(-87.2494586479095 38.5273530119799)
2513,-85.7152653322823,41.6298846610629,station,,,,,,SRID=4326;POINT(-85.7152653322823 41.6298846610629)
9363,-86.6130367802112,40.1133787814701,station,,,Thorntown Substation,,,SRID=4326;POINT(-86.6130367802112 40.1133787814701)
17183,-86.0505836820353,39.7684783958674,substation,,,,,,SRID=4326;POINT(-86.0505836820353 39.7684783958674)
23762,-87.3228493117341,39.953727069489,joint,230000,60,,,,SRID=4326;POINT(-87.3228493117341 39.953727069489)
18730,-85.2156310849133,39.6577488550568,joint,,,,,,SRID=4326;POINT(-85.2156310849133 39.6577488550568)
2461,-86.4837725310842,41.7066236993353,substation,345000;138000,,Olive Substation,,,SRID=4326;POINT(-86.4837725310842 41.7066236993353)
22401,-85.7262619690013,40.5628368662724,joint,,,,,,SRID=4326;POINT(-85.7262619690013 40.5628368662724)
6328,-86.0783716106224,40.4997393213566,substation,230000,,,,,SRID=4326;POINT(-86.0783716106224 40.4997393213566)
9234,-87.0172042508675,40.6271019455854,station,,,,,,SRID=4326;POINT(-87.0172042508675 40.6271019455854)
3871,-84.8361487215963,40.1965774090258,sub_station,,,,,,SRID=4326;POINT(-84.8361487215963 40.1965774090258)
3704,-87.5159989077663,41.5458270540772,substation,,,Munster Substation,,,SRID=4326;POINT(-87.5159989077663 41.5458270540772)
9304,-85.9597882008494,39.1654365008389,substation,,,Columbus Denois Creek Substation,Duke Energy Indiana,,SRID=4326;POINT(-85.9597882008494 39.1654365008389)
2342,-86.7423383359171,39.3517299609703,station,,,,,,SRID=4326;POINT(-86.7423383359171 39.3517299609703)
18741,-87.4265226210329,39.5364394099942,joint,230000,60,,,,SRID=4326;POINT(-87.4265226210329 39.5364394099942)
28693,-87.5136539023538,39.3933679781092,merge,,,,,,SRID=4326;POINT(-87.5136539023538 39.3933679781092)
20339,-86.1901175762453,41.5231196872206,joint,345000,60,,Indiana Michigan Power Company,,SRID=4326;POINT(-86.1901175762453 41.5231196872206)
30725,-86.0718938203768,39.676596274836,joint,138000;345000,60,,,,SRID=4326;POINT(-86.0718938203768 39.676596274836)
9239,-86.9959005808511,40.7059269190084,station,,,,,,SRID=4326;POINT(-86.9959005808511 40.7059269190084)
9332,-86.1715702418033,38.3306504865049,station,,,,,,SRID=4326;POINT(-86.1715702418033 38.3306504865049)
20333,-86.9140005137772,41.7186429834725,joint,345000,,,,,SRID=4326;POINT(-86.9140005137772 41.7186429834725)
