l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
13756,19672,22726,345000,3,,60,,,,986.162640473971,,,,,"","SRID=4326;LINESTRING(-95.8242847140705 41.1761848848806,-95.8228966372935 41.1843401189507)"
38475,14039,15888,,,,,,,,52785.9418263939,,,,,"","SRID=4326;LINESTRING(-92.0644451341922 41.5643600356949,-92.6984896036073 41.5714125891949)"
27627,3709,3740,345000,,,,345kV transmission line;Arnold - Tiffin 345kV transmission line,,,51338.2903126129,,,,,"","SRID=4326;LINESTRING(-91.6823620927977 41.7071123447265,-91.7812116026797 42.1000750563254)"
41320,1864,1866,345000;161000;345000;345000;161000,6;3;6,,60,,,,46931.831738438,,,,,"","SRID=4326;LINESTRING(-94.6615850618621 41.4650818751523,-95.226045184762 41.4661132900467)"
40395,29210,933,,,,,,,,570.880476209435,,,,,"","SRID=4326;LINESTRING(-90.4493363484093 41.5411349703604,-90.457252406903 41.5410873991581)"
41319,3974,1865,,,,,,,,63904.9035929566,,,,,"","SRID=4326;LINESTRING(-95.4073591473456 41.9661860512584,-95.1639011438137 41.4766164977333)"
32709,27865,9253,,3,,,,,,431.402939038752,,,,,"","SRID=4326;LINESTRING(-91.6486922217979 41.9437452061837,-91.6498309146227 41.9385401643014)"
5387,3740,28428,345000,,,,Arnold - Hazleton 345kV transmission line,,,60465.0884782772,,,,,"","SRID=4326;LINESTRING(-91.7812116026797 42.1000750563254,-91.9020969572025 42.5858761767345)"
14328,30419,22996,161000,3,,60,,,,17902.8665537801,,,,,"","SRID=4326;LINESTRING(-93.8970291322209 41.4999889709004,-93.9070568460744 41.3416296927226)"
26056,28757,19672,345000,6;3;3,,60,,,,656.673620395283,,,,,"","SRID=4326;LINESTRING(-95.835298083004 41.1761245022279,-95.8242847140705 41.1761848848806)"
41321,29379,1867,,,,,,,,65395.1816301826,,,,,"","SRID=4326;LINESTRING(-94.3488319561608 41.115423681835,-94.7784059003665 41.4906574039602)"
32163,8663,8664,230000,3,,60,,,,35550.3596663353,,,,,"","SRID=4326;LINESTRING(-96.4499655165813 43.3760233388703,-96.4013769349641 43.0678782913317)"
14348,7983,23006,345000,3,,60,,,,1840.27731848925,,,,,"","SRID=4326;LINESTRING(-94.0921408492619 42.5661283915195,-94.0995272737356 42.552253191001)"
24824,9250,27865,,3,,,,,,667.961119209451,,,,,"","SRID=4326;LINESTRING(-91.6388866385765 41.9447387623226,-91.6486922217979 41.9437452061837)"
28603,814,4895,161000,3,,60,,,,8713.53398922919,,,,,"","SRID=4326;LINESTRING(-93.4977980135935 41.6749852106804,-93.5916004223057 41.6726062050107)"
25791,19541,19542,345000,3,,60,,,,215.251887402807,,,,,"","SRID=4326;LINESTRING(-93.5227855051334 41.5553405118278,-93.5221942340134 41.5572407914555)"
36034,7471,190,345000;161000;345000;161000;161000;345000,6;3;3;3;3,,60,,,,2952.70029849625,,,,,"","SRID=4326;LINESTRING(-96.3613631789026 42.3019316245743,-96.3655081100282 42.3293664588257)"
7700,13767,29245,,,,,,,,32418.9825493623,,,,,"","SRID=4326;LINESTRING(-90.6996392517581 42.0582627665393,-91.0739553866926 42.0472061737951)"
