l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
13193,6511,22471,,3;6,,60,,,,1333.5872105844,,,,,"","SRID=4326;LINESTRING(-96.8771071645016 37.8080869923755,-96.890893437789 37.8152488016156)"
34070,10817,10818,,3,,60,,,,13262.7690701551,,,,,"","SRID=4326;LINESTRING(-95.449549019403 37.1567771523588,-95.6009422892819 37.1603041475212)"
30686,6495,7232,345000,3,,60,Wolf Creek - Benton 345kv,,,157243.225024338,,,,,"","SRID=4326;LINESTRING(-97.168961189086 37.7911283170404,-95.6874427313191 38.2431554214489)"
30724,22750,7273,230000;345000;345000;230000,3;6,,60,,,,9573.75994208521,,,,,"","SRID=4326;LINESTRING(-97.6374758144038 38.7444855669023,-97.5407774723351 38.7272408195504)"
29967,6492,6487,,3,,60,,,,18236.826573749,,,,,"","SRID=4326;LINESTRING(-97.0765745948177 37.3597469604751,-97.2127838004652 37.3048883015253)"
10020,11670,18348,,,,,,,,4376.80651667341,,,,,"","SRID=4326;LINESTRING(-95.9349975359404 39.7537270977737,-95.9866976021565 39.7480201894137)"
29613,6003,6005,115000;345000;115000;345000;115000,3;6,1,60,,,,9651.17215552789,,,,,"","SRID=4326;LINESTRING(-97.5273194716272 37.9116951887216,-97.5222959606049 37.824413142969)"
1799,22472,30392,,3,,60,,,,1961.88928994863,,,,,"","SRID=4326;LINESTRING(-96.8929339609569 37.816276384701,-96.915150980328 37.8184138458276)"
701,22203,29938,,3,,60,,,,13578.7815102444,,,,,"","SRID=4326;LINESTRING(-97.2283497963503 37.5335818821094,-97.195723868262 37.4179663210945)"
30012,5973,6534,,3,1,60,,,,5166.65590124476,,,,,"","SRID=4326;LINESTRING(-97.4979327664018 37.7068810992856,-97.4981181421079 37.6585406464552)"
30038,22747,6572,345000;345000;115000;115000,3;6;3,,60,,,,31565.0257513854,,,,,"","SRID=4326;LINESTRING(-97.7129537917115 38.3629936751388,-97.7906985747126 38.1134645653799)"
40377,19585,905,,,,,,,,455.721629221487,,,,,"","SRID=4326;LINESTRING(-94.700607727151 38.9040365592973,-94.699769991965 38.8991836818226)"
13213,22479,22480,345000,3,1,60,,,,4939.14908288772,,,,,"","SRID=4326;LINESTRING(-97.5277846910167 38.005447779567,-97.5278504476955 37.9922944197833)"
34066,10814,10815,,3,,,,,,2654.45913161394,,,,,"","SRID=4326;LINESTRING(-95.7415754946853 37.2104828819485,-95.743144488023 37.2359865085723)"
34067,10814,10816,,3,,60,,,,18239.63199557,,,,,"","SRID=4326;LINESTRING(-95.7415754946853 37.2104828819485,-95.6932773402129 37.0495144874275)"
29612,22480,6003,345000;345000;115000;115000;115000,3;6;3;3;3,1,60,,,,8856.15147517323,,,,,"","SRID=4326;LINESTRING(-97.5278504476955 37.9922944197833,-97.5273194716272 37.9116951887216)"
27832,3329,3910,,,,,,,,89.2706565330967,,,,,"","SRID=4326;LINESTRING(-94.6413298176914 39.0436822022515,-94.6378631839412 39.0437421595651)"
9790,14486,18342,,,,,,,,104.72081826199,,,,,"","SRID=4326;LINESTRING(-100.894529415261 37.9743269630367,-100.894619890578 37.9725540087336)"
30689,28602,7243,345000,3,2,60,Wichita - Lang 345kv,,,152320.720945667,,,,,"","SRID=4326;LINESTRING(-97.5198514378117 37.7905341165372,-96.0647458790596 38.4445126740548)"
13194,22470,22471,,3,,60,,,,275.141033311728,,,,,"","SRID=4326;LINESTRING(-96.8883694413352 37.8137802839178,-96.890893437789 37.8152488016156)"
13659,1774,22679,115000,3,,60,,,,15603.9689084168,,,,,"","SRID=4326;LINESTRING(-96.5425102180795 39.1886460511877,-96.5344686130143 39.0483106984011)"
30891,7278,7455,,3,,60,,,,13480.8787779038,,,,,"","SRID=4326;LINESTRING(-95.117069830266 37.3045160117117,-95.2499402938773 37.3681142838831)"
33208,135,9809,230000,3,,60,,,,18864.9567440386,,,,,"","SRID=4326;LINESTRING(-97.6944222951428 39.5744566611919,-97.5463597283209 39.5033916151187)"
34068,7281,10817,,3,,60,,,,36689.2704672653,,,,,"","SRID=4326;LINESTRING(-95.1107508722439 37.3059290564783,-95.449549019403 37.1567771523588)"
10095,18351,18353,,,,,,,,17458.5918400457,,,,,"","SRID=4326;LINESTRING(-100.885735911744 37.0512544744963,-100.761258878106 37.1633080150763)"
34185,10922,11010,,,,,,,,46866.5058397141,,,,,"","SRID=4326;LINESTRING(-99.3240896813031 39.7744986769736,-98.7804959004349 39.7702481962889)"
14764,8577,23201,230000,3;6,,60,,,,1097.00847410375,,,,,"","SRID=4326;LINESTRING(-97.0403745556864 38.7052423942556,-97.037138716886 38.716858270436)"
30605,7161,7164,345000,3,,,,,,115768.496147899,,,,,"","SRID=4326;LINESTRING(-100.971892879138 37.9263911927492,-99.7551472813688 37.8642610528994)"
30954,7497,7501,230000,3,,60,,,,4185.35506145948,,,,,"","SRID=4326;LINESTRING(-98.2190348761225 38.8588682464919,-98.2637027691409 38.8758881280697)"
32076,23202,8580,230000;115000;230000;115000,6;3;3,,60,,,,6943.73015402977,,,,,"","SRID=4326;LINESTRING(-95.3417494489771 38.9890650790916,-95.2709177412306 39.0028700621294)"
35503,11010,135,,,,,,,,95905.7459897528,,,,,"","SRID=4326;LINESTRING(-98.7804959004349 39.7702481962889,-97.6944222951428 39.5744566611919)"
13192,6511,22470,,6;3;3,,60,,,,1058.67802680104,,,,,"","SRID=4326;LINESTRING(-96.8771071645016 37.8080869923755,-96.8883694413352 37.8137802839178)"
30953,7497,7501,230000,3,,60,,,,4211.82532233368,,,,,"","SRID=4326;LINESTRING(-98.2190348761225 38.8588682464919,-98.2637027691409 38.8758881280697)"
13175,6494,22464,138000,3,,60,,,,2970.62525833762,,,,,"","SRID=4326;LINESTRING(-97.0810666711041 37.6752898948754,-97.1074515609731 37.6687221630052)"
4286,11888,29501,,,,,,,,7314.08056398846,,,,,"","SRID=4326;LINESTRING(-94.8601946396455 39.1471858837683,-94.8051135317892 39.1302720355609)"
28361,21590,4594,345000,3;6,,60,Iatan - Stranger Creek 345kv,,,2571.67239594922,,,,,"","SRID=4326;LINESTRING(-95.0013340398699 39.2651055936167,-95.0323408699697 39.2622455711)"
9901,18346,18347,345000,3,1,60,,,,370.417700104202,,,,,"","SRID=4326;LINESTRING(-97.5316513094941 38.1623318648281,-97.5289755875888 38.159730470122)"
32077,6510,8581,,3,,60,,Westar Energy,,188922.778311472,,,,,"","SRID=4326;LINESTRING(-96.9248452278697 37.8242620767442,-95.5648049127733 39.0534715263107)"
10019,16044,18348,,,,,,,,98093.9205295358,,,,,"","SRID=4326;LINESTRING(-97.0504892515327 39.7250334822923,-95.9866976021565 39.7480201894137)"
13649,7257,22671,115000,3,,60,,,,35716.5316332735,,,,,"","SRID=4326;LINESTRING(-96.2113788656234 38.3890118505771,-96.4665449282569 38.6325080659661)"
30016,6540,6542,,3,1,60,,,,14813.444093285,,,,,"","SRID=4326;LINESTRING(-97.5888923663952 37.613011013715,-97.716732890139 37.6231429271694)"
42734,3329,3330,,,,,,,,6614.88214608618,,,,,"","SRID=4326;LINESTRING(-94.6413298176914 39.0436822022515,-94.6983514999805 39.0118195124217)"
30732,7278,7281,,3,,60,,,,282.060152490975,,,,,"","SRID=4326;LINESTRING(-95.117069830266 37.3045160117117,-95.1107508722439 37.3059290564783)"
