l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
12952,16909,18633,,,,,,,,3978.62021133905,,,,,"","SRID=4326;LINESTRING(-88.2401665213656 37.1061274858299,-88.282623913995 37.0930230166821)"
13075,18604,18680,,,,,,,,37919.9399115231,,,,,"","SRID=4326;LINESTRING(-82.729092941166 37.3879610230598,-83.0878188903725 37.2243729555195)"
4361,9416,29520,345000,6,,60,,,,30791.7817380458,,,,,"","SRID=4326;LINESTRING(-85.7034402485009 38.0393845415766,-85.5132472506946 38.2259063598433)"
13069,18631,18677,,,,,,,,11249.1003774229,,,,,"","SRID=4326;LINESTRING(-83.0108389299097 37.0125949766194,-83.1256738964453 37.0478109928541)"
13007,18637,18653,,,,,,,,10286.4115883058,,,,,"","SRID=4326;LINESTRING(-87.1091019272425 37.4558289675028,-87.125852902177 37.3655540093496)"
13006,6587,18653,,,,,,,,176.934511235394,,,,,"","SRID=4326;LINESTRING(-87.1224505060023 37.3640990710365,-87.125852902177 37.3655540093496)"
3418,14121,31072,,,,,,,,2383.04526796573,,,,,"","SRID=4326;LINESTRING(-82.6196961603007 38.3604841402025,-82.6007672281688 38.3482758230823)"
13029,18660,18662,,,,,,,,2592.02227737217,,,,,"","SRID=4326;LINESTRING(-86.9424399180311 37.3708632050293,-86.9277318917157 37.3873656823013)"
3049,29960,30926,161000,,,,,TVA,,5031.15915409666,,,,,"","SRID=4326;LINESTRING(-88.393497432612 37.0167987255067,-88.4450537183556 36.9999322928833)"
12865,6587,18622,,,,,,,,37325.4579965731,,,,,"","SRID=4326;LINESTRING(-87.1224505060023 37.3640990710365,-87.5219139125698 37.2786759981122)"
13055,18678,18668,,,,,,,,15401.9771490767,,,,,"","SRID=4326;LINESTRING(-83.175182926362 37.2450050046523,-83.2454488783912 37.2894240061759)"
758,29960,29961,500000,,,,,TVA,,20.5221570117959,,,,,"","SRID=4326;LINESTRING(-88.393497432612 37.0167987255067,-88.3933866679523 37.0175005685824)"
13025,18658,18659,,,,,,,,12040.1356664398,,,,,"","SRID=4326;LINESTRING(-87.1008999493724 37.3636250001635,-86.9680319323288 37.3722729541382)"
13073,18672,18679,,,,,,,,1945.42855846342,,,,,"","SRID=4326;LINESTRING(-83.1916158976859 37.2351519578932,-83.1750769251585 37.2447369816353)"
37722,29132,15107,,6,,60,,,,40790.6309369501,,,,,"","SRID=4326;LINESTRING(-85.8874600921667 37.715255672812,-85.6853976935007 37.9763797015868)"
13067,18630,18676,,,,,,,,2866.2699643931,,,,,"","SRID=4326;LINESTRING(-83.2071848693696 37.0448889762476,-83.1811358820868 37.0310059609402)"
12955,16908,18636,,,,,,,,460.004406693579,,,,,"","SRID=4326;LINESTRING(-88.2688293071308 37.0157227381759,-88.2652388183014 37.019960579939)"
5506,6425,28467,345000,,,,,,,77442.5976790473,,,,,"","SRID=4326;LINESTRING(-84.5380482445229 37.0462870386654,-83.7557801786431 36.795253911797)"
2015,9411,30490,345000,3,,60,,,,126.145495231412,,,,,"","SRID=4326;LINESTRING(-85.9959335625702 37.910210891316,-85.9985615446532 37.9093734331714)"
6102,22461,28643,345000,3,,,,,,31378.5252346648,,,,,"","SRID=4326;LINESTRING(-84.4071535275812 37.7646964225612,-84.1039663770889 37.883897651533)"
32860,23573,9408,345000;345000;138000,3;6;6,,60,,,,35785.4154116059,,,,,"","SRID=4326;LINESTRING(-86.0397466943744 37.8915667102145,-85.9323006870848 37.6688928161829)"
10352,28145,21262,,,,,,,,9197.2208688472,,,,,"","SRID=4326;LINESTRING(-83.4805743930718 36.769049076339,-83.5790269403765 36.7861163596242)"
13120,6424,22436,345000,6,,,,,,110.209079959285,,,,,"","SRID=4326;LINESTRING(-84.6263240392201 37.6367112328192,-84.6237810007052 37.6369516043887)"
12586,18585,18587,,,,,,,,5426.47260879213,,,,,"","SRID=4326;LINESTRING(-85.8697268724625 36.9269229648781,-85.8920388681633 36.9720219854976)"
13072,18671,18679,,,,,,,,2835.63934431903,,,,,"","SRID=4326;LINESTRING(-83.1727378918217 37.2237389790103,-83.1750769251585 37.2447369816353)"
13169,18608,22461,345000,6,,,,,,19326.446016678,,,,,"","SRID=4326;LINESTRING(-84.5577085640853 37.6392268937289,-84.4071535275812 37.7646964225612)"
12891,18603,18625,,,,,,,,58113.1690664092,,,,,"","SRID=4326;LINESTRING(-82.7290399405642 37.38798200729,-82.7704379021176 37.8310859724321)"
1832,18636,30405,,,,,,,,91.1496236591996,,,,,"","SRID=4326;LINESTRING(-88.2652388183014 37.019960579939,-88.2662020514706 37.0208670662347)"
29950,3579,6445,138000,,,,,,,83491.8443630721,,,,,"","SRID=4326;LINESTRING(-85.034521732742 38.7458783572844,-84.6208074513106 38.0740218879882)"
6098,18597,28643,345000,3,,,,,,1034.50693417009,,,,,"","SRID=4326;LINESTRING(-84.1187050288396 37.8878974935749,-84.1039663770889 37.883897651533)"
12953,18633,18634,,,,,,,,16936.5530021695,,,,,"","SRID=4326;LINESTRING(-88.282623913995 37.0930230166821,-88.4620138829725 37.0453320109298)"
12584,18587,18586,,,,,,,,5285.60549875663,,,,,"","SRID=4326;LINESTRING(-85.8920388681633 36.9720219854976,-85.9196799396241 36.9390870131998)"
12892,18624,18625,,,,,Powerline,,,5565.62502986414,,,,,"","SRID=4326;LINESTRING(-82.8245399282505 37.8556349596787,-82.7704379021176 37.8310859724321)"
12653,16909,18590,,,,,,,,23697.4017040636,,,,,"","SRID=4326;LINESTRING(-88.2401665213656 37.1061274858299,-87.9838109229998 37.1654389529661)"
12942,18628,18629,,,,,,,,2013.68134738523,,,,,"","SRID=4326;LINESTRING(-83.2860468901841 37.1590650026126,-83.2658338979761 37.1672870009548)"
25349,225,19344,,,,,,,,4121.45606560591,,,,,"","SRID=4326;LINESTRING(-84.3766932021299 39.025078993409,-84.4193735798856 39.0080936861977)"
29949,18593,6445,345000,,,,,,,82408.3685152292,,,,,"","SRID=4326;LINESTRING(-85.0283108784391 38.737172301421,-84.6208074513106 38.0740218879882)"
39442,18590,16909,,,,,,,,51877.5650891283,,,,,"","SRID=4326;LINESTRING(-87.9838109229998 37.1654389529661,-88.2401665213656 37.1061274858299)"
4938,18651,28186,69000,,,,69kV Transmission Line,,,12557.4717642493,,,,,"","SRID=4326;LINESTRING(-85.6847932202036 36.9962318589738,-85.6886509914223 36.8825763774344)"
12887,5941,18624,765000,,,,765kV transmission line,AEP,,42134.6309705229,,,,,"","SRID=4326;LINESTRING(-82.610074228339 38.1816375581268,-82.8245399282505 37.8556349596787)"
13071,18673,18678,,,,,,,,2016.50854329352,,,,,"","SRID=4326;LINESTRING(-83.1931558795775 37.2368240092903,-83.175182926362 37.2450050046523)"
