v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
18672,-83.1916158976859,37.2351519578932,joint,,,,,,SRID=4326;POINT(-83.1916158976859 37.2351519578932)
707,-83.815435566994,38.6968027576687,station,,,,,,SRID=4326;POINT(-83.815435566994 38.6968027576687)
16909,-88.2401665213656,37.1061274858299,substation,,,,,,SRID=4326;POINT(-88.2401665213656 37.1061274858299)
6213,-83.7171272119011,36.79706366366,sub_station,,,,,,SRID=4326;POINT(-83.7171272119011 36.79706366366)
30488,-85.1594334040803,38.6374222591144,joint,345000,60,,,,SRID=4326;POINT(-85.1594334040803 38.6374222591144)
16849,-87.1525480857368,37.2471508026819,substation,,,,,,SRID=4326;POINT(-87.1525480857368 37.2471508026819)
349,-84.6931398472535,39.0804499229321,sub_station,,,,,,SRID=4326;POINT(-84.6931398472535 39.0804499229321)
19145,-84.8181074375748,39.0879726830465,joint,345000,60,,,,SRID=4326;POINT(-84.8181074375748 39.0879726830465)
18611,-85.5059749390728,37.2656750164411,joint,,,,,,SRID=4326;POINT(-85.5059749390728 37.2656750164411)
19146,-84.804474604823,39.0953228833406,joint,345000,60,,,,SRID=4326;POINT(-84.804474604823 39.0953228833406)
18622,-87.5219139125698,37.2786759981122,joint,,,,,,SRID=4326;POINT(-87.5219139125698 37.2786759981122)
18662,-86.9277318917157,37.3873656823013,joint,,,,,,SRID=4326;POINT(-86.9277318917157 37.3873656823013)
18636,-88.2652388183014,37.019960579939,joint,,,,,,SRID=4326;POINT(-88.2652388183014 37.019960579939)
6430,-84.7074670004702,37.7863690712647,sub_station,,,,,,SRID=4326;POINT(-84.7074670004702 37.7863690712647)
15020,-85.5437164342161,38.186147024304,substation,,,,,,SRID=4326;POINT(-85.5437164342161 38.186147024304)
18600,-84.4556715360764,38.0508450129954,joint,,,,,,SRID=4326;POINT(-84.4556715360764 38.0508450129954)
18671,-83.1727378918217,37.2237389790103,joint,,,,,,SRID=4326;POINT(-83.1727378918217 37.2237389790103)
31325,-82.6195540661784,38.1726644068259,joint,,,,,,SRID=4326;POINT(-82.6195540661784 38.1726644068259)
9619,-88.2941472846226,36.8538867352624,sub_station,,,,,,SRID=4326;POINT(-88.2941472846226 36.8538867352624)
29959,-88.3944202131613,36.9895032059405,joint,500000;161000,,,TVA,,SRID=4326;POINT(-88.3944202131613 36.9895032059405)
