l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
33618,5348,10225,230000,3;6;3;3,,60,,,,23437.8239969841,,,,,"","SRID=4326;LINESTRING(-91.2544438930066 30.2615273117007,-91.0887968694774 30.1044423809659)"
33608,10213,10215,230000,3,,60,,,,11523.1031786938,,,,,"","SRID=4326;LINESTRING(-90.8648880758664 30.1219214401168,-90.8286142356578 30.0587891512952)"
33638,10247,10248,230000;115000;230000;230000,6;3;3,,60,,,,5705.51882753807,,,,,"","SRID=4326;LINESTRING(-90.9044093904144 30.230998748936,-90.9379958118521 30.2730160820855)"
16733,8401,24099,230000,3,,60,,,,2665.04438850186,,,,,"","SRID=4326;LINESTRING(-91.1734549340509 30.4372293618933,-91.1517301929046 30.4225069779962)"
37623,26574,15010,230000,3,,60,,Entergy,,177.066083658227,,,,,"","SRID=4326;LINESTRING(-93.3343830982364 30.1709651224558,-93.3345982896124 30.1736948484207)"
7176,10216,29034,230000,3,,60,,,,297.374750347291,,,,,"","SRID=4326;LINESTRING(-90.5932731316689 30.0601028301737,-90.58910374457 30.0612150302212)"
16407,15157,23945,230000,6,,60,,Entergy,,3463.55345444892,,,,,"","SRID=4326;LINESTRING(-91.1830018996627 30.5191866168749,-91.1754389790407 30.5511357882364)"
28995,5316,5350,230000,6,,60,,,,12456.5376280961,,,,,"","SRID=4326;LINESTRING(-90.4496580286039 29.9726097094391,-90.3503930459933 29.9143306911762)"
33746,23998,10385,230000,3,,60,,,,25486.6896604517,,,,,"","SRID=4326;LINESTRING(-93.4510095749431 31.8741693592746,-93.5692389843929 32.0350509800976)"
11888,5345,21942,230000,,,,230kV transmission line,Entergy,,4482.60064166398,,,,,"","SRID=4326;LINESTRING(-91.33110102208 30.7452537205491,-91.3162268131236 30.7252845516455)"
7171,603,29032,230000,6;3;3,,60,,,,15608.2519975399,,,,,"","SRID=4326;LINESTRING(-90.0470930302705 30.4135383621623,-90.1927506050275 30.4275089240625)"
