v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
420,-89.9375856750661,30.0096790405467,substation,230000,,Michoud Station,Entergy New Orleans,,SRID=4326;POINT(-89.9375856750661 30.0096790405467)
24099,-91.1517301929046,30.4225069779962,joint,230000;69000,60,,Entergy,1482,SRID=4326;POINT(-91.1517301929046 30.4225069779962)
15139,-91.0048541652668,30.3878132201965,substation,69000,60,,,,SRID=4326;POINT(-91.0048541652668 30.3878132201965)
10197,-89.7810170773201,30.3146851173296,station,,,,,,SRID=4326;POINT(-89.7810170773201 30.3146851173296)
23923,-90.1259504378386,30.5022932550103,joint,230000,60,,,,SRID=4326;POINT(-90.1259504378386 30.5022932550103)
10248,-90.9379958118521,30.2730160820855,station,,,,,,SRID=4326;POINT(-90.9379958118521 30.2730160820855)
5354,-90.1144115672716,29.8317932101144,substation,230000,,,,,SRID=4326;POINT(-90.1144115672716 29.8317932101144)
5331,-90.2769785603611,29.9770832847146,substation,230000,,Kenner Substation,,,SRID=4326;POINT(-90.2769785603611 29.9770832847146)
24098,-91.1428254629877,30.4173753802197,joint,69000;230000;69000;230000;69000,60,,Entergy,1482,SRID=4326;POINT(-91.1428254629877 30.4173753802197)
21934,-90.4023404013638,30.0823687631249,joint,230000,60,230kV transmission line,,,SRID=4326;POINT(-90.4023404013638 30.0823687631249)
28564,-90.1482395086021,29.9467769568625,merge,230000;115000,60,Ninemile Point Substation,Entergy,,SRID=4326;POINT(-90.1482395086021 29.9467769568625)
5326,-90.1930443332221,29.9409228514141,substation,230000,,Harahan Substation,,,SRID=4326;POINT(-90.1930443332221 29.9409228514141)
8835,-90.0205171198901,29.8847863948841,substation,230000,,,,,SRID=4326;POINT(-90.0205171198901 29.8847863948841)
10545,-91.177300917693,30.4892027791523,substation,230000;13800,60,Esso Substation,Entergy,,SRID=4326;POINT(-91.177300917693 30.4892027791523)
29816,-92.8180472341316,32.5695943631594,joint,,,,,,SRID=4326;POINT(-92.8180472341316 32.5695943631594)
23954,-91.2682923502369,30.3270720594122,joint,230000,60,,,,SRID=4326;POINT(-91.2682923502369 30.3270720594122)
30427,-93.300183425534,30.2820420899018,joint,230000,60,,Entergy,,SRID=4326;POINT(-93.300183425534 30.2820420899018)
24097,-91.2686298472892,30.3300869510016,joint,230000,60,,,,SRID=4326;POINT(-91.2686298472892 30.3300869510016)
