l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
12187,2051,22061,345000,3,,,Surowiec - Maine Yankee 345kV transmission line,Central Maine Power Company,377,29944.5131987993,,,,,"","SRID=4326;LINESTRING(-70.2036871666243 43.9316499169483,-69.8616514914019 44.0074563941092)"
18958,5922,25074,,,,,,,,910.124044028027,,,,,"","SRID=4326;LINESTRING(-70.6178354441969 43.3969446882817,-70.6255501527596 43.3890718097403)"
18930,5920,25063,,,,,,,,9909.93104792775,,,,,"","SRID=4326;LINESTRING(-70.492884274673 43.4678729283549,-70.4766695759451 43.3857549829352)"
36863,12488,14275,,,,,,,,12809.138091577,,,,,"","SRID=4326;LINESTRING(-70.5965555265412 43.6659367876657,-70.6957525938982 43.5767853476498)"
18963,12483,25076,,,,,,,,3133.77729791235,,,,,"","SRID=4326;LINESTRING(-70.7346464117656 43.429105554635,-70.7036961264611 43.4119539925074)"
29235,22047,5610,345000,3,,,Buxton - Surowiec 345kV transmission line;Buxton - Maine Yankee 345kV transmission line,Central Maine Power Company,374,41258.6849198509,,,,,"","SRID=4326;LINESTRING(-70.2113442516059 43.9263488919973,-70.553367006231 43.6633214999932)"
35290,4981,12484,,,,,,,,13869.4969253594,,,,,"","SRID=4326;LINESTRING(-70.7951350767672 43.8529710009456,-70.7944465718329 43.9720515813104)"
18931,5914,25063,,,,,,,,8935.19634751011,,,,,"","SRID=4326;LINESTRING(-70.5583831090441 43.3655686678776,-70.4766695759451 43.3857549829352)"
18955,5922,25073,115000;345000,3,,60,Louden - Branch Brook - Maguire Road 115kV transmission line;Louden - Maguire Road - Three Rivers 115kV transmission line,,163,14944.927046979,,,,,"","SRID=4326;LINESTRING(-70.6178354441969 43.3969446882817,-70.7251479852774 43.2927549001607)"
29531,12488,5924,,,,,,,,18592.2982651309,,,,,"","SRID=4326;LINESTRING(-70.5965555265412 43.6659367876657,-70.5032817604886 43.5291365698052)"
18972,4935,25080,,,,,,,,14618.5019219736,,,,,"","SRID=4326;LINESTRING(-68.3647339077823 45.4040897521238,-68.347655076228 45.5109666982624)"
12186,2051,22061,345000,3,,,Buxton - Surowiec 345kV transmission line;Buxton - Maine Yankee 345kV transmission line,Central Maine Power Company,374,29830.9050047162,,,,,"","SRID=4326;LINESTRING(-70.2036871666243 43.9316499169483,-69.8616514914019 44.0074563941092)"
187,15695,29720,,,,,,,,3322.38730704699,,,,,"","SRID=4326;LINESTRING(-70.7806352965732 43.4590067654504,-70.7479473828449 43.439278685843)"
18971,4910,25080,,,,,,,,38211.950729951,,,,,"","SRID=4326;LINESTRING(-67.9936455590956 45.4835912861855,-68.347655076228 45.5109666982624)"
12152,2051,22047,345000,3,,,Buxton - Surowiec 345kV transmission line;Buxton - Maine Yankee 345kV transmission line,Central Maine Power Company,374,1042.85770056472,,,,,"","SRID=4326;LINESTRING(-70.2036871666243 43.9316499169483,-70.2113442516059 43.9263488919973)"
