l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
11669,21844,21845,345000,3,,,West Medway - West Walpole 345kV transmission line,,389,46.9560505450507,,,,,"","SRID=4326;LINESTRING(-71.2814750000587 42.1297525744322,-71.2808923527655 42.1297976771994)"
41470,2027,2028,115000,3,,60,,,,139.24629390993,,,,,"","SRID=4326;LINESTRING(-71.2423156946496 42.6227847155334,-71.2466592278193 42.6238613234927)"
3102,7301,30945,230000,3,,,Pratts Junction - Bear Swamp 230kV transmission line,New England Power Company,E205E,46380.4074705991,,,,,"","SRID=4326;LINESTRING(-72.0989812608217 42.3913094991464,-72.5625273663668 42.6241960094545)"
41478,29744,2034,345000;115000,3,,60,Woburn - Lexington 345kV transmission line;Tewksbury - Woburn 345kV transmission line,NSTAR,319,8706.00185522351,,,,,"","SRID=4326;LINESTRING(-71.2468429453638 42.6141767132709,-71.2165802644104 42.5391195961573)"
41457,2008,2014,115000,,,,,,,2290.43206645705,,,,,"","SRID=4326;LINESTRING(-71.0138095790179 42.5083058163489,-71.0416548032225 42.5052618147981)"
29350,28555,5718,345000,3,,,Brayton Point - West Farnum 345kV transmission line,,315,1409.02413141047,,,,,"","SRID=4326;LINESTRING(-71.3491639688677 42.0301478722726,-71.3353624670118 42.0199721948373)"
28675,4986,4987,115000,6,,,Pratts Junction - Sterling - Wachusett 115kV transmission line,New England Power Company,O141N;P142N,10996.4186067614,,,,,"","SRID=4326;LINESTRING(-71.7374227932073 42.4519271308172,-71.7759062017327 42.360306959083)"
29754,2028,6187,,,,,,,,1648.74376272045,,,,,"","SRID=4326;LINESTRING(-71.2466592278193 42.6238613234927,-71.2366870296319 42.6135694049249)"
1495,21779,30268,115000;230000;230000;230000;230000;230000;230000;230000;230000,3,,60,Ayer - Pratts Junction 115kV transmission line;Sandy Pond - Ayer 115kV transmission line;Comerford ‑ Tewksbury 230kV transmission line;Comerford ‑ Tewksbury 230kV transmission line;North Litchfield ‑ Tewksbury 230kV transmission line;Comerford ‑ Tewksbury 230kV transmission line;Comerford ‑ Tewksbury 230kV transmission line;Comerford ‑ Tewksbury 230kV transmission line;Comerford ‑ Tewksbury 230kV transmission line,New England Power Company,K137W,290.081557794388,,,,,"","SRID=4326;LINESTRING(-71.5340622136691 42.5686602767566,-71.5304414220437 42.5678446410364)"
28787,5107,5105,345000,,,,Stoughton - West Walpole 345kV transmission line,,3161,13206.145760583,,,,,"","SRID=4326;LINESTRING(-71.1009494629776 42.1416130150507,-71.2560933673543 42.1303123739247)"
5832,5114,28554,345000,3,,60,,,,3707.07349688334,,,,,"","SRID=4326;LINESTRING(-71.4883680323539 42.1575482816538,-71.4480089950744 42.1383045260585)"
28697,21790,5002,115000,3,,60,,,,16.6691856685759,,,,,"","SRID=4326;LINESTRING(-71.4818886009566 42.564548886194,-71.4818049219644 42.5636839019076)"
41515,21846,2070,230000,,,,West Medway - Framingham 230kV transmission line,,240-601,5891.35410567369,,,,,"","SRID=4326;LINESTRING(-71.3889138673656 42.2639562206606,-71.3879296251339 42.311642049152)"
1494,21780,30268,345000;115000,3,,60,,,,195.619168260385,,,,,"","SRID=4326;LINESTRING(-71.5294130727477 42.5688535900618,-71.5304414220437 42.5678446410364)"
