v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
22600,-70.969474291535,42.8353391108445,joint,345000,,Seabrook - West Amesbury - Ward Hill 345kV transmission line,,394,SRID=4326;POINT(-70.969474291535 42.8353391108445)
21791,-71.4851739196137,42.5651898636125,joint,,,,,,SRID=4326;POINT(-71.4851739196137 42.5651898636125)
20115,-71.0681537763379,42.5349483145942,joint,345000;115000,60,Wakefield Junction - Tewksbury 345kV transmission line,,339,SRID=4326;POINT(-71.0681537763379 42.5349483145942)
29141,-70.3501913613278,41.6861384476765,merge,,,,,,SRID=4326;POINT(-70.3501913613278 41.6861384476765)
29235,-71.0667500040866,42.3908473482044,merge,,,Mystic Generating Station,Exelon,,SRID=4326;POINT(-71.0667500040866 42.3908473482044)
27581,-71.1483617429426,42.4165749857461,joint,345000,60,North Cambridge - Woburn 345kV cable,,346;365,SRID=4326;POINT(-71.1483617429426 42.4165749857461)
7301,-72.0989812608217,42.3913094991464,substation,115000,60,Barre Substation,New England Power Company,,SRID=4326;POINT(-72.0989812608217 42.3913094991464)
2027,-71.2423156946496,42.6227847155334,substation,345000,,Tewksbury Substation No. 22A,,22A,SRID=4326;POINT(-71.2423156946496 42.6227847155334)
2034,-71.2165802644104,42.5391195961573,substation,115000,60,Pinehurst Substation,,,SRID=4326;POINT(-71.2165802644104 42.5391195961573)
4992,-71.7374695066049,42.1879660392659,substation,345000,,Millbury Substation No. 3,,3,SRID=4326;POINT(-71.7374695066049 42.1879660392659)
5693,-70.6562412816641,41.8820794752496,sub_station,,,,,,SRID=4326;POINT(-70.6562412816641 41.8820794752496)
12477,-70.2810268222655,41.6734909455538,substation,,,,,,SRID=4326;POINT(-70.2810268222655 41.6734909455538)
7291,-71.8639942482372,42.0663613301518,sub_station,,,East Webster Substation,,,SRID=4326;POINT(-71.8639942482372 42.0663613301518)
27562,-71.0661190922194,42.389496580235,joint,115000;345000,60,,,324;372,SRID=4326;POINT(-71.0661190922194 42.389496580235)
6187,-71.2366870296319,42.6135694049249,sub_station,,,,,,SRID=4326;POINT(-71.2366870296319 42.6135694049249)
5718,-71.3353624670118,42.0199721948373,substation,,,,,,SRID=4326;POINT(-71.3353624670118 42.0199721948373)
5379,-71.9971334095995,42.1286176190463,substation,345000;115000,,Carpenter Hill Substation,,,SRID=4326;POINT(-71.9971334095995 42.1286176190463)
21820,-71.6689981524967,42.5312594944449,joint,115000,,Ayer - Pratts Junction 115kV transmission line,New England Power Company,K137W,SRID=4326;POINT(-71.6689981524967 42.5312594944449)
5262,-72.1927636779254,42.163931614352,substation,115000,60,Little Rest Road Substation,New England Power Company,,SRID=4326;POINT(-72.1927636779254 42.163931614352)
27565,-71.0667297669495,42.3934320019037,joint,345000,60,,,,SRID=4326;POINT(-71.0667297669495 42.3934320019037)
20110,-71.0138759499039,42.5078908699219,joint,,,,,,SRID=4326;POINT(-71.0138759499039 42.5078908699219)
21845,-71.2808923527655,42.1297976771994,joint,345000,,West Medway - West Walpole 345kV transmission line;Carver - West Walpole 345kV transmission line,New England Power Company,389,SRID=4326;POINT(-71.2808923527655 42.1297976771994)
28553,-71.3983436417003,42.2679815275066,merge,115000,60,Framingham Substation,,,SRID=4326;POINT(-71.3983436417003 42.2679815275066)
20124,-71.3265906394154,42.5866080727911,joint,345000,,Tewksbury - Sandy Pond 345kV transmission line,,337,SRID=4326;POINT(-71.3265906394154 42.5866080727911)
