l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
34793,24790,11801,,,,,,,,195.567471793465,,,,,"","SRID=4326;LINESTRING(-83.8415232902229 43.6373699197755,-83.8434249419378 43.6399399262792)"
15092,23365,23366,345000,3,,60,,,,632.479274212041,,,,,"","SRID=4326;LINESTRING(-83.0053909172061 42.7157369671915,-83.0062715356791 42.721398868414)"
14529,8353,23090,,,,,,,,953.037487033338,,,,,"","SRID=4326;LINESTRING(-84.7686326814262 42.246099359801,-84.7665275214336 42.2543135923981)"
16472,10296,23974,,,,,,,,501.482619208283,,,,,"","SRID=4326;LINESTRING(-83.223650626789 42.1332262769164,-83.2221640072377 42.1285940152401)"
34547,2644,11495,,,,,,,,2539.89459462722,,,,,"","SRID=4326;LINESTRING(-84.35698684826 42.2404417856961,-84.3747719565345 42.2315072933797)"
34962,12028,12029,,,,,,,,1232.43507958441,,,,,"","SRID=4326;LINESTRING(-85.6583728714561 42.9739556024645,-85.6417211264686 42.9716855881012)"
6825,16074,28886,,,,,,,,2236.06390113153,,,,,"","SRID=4326;LINESTRING(-84.7027205509056 45.0301764587709,-84.7323694876439 45.0296232288805)"
17822,10896,24588,,,,,,,,2061.07738414934,,,,,"","SRID=4326;LINESTRING(-84.97163005862 42.2649360981231,-84.9952338316994 42.2633202012693)"
15061,7141,18765,,,,,,,,1330.76294616111,,,,,"","SRID=4326;LINESTRING(-82.4746270212965 42.7642814921224,-82.4915304100086 42.7693110170037)"
34984,30035,12066,,,,,,,,24881.1132439682,,,,,"","SRID=4326;LINESTRING(-83.8420930354674 43.6410430306877,-83.9149788773338 43.4858739625774)"
18129,7141,24723,,,,,,,,45843.0635517781,,,,,"","SRID=4326;LINESTRING(-82.4746270212965 42.7642814921224,-83.0079714176913 42.7211042627123)"
16433,11919,23957,,,,,,,,2355.17013547937,,,,,"","SRID=4326;LINESTRING(-83.7687764591291 42.1765274515203,-83.7672007260336 42.155363177536)"
14528,8352,23089,,,,,,,,625.222957435197,,,,,"","SRID=4326;LINESTRING(-84.7578937510559 42.2823089787802,-84.7667097896048 42.2831957818769)"
16436,2643,23959,,,,,,,,1702.63449471767,,,,,"","SRID=4326;LINESTRING(-84.411467849684 42.2702000569864,-84.4158917098444 42.2847042710923)"
18009,11488,24667,,,,,,,,17242.8061131499,,,,,"","SRID=4326;LINESTRING(-83.0097656228082 43.0663013200089,-83.0092619374284 42.9146821937352)"
875,24610,30014,,,,,,,,24253.5065490836,,,,,"","SRID=4326;LINESTRING(-86.2397092511681 43.2592800884212,-86.3409995913479 43.4342549037348)"
18477,2643,24861,,,,,,,,1508.68583397401,,,,,"","SRID=4326;LINESTRING(-84.411467849684 42.2702000569864,-84.4257811729757 42.2653346062976)"
6849,18757,28893,345000,,,,,,,571.652560927322,,,,,"","SRID=4326;LINESTRING(-83.3515699171762 41.8865559891039,-83.3462707440233 41.8917868561791)"
6839,11538,28890,,,,,,,,15568.4801462483,,,,,"","SRID=4326;LINESTRING(-83.6293744007775 43.0267745116894,-83.630325093318 43.1583410798777)"
16441,2786,23961,,,,,Superior-Crown,,,4104.39665327531,,,,,"","SRID=4326;LINESTRING(-83.6519310532028 42.2699438541767,-83.6668501951392 42.2378748961339)"
16447,23958,23963,,,,,,,,3947.48038864397,,,,,"","SRID=4326;LINESTRING(-83.6641503085528 42.1805429782605,-83.6651312688431 42.2160771560469)"
6845,24668,28892,,,,,,,,10516.3947785028,,,,,"","SRID=4326;LINESTRING(-82.9311129094549 43.8150133590744,-82.913352065639 43.7229416528384)"
18587,12057,24911,,,,,,,,1606.52585516826,,,,,"","SRID=4326;LINESTRING(-84.4279453043267 42.7410480016979,-84.41731967182 42.7338683029411)"
18578,15292,24908,,,,,,,,2316.04219345961,,,,,"","SRID=4326;LINESTRING(-83.3652202314707 42.3760683039731,-83.3940706505724 42.375287679366)"
30948,18767,7494,,,,,,,,9698.3538683973,,,,,"","SRID=4326;LINESTRING(-82.5526699279088 42.9556350151955,-82.4628954594797 42.928745355439)"
7368,12055,29121,,,,,,,,2332.68405787158,,,,,"","SRID=4326;LINESTRING(-84.4352878639645 42.6903824584513,-84.4652014583158 42.6899582032127)"
18541,24894,24895,,,,,,,,588.399661340316,,,,,"","SRID=4326;LINESTRING(-83.0399812658734 42.5763633680526,-83.0397505785084 42.5710560756737)"
18603,12067,24918,,,,,,,,7217.86716509479,,,,,"","SRID=4326;LINESTRING(-84.0300617020539 43.4880534936607,-83.9403908822463 43.4871004737686)"
8516,18757,20396,345000,,,,,,,4310.47849198124,,,,,"","SRID=4326;LINESTRING(-83.3515699171762 41.8865559891039,-83.3965216139936 41.8828436883522)"
2127,24144,30536,,,,,,,,12060.0143947489,,,,,"","SRID=4326;LINESTRING(-84.4180871025672 42.2890828588608,-84.4646904031158 42.3892834530158)"
34226,11158,11069,,,,,,,,6900.91457612975,,,,,"","SRID=4326;LINESTRING(-85.7075926558383 42.8540798489268,-85.7916317159513 42.8472584348511)"
18133,11590,24725,,,,,,,,2694.90862421673,,,,,"","SRID=4326;LINESTRING(-82.996647120212 42.4739816976425,-83.0077170148028 42.4488484669134)"
34625,11594,11595,,,,,,,,27486.3217260359,,,,,"","SRID=4326;LINESTRING(-82.9125788705537 42.6363399989424,-82.6294005343557 42.7125806421441)"
17395,2771,24401,,,,,,,,997.714299705564,,,,,"","SRID=4326;LINESTRING(-83.6426857136939 42.2643678944614,-83.6511588729139 42.25975286918)"
17797,2644,24578,,,,,,,,1345.93082849502,,,,,"","SRID=4326;LINESTRING(-84.35698684826 42.2404417856961,-84.3733987019597 42.2423549622149)"
34986,12068,12069,,,,,,,,141.135441726621,,,,,"","SRID=4326;LINESTRING(-84.1645919616992 43.4394260034084,-84.1691315979875 43.4391231544977)"
32409,30467,8927,345000,6;3;3;6,,60,,,,67982.010213596,,,,,"","SRID=4326;LINESTRING(-85.6374636918489 42.4782945398928,-85.8088415902084 42.9695699602585)"
15052,23348,23349,345000,3,,60,,,,3529.43296733122,,,,,"","SRID=4326;LINESTRING(-83.4826062693555 42.986071319522,-83.4393225643577 42.986613782174)"
17338,18751,24375,,,,,,,,15926.301842742,,,,,"","SRID=4326;LINESTRING(-84.7937382100418 42.2644374025951,-84.9698868778112 42.2642311157358)"
42057,12100,2647,,,,,,,,3045.77272634684,,,,,"","SRID=4326;LINESTRING(-85.1583642285035 42.315301903358,-85.1436598172016 42.3360745021276)"
34988,12069,12070,,,,,,,,8160.03853953546,,,,,"","SRID=4326;LINESTRING(-84.1691315979875 43.4391231544977,-84.1512948742848 43.499909244188)"
42035,20404,2630,345000,3;6;3,,60,,,,25080.6930766654,,,,,"","SRID=4326;LINESTRING(-84.7923620808581 42.4103973939699,-84.4855151972354 42.4154474177554)"
10953,21533,21534,345000,,,,,,,270.643324252941,,,,,"","SRID=4326;LINESTRING(-83.3304134244254 41.9842534567143,-83.3328542368838 41.9826145926842)"
15027,18760,18761,,,,,,,,7103.52889987142,,,,,"","SRID=4326;LINESTRING(-86.057120920453 42.9168909800952,-86.0548529438552 42.8529709785742)"
32418,8938,8939,345000,6,,60,,,,29417.5021402719,,,,,"","SRID=4326;LINESTRING(-85.5536021937539 42.817776413128,-85.4154318556202 43.0000275391439)"
15010,11539,23329,,,,,,,,214.023788735022,,,,,"","SRID=4326;LINESTRING(-83.7839070996143 43.4563150127152,-83.7825517664294 43.4543316927369)"
18596,24914,24915,,,,,,,,2419.29192665024,,,,,"","SRID=4326;LINESTRING(-83.8856684795782 43.4559406162868,-83.8856044296984 43.4777041865272)"
18135,11996,24725,,,,,,,,5890.55103286289,,,,,"","SRID=4326;LINESTRING(-82.9359018775765 42.4536607826788,-83.0077170148028 42.4488484669134)"
32373,8895,8896,345000,3,,60,Livingston - Gallagher - Tittabawassee 345kV,,,82046.7241040976,,,,,"","SRID=4326;LINESTRING(-84.1360415830898 44.2739065648087,-84.1814077457138 43.5738421976641)"
42047,10725,2643,,,,,,,,3694.42032137167,,,,,"","SRID=4326;LINESTRING(-84.3856596748238 42.2946696517289,-84.411467849684 42.2702000569864)"
6843,8896,28891,345000,3,,60,,,,3658.15902516246,,,,,"","SRID=4326;LINESTRING(-84.1814077457138 43.5738421976641,-84.2242852007054 43.5857886204362)"
9909,21535,21032,345000,6,,,,,,8784.47647330155,,,,,"","SRID=4326;LINESTRING(-83.330845334414 41.9843003990669,-83.2611569092809 41.9636593875069)"
38263,8939,15677,,,,,,,,9956.63350327783,,,,,"","SRID=4326;LINESTRING(-85.4154318556202 43.0000275391439,-85.5234456616362 42.9851282458776)"
8407,2494,20340,345000,6,,60,,,,14480.9469884853,,,,,"","SRID=4326;LINESTRING(-86.1895466519664 41.8859968972889,-86.1393245842929 41.7639333799472)"
2200,24627,30567,,,,,,,,571.249111490972,,,,,"","SRID=4326;LINESTRING(-83.6561791977107 42.2687504582552,-83.6502012433387 42.2699286202262)"
34175,8949,10990,,,,,,,,8761.22371000472,,,,,"","SRID=4326;LINESTRING(-83.528236233289 42.5128515443503,-83.4426133896705 42.5496512490186)"
11019,4548,21566,,,,,,ITC Transmission,,1615.88409504787,,,,,"","SRID=4326;LINESTRING(-83.2752940189884 42.6185825861669,-83.2570553813567 42.6086876875117)"
