v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
8916,-83.1453028865683,42.939772380848,sub_station,,,,,,SRID=4326;POINT(-83.1453028865683 42.939772380848)
11535,-83.6529879612582,42.857722564796,station,,,,,,SRID=4326;POINT(-83.6529879612582 42.857722564796)
22698,-86.4072426262051,43.8734577100385,joint,345000,60,Keystone - Ludington 345kV,,,SRID=4326;POINT(-86.4072426262051 43.8734577100385)
11529,-83.2048222526844,42.6391763643018,station,,,,,,SRID=4326;POINT(-83.2048222526844 42.6391763643018)
24899,-83.2951829362866,42.6751987170352,joint,,,,,,SRID=4326;POINT(-83.2951829362866 42.6751987170352)
24147,-84.4726770935625,42.4162111584048,joint,,,,,,SRID=4326;POINT(-84.4726770935625 42.4162111584048)
11069,-85.7916317159513,42.8472584348511,substation,,,,,,SRID=4326;POINT(-85.7916317159513 42.8472584348511)
28547,-84.5302799337785,42.6794039682618,merge,,,,,,SRID=4326;POINT(-84.5302799337785 42.6794039682618)
12051,-83.2360723982029,42.3847009861458,station,,,,,,SRID=4326;POINT(-83.2360723982029 42.3847009861458)
12057,-84.4279453043267,42.7410480016979,station,,,,,,SRID=4326;POINT(-84.4279453043267 42.7410480016979)
8927,-85.8088415902084,42.9695699602585,substation,,,Tallmadge Substation,,,SRID=4326;POINT(-85.8088415902084 42.9695699602585)
11404,-83.7859177987147,43.2441830759616,station,,,,,,SRID=4326;POINT(-83.7859177987147 43.2441830759616)
11999,-83.0407887232211,42.6108108880482,substation,,,,,,SRID=4326;POINT(-83.0407887232211 42.6108108880482)
30631,-83.7360833688716,42.351340565683,joint,345000,60,Coventry-Majestic,Detroit Edison,,SRID=4326;POINT(-83.7360833688716 42.351340565683)
24470,-84.6572218651349,42.2240623945523,joint,,,,,,SRID=4326;POINT(-84.6572218651349 42.2240623945523)
11806,-83.2560513343636,42.6155459341464,substation,,,,,,SRID=4326;POINT(-83.2560513343636 42.6155459341464)
24725,-83.0077170148028,42.4488484669134,joint,,,,,,SRID=4326;POINT(-83.0077170148028 42.4488484669134)
13166,-84.9772505370742,45.347824336249,substation,,,,,,SRID=4326;POINT(-84.9772505370742 45.347824336249)
11919,-83.7687764591291,42.1765274515203,substation,,,,,,SRID=4326;POINT(-83.7687764591291 42.1765274515203)
16202,-86.0393116474439,43.9885417196454,substation,,,,,,SRID=4326;POINT(-86.0393116474439 43.9885417196454)
10987,-84.0298282748273,42.3122535960416,station,,,,,,SRID=4326;POINT(-84.0298282748273 42.3122535960416)
24610,-86.2397092511681,43.2592800884212,joint,,,,,,SRID=4326;POINT(-86.2397092511681 43.2592800884212)
3504,-83.2835237401192,42.7316334859626,substation,,,,,,SRID=4326;POINT(-83.2835237401192 42.7316334859626)
12014,-83.2942246700181,42.6705447312696,station,,,,,,SRID=4326;POINT(-83.2942246700181 42.6705447312696)
12023,-82.8209386041563,43.4219833482601,station,,,,,,SRID=4326;POINT(-82.8209386041563 43.4219833482601)
12093,-85.5409045365071,42.2272103490587,substation,,,,,,SRID=4326;POINT(-85.5409045365071 42.2272103490587)
11596,-82.9504493155837,42.592099889368,substation,,,,,,SRID=4326;POINT(-82.9504493155837 42.592099889368)
11925,-84.433598537157,42.2521423449671,station,,,,,,SRID=4326;POINT(-84.433598537157 42.2521423449671)
2496,-86.555315882227,41.974781737979,substation,765000,,Cook Substation,,,SRID=4326;POINT(-86.555315882227 41.974781737979)
24414,-83.6556637444007,42.0811043146073,joint,,,,,,SRID=4326;POINT(-83.6556637444007 42.0811043146073)
24894,-83.0399812658734,42.5763633680526,joint,,,,,,SRID=4326;POINT(-83.0399812658734 42.5763633680526)
2643,-84.411467849684,42.2702000569864,station,,,Jackson,,,SRID=4326;POINT(-84.411467849684 42.2702000569864)
23341,-83.0109310970579,42.7607337139768,joint,,60,,,,SRID=4326;POINT(-83.0109310970579 42.7607337139768)
24914,-83.8856684795782,43.4559406162868,joint,,,,,,SRID=4326;POINT(-83.8856684795782 43.4559406162868)
8910,-84.216589303308,43.4330145428792,substation,,,,,,SRID=4326;POINT(-84.216589303308 43.4330145428792)
11993,-83.4282430227945,42.4690840826195,substation,,,,,,SRID=4326;POINT(-83.4282430227945 42.4690840826195)
12011,-83.2892413442502,42.6556494671847,station,,,,,,SRID=4326;POINT(-83.2892413442502 42.6556494671847)
11592,-82.710052136449,42.7285832768412,station,,,,,,SRID=4326;POINT(-82.710052136449 42.7285832768412)
8914,-83.2998701475815,42.9882396504676,station,,,,,,SRID=4326;POINT(-83.2998701475815 42.9882396504676)
13152,-85.168818003899,45.3573728137367,substation,,,,,,SRID=4326;POINT(-85.168818003899 45.3573728137367)
21535,-83.330845334414,41.9843003990669,joint,345000,,,,,SRID=4326;POINT(-83.330845334414 41.9843003990669)
24750,-82.5381718378754,43.0769917605959,joint,,,,,,SRID=4326;POINT(-82.5381718378754 43.0769917605959)
8935,-86.2001260035824,42.9099067731619,substation,,,,,,SRID=4326;POINT(-86.2001260035824 42.9099067731619)
23957,-83.7672007260336,42.155363177536,joint,,,,,,SRID=4326;POINT(-83.7672007260336 42.155363177536)
30514,-86.1607381459905,43.2646179555416,joint,,,,,,SRID=4326;POINT(-86.1607381459905 43.2646179555416)
28726,-82.4969352047116,42.770891055297,merge,,,,,,SRID=4326;POINT(-82.4969352047116 42.770891055297)
11157,-85.6658497110714,42.8503460729252,substation,,,,,,SRID=4326;POINT(-85.6658497110714 42.8503460729252)
10959,-83.6659563714315,42.0840662460473,substation,,,,,,SRID=4326;POINT(-83.6659563714315 42.0840662460473)
