l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
6619,18013,28801,345000,,,,,,,96162.2154873807,,,,,"","SRID=4326;LINESTRING(-94.2252148770501 44.1541334194081,-95.1431926945356 43.6702216120175)"
7057,23578,28989,230000,3,,60,,,,38180.3316519262,,,,,"","SRID=4326;LINESTRING(-94.0393880299042 45.6022663576367,-93.6392308965367 45.7555649598373)"
14793,8640,23216,,,,,,,,895.926435160249,,,,,"","SRID=4326;LINESTRING(-93.8811087347178 45.3806607096095,-93.8710814749021 45.3792139595455)"
33278,8721,9895,,,,,,,,8966.72414263291,,,,,"","SRID=4326;LINESTRING(-92.1788489991513 47.5908320608335,-92.1623362711008 47.530896499546)"
15790,12538,23654,,,,,,,,10759.1609467065,,,,,"","SRID=4326;LINESTRING(-96.0923827078682 43.6818132635589,-96.1998930617376 43.6550428069471)"
14792,8639,23216,,,,,,,,764.40591223317,,,,,"","SRID=4326;LINESTRING(-93.8709937993304 45.3720221769517,-93.8710814749021 45.3792139595455)"
23049,27053,27054,,,,,,,,2163.36320600304,,,,,"","SRID=4326;LINESTRING(-96.5921895921008 46.2538359696833,-96.574068686358 46.2610791947451)"
35359,4629,12570,,,,,,,,1969.59304885965,,,,,"","SRID=4326;LINESTRING(-96.7776621403976 46.846847119686,-96.7513042837902 46.846298290443)"
33207,9805,9807,230000,3,,60,,,,27142.7413596769,,,,,"","SRID=4326;LINESTRING(-93.1594420536519 45.1904289597774,-93.0367004486505 45.3511624715149)"
27873,21207,3986,345000,,,,,,,77948.0702362065,,,,,"","SRID=4326;LINESTRING(-93.560943243457 44.775575266215,-94.0083214905333 44.1985861540227)"
33199,5762,9799,230000,3,,60,,,,88472.71035723,,,,,"","SRID=4326;LINESTRING(-92.2943249579422 46.7728369037123,-92.8206539913649 46.1255091413294)"
8637,7673,20456,345000,,,,,,,5123.20401757816,,,,,"","SRID=4326;LINESTRING(-93.1657885316051 44.7977168046396,-93.0996872708137 44.7969856881666)"
34294,24500,11151,,,,,,,,1838.43372056786,,,,,"","SRID=4326;LINESTRING(-93.358801373784 44.7464532600359,-93.3819137830173 44.7459908172086)"
31869,8379,8380,115000,3,,60,,,,56.5979684582599,,,,,"","SRID=4326;LINESTRING(-93.6519119989973 47.260651114122,-93.6488102729528 47.2617308004694)"
1082,25943,30099,,3;8;3;3;3,,,,,,490.912255901059,,,,,"","SRID=4326;LINESTRING(-92.865226712164 44.0289420166842,-92.8590656155478 44.0280942524435)"
33279,30059,9895,,,,,,,,2348.17094003683,,,,,"","SRID=4326;LINESTRING(-92.182752375683 47.5158640608589,-92.1623362711008 47.530896499546)"
15844,9669,23679,,,,,,,,1420.93395065245,,,,,"","SRID=4326;LINESTRING(-92.5743370608647 47.3541269541646,-92.5758745082465 47.3672221965837)"
