v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
8477,-94.6389691818178,47.3790423460162,substation,,,,,,SRID=4326;POINT(-94.6389691818178 47.3790423460162)
9424,-94.0387813907092,45.5691062278177,station,,,Benton Substation,,,SRID=4326;POINT(-94.0387813907092 45.5691062278177)
29373,-94.2750276914452,45.5434733829059,merge,,,,,,SRID=4326;POINT(-94.2750276914452 45.5434733829059)
25943,-92.865226712164,44.0289420166842,joint,,,,,,SRID=4326;POINT(-92.865226712164 44.0289420166842)
23760,-93.3253677857081,44.7461611785375,joint,,,,,,SRID=4326;POINT(-93.3253677857081 44.7461611785375)
23578,-94.0393880299042,45.6022663576367,joint,230000,60,,,,SRID=4326;POINT(-94.0393880299042 45.6022663576367)
9683,-92.6224440281409,47.5653095192678,sub_station,,,,,,SRID=4326;POINT(-92.6224440281409 47.5653095192678)
1873,-93.0116239998846,44.8874113989342,station,,,Maxwell,,,SRID=4326;POINT(-93.0116239998846 44.8874113989342)
28243,-95.5926284827455,43.7104611129209,merge,,,,,,SRID=4326;POINT(-95.5926284827455 43.7104611129209)
12570,-96.7513042837902,46.846298290443,sub_station,,,,,,SRID=4326;POINT(-96.7513042837902 46.846298290443)
23713,-93.7135793171483,45.3286961866001,joint,,,,,,SRID=4326;POINT(-93.7135793171483 45.3286961866001)
18781,-93.0787175378104,47.3917306617295,joint,,,,,,SRID=4326;POINT(-93.0787175378104 47.3917306617295)
11285,-92.1995638293877,46.7511084510957,station,,,Hilltop 230/115KV Substation,,,SRID=4326;POINT(-92.1995638293877 46.7511084510957)
3937,-92.6342875269579,44.6250113359339,station,,,,,,SRID=4326;POINT(-92.6342875269579 44.6250113359339)
9741,-93.7243576411414,45.3298922247567,sub_station,,,,,,SRID=4326;POINT(-93.7243576411414 45.3298922247567)
8639,-93.8709937993304,45.3720221769517,substation,,,,,,SRID=4326;POINT(-93.8709937993304 45.3720221769517)
12328,-93.4461925388951,44.2254583366022,station,,,,,,SRID=4326;POINT(-93.4461925388951 44.2254583366022)
3930,-93.8462188810096,45.3309693757286,substation,,,,,,SRID=4326;POINT(-93.8462188810096 45.3309693757286)
28253,-92.5985660319215,44.1012838812014,merge,,,,,,SRID=4326;POINT(-92.5985660319215 44.1012838812014)
20453,-93.248762961708,44.8062327115653,joint,345000,,,,,SRID=4326;POINT(-93.248762961708 44.8062327115653)
21259,-93.1161849208381,45.033952899389,joint,345000;115000,,,,,SRID=4326;POINT(-93.1161849208381 45.033952899389)
23387,-92.2173842769706,46.666855595282,joint,115000;345000;345000;115000,60,,,,SRID=4326;POINT(-92.2173842769706 46.666855595282)
