l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
10570,5366,18391,,,,,,,,31590.9354760208,,,,,"","SRID=4326;LINESTRING(-88.6532774661628 33.6356934310786,-88.3554827632603 33.650708663621)"
28921,5255,5256,230000;115000;230000;230000;115000;115000,6;3;3;3;3,,60,,,,8990.9444634908,,,,,"","SRID=4326;LINESTRING(-90.0144986563998 32.2828651125885,-89.9644607249654 32.2884456412202)"
2899,10143,30867,230000,3,,60,,,,10019.1461581454,,,,,"","SRID=4326;LINESTRING(-88.5138065910546 30.4125743465242,-88.5341692175475 30.5010080832599)"
10463,3272,18367,500000,,,,500kV transmission line,TVA,,51070.562437517,,,,,"","SRID=4326;LINESTRING(-89.2099771493795 33.3859385677551,-88.7278194466626 33.6006035972366)"
511,10183,29857,,,,,,,,8746.10711519095,,,,,"","SRID=4326;LINESTRING(-89.1016684087901 31.6907966671281,-89.0091546155205 31.6948267967554)"
36388,13633,13774,,,,,,,,61177.9737181927,,,,,"","SRID=4326;LINESTRING(-90.3790846542798 33.6414053804597,-90.5076813817721 33.4585573470921)"
7197,10299,29045,230000;230000;115000;230000;230000;230000,3;6;3;3;6,,60,,Entergy Mississippi,,10396.6741906657,,,,,"","SRID=4326;LINESTRING(-90.324553089881 34.7877077282803,-90.2630151507348 34.8615427204429)"
27841,10279,3947,230000,6;3;3;3;3,,60,,,,2179.98565820954,,,,,"","SRID=4326;LINESTRING(-90.0541267422071 32.5856965083756,-90.0655904477619 32.5700597133102)"
35591,10173,146,230000,3,,60,,,,28533.0195733256,,,,,"","SRID=4326;LINESTRING(-89.0276884085148 30.440308900176,-88.7675416271336 30.4174600410491)"
10541,18383,18384,,,,,,,,2864.00025330396,,,,,"","SRID=4326;LINESTRING(-89.312595926829 31.5568319781089,-89.3028729215198 31.5325130002815)"
33662,23969,10286,230000,3,,60,,,,55741.3791159636,,,,,"","SRID=4326;LINESTRING(-91.0249458364597 33.2832476145562,-90.6232152548853 32.9133502927506)"
13716,10143,22707,230000,3,,60,,,,2367.53888504956,,,,,"","SRID=4326;LINESTRING(-88.5138065910546 30.4125743465242,-88.5149609451447 30.3914040135744)"
16455,3275,23967,230000,3,,60,,,,31.6841518523193,,,,,"","SRID=4326;LINESTRING(-89.6816028297056 33.0145604379615,-89.6843505917587 33.0118766035624)"
11788,5241,21895,115000;230000;230000;115000,3;6,,60,,,,6391.88574981377,,,,,"","SRID=4326;LINESTRING(-90.1641977593747 32.2616083615191,-90.0984327050662 32.2645730011098)"
9188,5306,20681,500000;115000,6,,60,Baxter Wilson - Ray Braswell 500 kV transmission line,,,1867.94969097283,,,,,"","SRID=4326;LINESTRING(-90.9288071397561 32.2813894134234,-90.906757369137 32.2775514236905)"
467,18374,29837,,,,,,,,11423.5416984654,,,,,"","SRID=4326;LINESTRING(-89.4037178851465 31.4746480174664,-89.3019099893592 31.5290340796009)"
42686,10295,3275,230000,3,,60,Indianola - McAdams 230kV,Entergy Mississippi,,108568.866357373,,,,,"","SRID=4326;LINESTRING(-90.6338258696597 33.4390991924999,-89.6816028297056 33.0145604379615)"
28897,3294,5230,115000,,,,115kV transmission line,,,74.4550070693664,,,,,"","SRID=4326;LINESTRING(-90.3292873967023 32.3111556123855,-90.3243239875193 32.3123624481615)"
7157,18412,29028,,,,,,,,3215.43322181527,,,,,"","SRID=4326;LINESTRING(-88.6639079074587 31.6657829563861,-88.6955992992198 31.6773552547867)"
