v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
10279,-90.0541267422071,32.5856965083756,station,,,,,,SRID=4326;POINT(-90.0541267422071 32.5856965083756)
5306,-90.9288071397561,32.2813894134234,substation,500000;115000,60,Baxter Wilson Substation,,,SRID=4326;POINT(-90.9288071397561 32.2813894134234)
21895,-90.0984327050662,32.2645730011098,joint,230000;115000,60,230kV transmission line;115kV transmission line,,,SRID=4326;POINT(-90.0984327050662 32.2645730011098)
10295,-90.6338258696597,33.4390991924999,station,,,Indianola Substation,Entergy Mississippi,,SRID=4326;POINT(-90.6338258696597 33.4390991924999)
5234,-90.1878147645529,32.2807305151772,substation,230000,,South Jackson Substation,,,SRID=4326;POINT(-90.1878147645529 32.2807305151772)
18381,-89.27068394927,31.9609299661252,joint,,,,,,SRID=4326;POINT(-89.27068394927 31.9609299661252)
10190,-88.8347856366079,32.1634443540344,station,,,,,,SRID=4326;POINT(-88.8347856366079 32.1634443540344)
18406,-89.4331148934933,31.7999529988653,joint,,,,,,SRID=4326;POINT(-89.4331148934933 31.7999529988653)
13633,-90.3790846542798,33.6414053804597,sub_station,,,Substation,Entergy,,SRID=4326;POINT(-90.3790846542798 33.6414053804597)
10971,-89.125630881337,31.6824562948143,sub_station,,,,,,SRID=4326;POINT(-89.125630881337 31.6824562948143)
21880,-90.321591469295,32.3117861655805,joint,115000;230000;230000;115000,,115kV transmission line;230kV transmission line;115 / 230 kV transmission line,,,SRID=4326;POINT(-90.321591469295 32.3117861655805)
18385,-89.2775579476556,31.4794389969744,joint,,,,,,SRID=4326;POINT(-89.2775579476556 31.4794389969744)
10180,-89.5908835857314,30.310496024812,sub_station,,,,,,SRID=4326;POINT(-89.5908835857314 30.310496024812)
30114,-89.7306262625425,31.8433477910602,joint,,,,,,SRID=4326;POINT(-89.7306262625425 31.8433477910602)
10167,-88.5658758326606,30.647970584988,substation,230000;115000,60,,,,SRID=4326;POINT(-88.5658758326606 30.647970584988)
10743,-89.5274973296522,30.8380946011854,station,,,,,,SRID=4326;POINT(-89.5274973296522 30.8380946011854)
20398,-90.0567709981455,34.9805530854987,joint,230000;500000;230000;500000,60,,TVA,,SRID=4326;POINT(-90.0567709981455 34.9805530854987)
14190,-88.8964076600254,30.4323993590663,substation,,,,,,SRID=4326;POINT(-88.8964076600254 30.4323993590663)
5365,-90.214607501268,32.3816862983615,substation,500000;230000;115000,,Lakeover Substation,Entergy Mississippi,,SRID=4326;POINT(-90.214607501268 32.3816862983615)
21889,-90.2472032382585,32.2470254933408,joint,230000;115000;115000;230000,60,230kV transmission line,,,SRID=4326;POINT(-90.2472032382585 32.2470254933408)
21881,-90.3221279431827,32.3026545763747,joint,115000;230000;115000;230000,,115kV transmission line;230kV transmission line;230kV transmission line,,,SRID=4326;POINT(-90.3221279431827 32.3026545763747)
21894,-90.2280578937657,32.2358160585406,joint,230000;115000;115000;230000,60,115 / 230 kV transmission line;115 kV transmission line,,,SRID=4326;POINT(-90.2280578937657 32.2358160585406)
3272,-89.2099771493795,33.3859385677551,station,,,,,,SRID=4326;POINT(-89.2099771493795 33.3859385677551)
10173,-89.0276884085148,30.440308900176,substation,,,,,,SRID=4326;POINT(-89.0276884085148 30.440308900176)
28754,-88.553423137081,30.5313179562014,merge,500000;230000,60,Daniel Station,,,SRID=4326;POINT(-88.553423137081 30.5313179562014)
10278,-90.0837060166556,32.5113616762773,station,,,Yandell Road Substation,Entergy Mississippi,,SRID=4326;POINT(-90.0837060166556 32.5113616762773)
18405,-89.6777429438548,31.7965670149322,joint,,,,,,SRID=4326;POINT(-89.6777429438548 31.7965670149322)
5237,-90.2165307420077,32.3603638169107,substation,230000,,Rex Brown 230kV Substation,,,SRID=4326;POINT(-90.2165307420077 32.3603638169107)
20681,-90.906757369137,32.2775514236905,joint,500000;115000,60,Baxter Wilson - Ray Braswell 500 kV transmission line,,,SRID=4326;POINT(-90.906757369137 32.2775514236905)
23966,-90.0177842944777,32.5787537101782,joint,230000,60,,,,SRID=4326;POINT(-90.0177842944777 32.5787537101782)
21884,-90.200625950103,32.2723483222189,joint,230000;115000;230000;115000,60,115 / 230 kV transmission line;115kV transmission line,,,SRID=4326;POINT(-90.200625950103 32.2723483222189)
21885,-90.2009859948688,32.2725560570456,joint,230000;115000;230000;115000,60,115 / 230 kV transmission line,,,SRID=4326;POINT(-90.2009859948688 32.2725560570456)
5367,-90.6905794129811,31.3617248764604,sub_station,,,,Smithdale Substation,,SRID=4326;POINT(-90.6905794129811 31.3617248764604)
10194,-88.6768882310227,32.4146362944356,station,,,,,,SRID=4326;POINT(-88.6768882310227 32.4146362944356)
5235,-90.2584749344246,32.2830901116682,station,,,Robinson Road Substation,,,SRID=4326;POINT(-90.2584749344246 32.2830901116682)
21899,-90.0794270486001,32.2672541508566,joint,230000;115000;230000;115000,,115 / 230kV transmission line;230kV transmission line;115kV transmission line,,,SRID=4326;POINT(-90.0794270486001 32.2672541508566)
31019,-89.3282098710206,31.2161595396579,joint,230000,60,,,,SRID=4326;POINT(-89.3282098710206 31.2161595396579)
23969,-91.0249458364597,33.2832476145562,joint,230000,60,Gerald Andrus - Indianola 230kV,Entergy Mississippi,,SRID=4326;POINT(-91.0249458364597 33.2832476145562)
2637,-90.0399731996128,34.9936949877178,station,,,,,,SRID=4326;POINT(-90.0399731996128 34.9936949877178)
18378,-88.7404108625055,30.8199738921382,joint,,,,,,SRID=4326;POINT(-88.7404108625055 30.8199738921382)
10176,-89.3358766664157,30.9127115624017,station,,,,,,SRID=4326;POINT(-89.3358766664157 30.9127115624017)
15870,-90.6336792574747,33.4450408051419,substation,,,,,,SRID=4326;POINT(-90.6336792574747 33.4450408051419)
29837,-89.3019099893592,31.5290340796009,joint,,,,,,SRID=4326;POINT(-89.3019099893592 31.5290340796009)
18383,-89.312595926829,31.5568319781089,joint,,,,,,SRID=4326;POINT(-89.312595926829 31.5568319781089)
18407,-89.1803719120126,30.8556869910078,joint,,,,,,SRID=4326;POINT(-89.1803719120126 30.8556869910078)
