l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
39566,27737,17056,,,,,,,,16029.6221456931,,,,,"","SRID=4326;LINESTRING(-92.477966047452 39.2848343974078,-92.2993398506398 39.246791649819)"
24895,17253,27900,,3,1,60,,,,3556.71544100701,,,,,"","SRID=4326;LINESTRING(-91.2731478492432 38.1667562297765,-91.2371287150525 38.181696305779)"
15522,18802,18803,,,,,,,,17859.035979894,,,,,"","SRID=4326;LINESTRING(-90.1759408749161 36.5850249738134,-90.0944988926056 36.4530169580554)"
39513,3866,16977,,,,,,,,25848.0714950578,,,,,"","SRID=4326;LINESTRING(-93.2818517129798 38.7025366573537,-93.5648862986621 38.7562727872986)"
38531,15959,15960,,,,,,,,9774.779503391,,,,,"","SRID=4326;LINESTRING(-91.7994743923068 37.9825582934193,-91.782092975969 38.0645780441529)"
39637,3730,17164,,,,,,,,8465.80198618434,,,,,"","SRID=4326;LINESTRING(-94.891946017074 39.4832644848711,-94.8082189665361 39.4428497698423)"
42639,3223,3225,,,,,,,,14852.9761857459,,,,,"","SRID=4326;LINESTRING(-90.4738216181713 38.6865323217357,-90.4546947991458 38.5633739171004)"
39503,3902,16987,,,,,Rea Line,,,41111.1622375784,,,,,"","SRID=4326;LINESTRING(-94.8433055816106 40.3459747276456,-94.4826665353757 40.0994968393216)"
42635,3222,3224,,,,,,,,1483.23264778901,,,,,"","SRID=4326;LINESTRING(-90.4217997277 38.6877051697036,-90.402606022824 38.686555428853)"
39584,1311,17085,,,,,,,,36964.6980437447,,,,,"","SRID=4326;LINESTRING(-92.6391845499171 39.5480344153091,-93.0478655824346 39.5104884720566)"
23223,27128,27132,,,,,,,,643.51202679849,,,,,"","SRID=4326;LINESTRING(-94.4891328108336 39.1065180873489,-94.4871645122146 39.1120351796128)"
15520,7950,18801,,3,1,60,,,,288.244027819401,,,,,"","SRID=4326;LINESTRING(-91.5172945011131 37.6911432983488,-91.5130582021631 37.691033187799)"
14459,8111,23058,345000,3,2,60,,,,74964.9835623853,,,,,"","SRID=4326;LINESTRING(-91.4602500336394 38.9215065000016,-90.8618849037277 38.5401754179566)"
32196,8699,8698,345000,3;6;3;3;6,2,60,,,,32411.7340648237,,,,,"","SRID=4326;LINESTRING(-90.5089691408193 38.4952473236756,-90.4513569324456 38.2137541632712)"
39696,17208,17232,,,,,,,,17961.5838069573,,,,,"","SRID=4326;LINESTRING(-92.6073404072461 38.3662482385428,-92.6151870413095 38.2032247960522)"
20912,238,19152,345000,3,,60,,,,615.914709358069,,,,,"","SRID=4326;LINESTRING(-90.2938908932364 38.9148094497692,-90.3018395823223 38.9127815007816)"
10127,3912,21148,,,,,,,,5109.69983917308,,,,,"","SRID=4326;LINESTRING(-94.7947600723753 39.77219040914,-94.7620451263995 39.7454054931993)"
42541,972,3113,,,,,,,,11081.3163408007,,,,,"","SRID=4326;LINESTRING(-94.4974010429768 39.0486746042868,-94.5114147494278 38.9634883430108)"
15570,17355,18815,,,,,,,,7393.42216277981,,,,,"","SRID=4326;LINESTRING(-90.6354548755532 37.6235905648308,-90.6940118756818 37.6668459864403)"
15654,16311,18826,,,,,,,,12083.0051228372,,,,,"","SRID=4326;LINESTRING(-94.515703629465 36.9679200949788,-94.4154844322651 36.9088705660337)"
40870,19864,1389,345000,3,,60,,,,28980.3212701274,,,,,"","SRID=4326;LINESTRING(-94.4732414337945 39.1387973663618,-94.1645632616309 39.1692995557597)"
19606,25385,25390,,3,,,,,,4043.18383953419,,,,,"","SRID=4326;LINESTRING(-93.3039285931373 36.5899226748762,-93.258755731097 36.5889428854375)"
15689,18824,18836,,,,,,,,21928.4157281154,,,,,"","SRID=4326;LINESTRING(-89.8105585891173 36.4941046973471,-89.9286559672702 36.3217188705493)"
3142,7828,30962,345000,6,,60,,,,7634.1702460409,,,,,"","SRID=4326;LINESTRING(-93.620680348458 37.4895884813857,-93.5945339604562 37.4271681853138)"
19608,13062,25390,,3,,,,,,7633.14279602424,,,,,"","SRID=4326;LINESTRING(-93.1931575930952 36.6240284449393,-93.258755731097 36.5889428854375)"
6910,9132,28917,345000;345000;138000;138000,3;6;3,1,60,,,,1459.7185542269,,,,,"","SRID=4326;LINESTRING(-90.7011771762148 38.8318587298017,-90.6819979326342 38.8265252255691)"
15669,17571,18828,,,,,,,,29740.9925504795,,,,,"","SRID=4326;LINESTRING(-92.3325983390295 38.2964966849409,-91.998658878332 38.3392670179224)"
8910,3079,20561,,,,,,,,4324.97997677723,,,,,"","SRID=4326;LINESTRING(-94.4705023905289 37.1155401670148,-94.4226767935874 37.1131425121969)"
6674,23061,28826,345000,6;3;3,2,60,,,,8488.3126445404,,,,,"","SRID=4326;LINESTRING(-90.8273909442904 38.5626182731935,-90.8799092958538 38.4997790844869)"
24580,27738,27739,,,,,,,,12866.8405651361,,,,,"","SRID=4326;LINESTRING(-92.480626767492 39.2850357568862,-92.6250711041075 39.3107202643797)"
1037,17312,30081,,,,,,,,1499.66219472588,,,,,"","SRID=4326;LINESTRING(-90.4516568324836 38.0479090691108,-90.4528912184494 38.0343111884911)"
5469,21148,28453,345000,3,,60,Iatan - Saint Joseph 345kv,,,38923.6633033108,,,,,"","SRID=4326;LINESTRING(-94.7620451263995 39.7454054931993,-94.9764432474554 39.4500681706602)"
23283,27161,27162,,,,,,,,508.139388544295,,,,,"","SRID=4326;LINESTRING(-94.5136940083429 39.1295490675895,-94.5195812073889 39.1297708023878)"
25154,18801,28023,,3,1,60,,,,174.292078444546,,,,,"","SRID=4326;LINESTRING(-91.5130582021631 37.691033187799,-91.5146691509621 37.6900994038997)"
15568,18815,18813,,,,,Power Line,,,1897.89439442914,,,,,"","SRID=4326;LINESTRING(-90.6940118756818 37.6668459864403,-90.7058909275044 37.6811080044824)"
39565,1307,17053,,,,,,,,31658.8400865003,,,,,"","SRID=4326;LINESTRING(-92.850809089972 39.4073167209931,-92.4835487640913 39.4244913185478)"
39511,16218,16993,,,,,,,,3784.52340497464,,,,,"","SRID=4326;LINESTRING(-94.2555364365459 39.0093312434906,-94.2613056225175 38.9745057543239)"
38926,1682,16341,,,,,,,,36630.8061099488,,,,,"","SRID=4326;LINESTRING(-94.305259106058 37.1392399160438,-94.4109728728733 36.8392552355512)"
