l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
33097,3097,9646,230000,3,,60,,,,48409.3954345036,,,,,"","SRID=4326;LINESTRING(-108.852113932619 46.0513788766148,-109.382058993478 46.2794720374578)"
4671,8619,29612,161000,3,,60,,,,10598.2710051323,,,,,"","SRID=4326;LINESTRING(-108.49609904708 45.7995563989524,-108.591343161142 45.8570643816334)"
7027,2444,28972,230000,3,,60,,,,46255.9196102655,,,,,"","SRID=4326;LINESTRING(-113.099159973703 46.9318162583323,-113.597142125462 47.1348694688495)"
4673,8621,29612,230000,3,,60,,,,6819.18398089227,,,,,"","SRID=4326;LINESTRING(-108.516741163546 45.8267748857327,-108.591343161142 45.8570643816334)"
42746,3319,3336,,,,,,,,47700.274781052,,,,,"","SRID=4326;LINESTRING(-104.524485910531 48.1572846910763,-105.136287225814 48.1168279757441)"
33088,3499,9665,230000,3,,60,,,,36117.7786463106,,,,,"","SRID=4326;LINESTRING(-114.628727845681 47.5759132484833,-114.35368719135 47.8335134878366)"
15829,20488,23671,230000,3,,60,,,,70678.6303606066,,,,,"","SRID=4326;LINESTRING(-115.723997012556 47.9663823085172,-115.007566588452 48.1714120160441)"
15838,28974,23677,230000,3,,60,,,,3426.50454337952,,,,,"","SRID=4326;LINESTRING(-114.142591319086 48.3626831785922,-114.108299898615 48.3835538690429)"
25359,8722,18050,,,,,,,,76.5896933465141,,,,,"","SRID=4326;LINESTRING(-106.412010381885 48.0134170844652,-106.412495921296 48.0121739776036)"
2054,484,30506,230000,3,,60,,,,3738.22614413371,,,,,"","SRID=4326;LINESTRING(-114.234017416388 48.3855369366876,-114.232965932205 48.350729767236)"
261,18043,29747,,,,,,,,1869.6278667425,,,,,"","SRID=4326;LINESTRING(-112.893360906025 46.1099400015868,-112.878811724269 46.0968266606364)"
38274,9646,15686,230000,3,,60,,,,44074.1798133011,,,,,"","SRID=4326;LINESTRING(-109.382058993478 46.2794720374578,-109.752753943464 46.5729350292032)"
33076,2278,9660,161000,3,,60,,,,4702.82445884467,,,,,"","SRID=4326;LINESTRING(-112.458014037931 45.9203071145916,-112.519024032707 45.9305729530539)"
33084,9675,9676,230000,3,,60,,,,39.3945009264615,,,,,"","SRID=4326;LINESTRING(-114.309353083486 48.2456101845026,-114.312499945333 48.245172792195)"
3664,15554,31171,,,,,,,,3341.99690188457,,,,,"","SRID=4326;LINESTRING(-109.858067735902 46.7556931267059,-109.836334445156 46.7295082943533)"
3667,31172,31173,,,,,,,,6246.77878125248,,,,,"","SRID=4326;LINESTRING(-111.063349662897 47.4967330734086,-111.110330962135 47.5397097037179)"
7029,484,28973,230000,3,,60,,,,10020.4081429287,,,,,"","SRID=4326;LINESTRING(-114.234017416388 48.3855369366876,-114.134105325023 48.3909880524329)"
6639,8619,28809,230000,3,,60,,,,72932.9873541234,,,,,"","SRID=4326;LINESTRING(-108.49609904708 45.7995563989524,-107.946516344669 45.3210895902244)"
29622,5720,6033,,,,,,,,23193.5085009458,,,,,"","SRID=4326;LINESTRING(-111.733352291473 45.3794898024643,-111.677005590164 45.520735406692)"
6628,8064,28807,230000,3,,60,,,,261.252073722817,,,,,"","SRID=4326;LINESTRING(-112.875504694206 46.0995977335831,-112.876466718465 46.106006065763)"
32177,8674,8675,230000,3,,60,Shelby - Conrad 230kV,,,47877.008583276,,,,,"","SRID=4326;LINESTRING(-111.938661726036 48.1294815492234,-111.862332899792 48.4663549205427)"
