v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
31172,-111.063349662897,47.4967330734086,joint,230000,60,,,,SRID=4326;POINT(-111.063349662897 47.4967330734086)
8017,-112.977338451866,44.9884049046432,sub_station,,,,,,SRID=4326;POINT(-112.977338451866 44.9884049046432)
8673,-111.960373276164,48.1502767307289,substation,,,,,,SRID=4326;POINT(-111.960373276164 48.1502767307289)
31156,-112.695183295604,45.9902870608104,joint,230000,60,,,,SRID=4326;POINT(-112.695183295604 45.9902870608104)
28971,-114.245319870972,47.6778571920153,merge,,,,,,SRID=4326;POINT(-114.245319870972 47.6778571920153)
9681,-108.17516864093,45.7827569448522,station,,,,,,SRID=4326;POINT(-108.17516864093 45.7827569448522)
2699,-115.307078973105,48.3947548780671,substation,,,,,,SRID=4326;POINT(-115.307078973105 48.3947548780671)
9646,-109.382058993478,46.2794720374578,sub_station,,,,,,SRID=4326;POINT(-109.382058993478 46.2794720374578)
4977,-113.96821453855,46.9110749619489,sub_station,,,Rattlesnake Substation,Northwest Energy,,SRID=4326;POINT(-113.96821453855 46.9110749619489)
20885,-115.172171186168,47.5673003956987,joint,230000,60,,,,SRID=4326;POINT(-115.172171186168 47.5673003956987)
9671,-112.552320708413,46.9778931201745,station,,,,,,SRID=4326;POINT(-112.552320708413 46.9778931201745)
8618,-108.480061489042,45.7739984319009,substation,,,Billings Steam Plant Substation,Northwestern Energy,,SRID=4326;POINT(-108.480061489042 45.7739984319009)
30305,-114.790679080062,47.5190858039967,joint,230000,,,,,SRID=4326;POINT(-114.790679080062 47.5190858039967)
3028,-105.533505316763,47.4545653746643,station,,,,,,SRID=4326;POINT(-105.533505316763 47.4545653746643)
9667,-114.252391829959,48.1020872802516,station,,,,,,SRID=4326;POINT(-114.252391829959 48.1020872802516)
3336,-105.136287225814,48.1168279757441,station,,,,,,SRID=4326;POINT(-105.136287225814 48.1168279757441)
28929,-115.870336559209,48.4418687411895,merge,,,,,,SRID=4326;POINT(-115.870336559209 48.4418687411895)
23676,-114.132231736436,48.3719371852446,joint,230000,60,,,,SRID=4326;POINT(-114.132231736436 48.3719371852446)
9659,-112.011009841231,45.8819015738431,substation,,,,Northwest Energy,,SRID=4326;POINT(-112.011009841231 45.8819015738431)
8551,-112.693693041561,45.9516317231485,sub_station,,,,,,SRID=4326;POINT(-112.693693041561 45.9516317231485)
28974,-114.142591319086,48.3626831785922,merge,,,,,,SRID=4326;POINT(-114.142591319086 48.3626831785922)
23672,-115.078326613888,48.3625586685833,joint,230000,60,,,,SRID=4326;POINT(-115.078326613888 48.3625586685833)
2278,-112.458014037931,45.9203071145916,substation,,,,Northwest Energy,,SRID=4326;POINT(-112.458014037931 45.9203071145916)
6033,-111.677005590164,45.520735406692,sub_station,,,,,,SRID=4326;POINT(-111.677005590164 45.520735406692)
