l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
14507,23079,23081,345000;115000,6,,60,,,,4528.00299317918,,,,,"","SRID=4326;LINESTRING(-96.6823095695505 40.8971251609979,-96.6428338230421 40.9076927178534)"
14485,8162,23072,345000;115000,3;6,,60,,,,19800.0603173075,,,,,"","SRID=4326;LINESTRING(-97.2630159879536 41.2209296168252,-97.262728232442 41.0416390121739)"
30877,7434,7435,345000,3,,60,,,,31919.8321119552,,,,,"","SRID=4326;LINESTRING(-96.0880186569478 41.1691529248718,-95.9664712271464 40.9479384507772)"
10967,5699,18420,230000;115000,6,,60,,,,3046.36480965235,,,,,"","SRID=4326;LINESTRING(-97.3304540411225 41.4975155209053,-97.3280833643076 41.4698698651352)"
38889,3760,16303,,3,,,,,,4042.8997594355,,,,,"","SRID=4326;LINESTRING(-96.0810369931185 41.518732285022,-96.112523653152 41.5355047890016)"
30876,7315,7435,345000,3,,60,,,,61079.7972006762,,,,,"","SRID=4326;LINESTRING(-95.7806871142529 40.6181717310333,-95.9664712271464 40.9479384507772)"
4808,14203,28120,345000;115000,6,,60,,,,1749.35329971753,,,,,"","SRID=4326;LINESTRING(-97.3587493552495 42.0623255402538,-97.3548599109369 42.078334243161)"
36744,5557,14164,230000,3,,60,,,,942.536775538157,,,,,"","SRID=4326;LINESTRING(-97.2804537575507 41.4253630860054,-97.2817703250733 41.4354864899386)"
36742,5557,14164,115000,3,,60,,,,988.753819293438,,,,,"","SRID=4326;LINESTRING(-97.2804537575507 41.4253630860054,-97.2817703250733 41.4354864899386)"
11287,4853,21701,345000,3,,60,,,,28564.1088350818,,,,,"","SRID=4326;LINESTRING(-96.7885996106763 40.5635072672677,-96.8083394309883 40.8064986584874)"
726,7457,29947,161000;345000,6;8,,,,,,3695.05074767816,,,,,"","SRID=4326;LINESTRING(-95.944421035422 41.3276158259048,-95.9816329727276 41.3429852174348)"
32105,8609,8611,230000,3,,60,,,,7830.75313591477,,,,,"","SRID=4326;LINESTRING(-98.3539438103642 40.6557864433032,-98.355119730386 40.5832274902947)"
35837,11662,13171,,3,,,,,,19091.1198185041,,,,,"","SRID=4326;LINESTRING(-95.9271880193168 40.0014157159283,-95.9266492375712 40.1753305542448)"
11280,4686,21697,115000;345000;345000;115000,3;6,,60,,,,6819.03428778536,,,,,"","SRID=4326;LINESTRING(-96.5472197506738 40.8400301542214,-96.549884421942 40.7773923704194)"
13743,7424,22720,345000,3,,60,,,,67072.4152802591,,,,,"","SRID=4326;LINESTRING(-99.28124904837 41.0525125124903,-99.113111472 40.5972533578281)"
6410,8613,28735,230000,3,,60,,,,95912.8813559252,,,,,"","SRID=4326;LINESTRING(-99.7092972553167 40.8865403555589,-100.758338329309 41.0852684197804)"
34594,11553,11554,,,,,,,,1596.16634388275,,,,,"","SRID=4326;LINESTRING(-96.1811929444548 40.653185676937,-96.1962547383425 40.6604366639139)"
27373,3481,3486,230000,3,,60,,,,32.2566530809115,,,,,"","SRID=4326;LINESTRING(-102.987640818609 41.1641511661156,-102.991422506846 41.1619247109591)"
11270,4686,21693,345000;115000,3;6,,60,,,,7463.35260538225,,,,,"","SRID=4326;LINESTRING(-96.5472197506738 40.8400301542214,-96.5588063995123 40.901378499955)"
34559,7315,11514,345000,3,,,,,,153.966460793562,,,,,"","SRID=4326;LINESTRING(-95.7806871142529 40.6181717310333,-95.7751595198243 40.6206152945957)"
34556,7315,11514,345000,3,,,,,,125.883211475622,,,,,"","SRID=4326;LINESTRING(-95.7806871142529 40.6181717310333,-95.7751595198243 40.6206152945957)"
4876,7315,28160,345000,3,,60,345kV transmission line,,,66818.1660031867,,,,,"","SRID=4326;LINESTRING(-95.7806871142529 40.6181717310333,-95.9759744839167 41.1224071703836)"
30872,22719,7426,115000;345000;345000;115000,3;6,,60,,,,15812.5151802487,,,,,"","SRID=4326;LINESTRING(-98.9332429704706 40.5464003674353,-99.1213585128262 40.5453427693585)"
6440,7284,28744,115000,3,,60,,,,8235.71877287525,,,,,"","SRID=4326;LINESTRING(-101.656417159769 41.1579034551002,-101.709616923932 41.1024399761437)"
30874,3849,7434,345000,3,,60,,,,9483.43881138892,,,,,"","SRID=4326;LINESTRING(-95.969798330311 41.1696372963843,-96.0880186569478 41.1691529248718)"
3726,11554,31193,,,,,,,,35082.5864943685,,,,,"","SRID=4326;LINESTRING(-96.1962547383425 40.6604366639139,-95.9870469975884 40.754775777546)"
5391,8947,28429,,,,,,,,3636.64369168819,,,,,"","SRID=4326;LINESTRING(-96.1951183651991 41.2043760490182,-96.1986509033608 41.1691194830447)"
6411,22659,28735,115000,3,,60,,,,7206.57384391021,,,,,"","SRID=4326;LINESTRING(-100.675582417209 41.0730760697796,-100.758338329309 41.0852684197804)"
4878,3849,28160,161000,,,,,,,5376.57940814832,,,,,"","SRID=4326;LINESTRING(-95.969798330311 41.1696372963843,-95.9759744839167 41.1224071703836)"
27651,16304,3759,,6;3;3,,,,,,10907.5987377309,,,,,"","SRID=4326;LINESTRING(-96.2040629085173 41.544525377568,-96.104330333019 41.524890410919)"
5370,8627,28419,230000,3,,60,,,,149338.560729215,,,,,"","SRID=4326;LINESTRING(-103.213815686025 42.9972808049708,-103.942468153698 41.8198196306691)"
29248,7424,5617,345000,3,,60,,,,101347.172359194,,,,,"","SRID=4326;LINESTRING(-99.28124904837 41.0525125124903,-98.2623578259328 40.9120662123105)"
36813,16304,14228,,,,,,,,33314.0847430487,,,,,"","SRID=4326;LINESTRING(-96.2040629085173 41.544525377568,-96.2882857601474 41.8339359141728)"
13627,7424,22661,345000,3,,60,,,,115127.664224922,,,,,"","SRID=4326;LINESTRING(-99.28124904837 41.0525125124903,-100.593011881407 41.1158159646218)"
13623,7194,22658,345000,3,,,,,,74518.1757774345,,,,,"","SRID=4326;LINESTRING(-100.709926288165 40.3033717694375,-100.782479241074 40.9453779549199)"
13710,22701,22702,345000;115000,6,,60,,,,1792.61644492561,,,,,"","SRID=4326;LINESTRING(-98.3350446718127 40.3893358793225,-98.335094528311 40.4054927880251)"
30743,22682,7284,345000,3,,60,,,,36881.783383598,,,,,"","SRID=4326;LINESTRING(-101.266091676024 41.098250573027,-101.656417159769 41.1579034551002)"
34558,7315,11514,345000,3,,,,,,167.049701349876,,,,,"","SRID=4326;LINESTRING(-95.7806871142529 40.6181717310333,-95.7751595198243 40.6206152945957)"
31123,3755,7674,345000,6,,,345kV transmission line,,,7978.99578988792,,,,,"","SRID=4326;LINESTRING(-96.0800244712951 41.2791284578221,-96.1328128226623 41.3342917395766)"
27557,3662,3661,345000,3,,,,,,110697.306410505,,,,,"","SRID=4326;LINESTRING(-103.961969228948 41.7983330043649,-103.048811791647 41.1913556061741)"
13707,21713,22701,345000,3,,60,Moore - Pauline 345kv,,,149567.138627094,,,,,"","SRID=4326;LINESTRING(-96.8080451429012 40.5333640159441,-98.3350446718127 40.3893358793225)"
10934,4863,18418,115000;345000;345000;115000,3;6,,60,,,,7393.23266598916,,,,,"","SRID=4326;LINESTRING(-96.9097540568294 40.8355271699388,-96.8213712009834 40.8355985070789)"
4877,3849,28160,345000,3,,60,345kV transmission line,,,5054.90556315257,,,,,"","SRID=4326;LINESTRING(-95.969798330311 41.1696372963843,-95.9759744839167 41.1224071703836)"
31176,7674,7744,345000,,,,345kV transmission line,,,4835.19201311228,,,,,"","SRID=4326;LINESTRING(-96.1328128226623 41.3342917395766,-96.1782798013076 41.3144872574364)"
30642,22658,7191,345000,6;3;3,,60,,,,47113.1441921575,,,,,"","SRID=4326;LINESTRING(-100.782479241074 40.9453779549199,-101.147248681169 41.0810502558949)"
14497,4862,23077,345000;115000;345000;345000;345000;115000;115000;115000,3;6;6;6;6;3;3;3;3;3;3,,60,,,,13234.3415944805,,,,,"","SRID=4326;LINESTRING(-96.8127673496039 40.8302964657464,-96.7389310107292 40.8937072042176)"
5953,5617,28587,230000,3,,60,,,,155.029430094584,,,,,"","SRID=4326;LINESTRING(-98.2623578259328 40.9120662123105,-98.2623008273259 40.9064793376737)"
28426,28429,4686,345000,3,,60,345kV transmission line,,,53941.366666157,,,,,"","SRID=4326;LINESTRING(-96.1986509033608 41.1691194830447,-96.5472197506738 40.8400301542214)"
30744,3661,7284,345000,3,,60,,,,129224.959702852,,,,,"","SRID=4326;LINESTRING(-103.048811791647 41.1913556061741,-101.656417159769 41.1579034551002)"
35838,11549,13171,,3,,,,,,20764.6177954995,,,,,"","SRID=4326;LINESTRING(-95.9233525496212 40.3642244099615,-95.9266492375712 40.1753305542448)"
4806,8647,28120,230000,3,,60,Twin Church - Hoskins 230kV,,,88630.5709272832,,,,,"","SRID=4326;LINESTRING(-96.503601961622 42.416853744589,-97.3548599109369 42.078334243161)"
27559,3486,3661,230000,3,,60,,,,6450.41400657123,,,,,"","SRID=4326;LINESTRING(-102.991422506846 41.1619247109591,-103.048811791647 41.1913556061741)"
35998,7191,13370,345000,3,,60,,,,78.8562619558884,,,,,"","SRID=4326;LINESTRING(-101.147248681169 41.0810502558949,-101.141557897812 41.0809241067886)"
32421,8201,8947,,,,,,,,4781.92953928192,,,,,"","SRID=4326;LINESTRING(-96.2546216552977 41.2038695562988,-96.1951183651991 41.2043760490182)"
6786,8613,28865,230000,3,,60,,,,21257.4170819588,,,,,"","SRID=4326;LINESTRING(-99.7092972553167 40.8865403555589,-99.7027155366162 40.6946259024815)"
27371,28419,3486,230000,3,,60,,,,117269.673078106,,,,,"","SRID=4326;LINESTRING(-103.942468153698 41.8198196306691,-102.991422506846 41.1619247109591)"
34591,11470,11552,,3,,,,,,1461.728932481,,,,,"","SRID=4326;LINESTRING(-95.9055922891847 40.4799574991641,-95.9249568556306 40.4805698798076)"
14491,5555,23075,230000,3,,60,,,,4425.05567178698,,,,,"","SRID=4326;LINESTRING(-97.4099560342464 41.4562784454708,-97.3564970767443 41.4645684930605)"
