v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
22661,-100.593011881407,41.1158159646218,joint,345000;115000;345000;115000,60,,,,SRID=4326;POINT(-100.593011881407 41.1158159646218)
7191,-101.147248681169,41.0810502558949,sub_station,,,Gentleman Substation,,,SRID=4326;POINT(-101.147248681169 41.0810502558949)
23072,-97.262728232442,41.0416390121739,joint,345000;115000,60,,,,SRID=4326;POINT(-97.262728232442 41.0416390121739)
11553,-96.1811929444548,40.653185676937,station,,,,,,SRID=4326;POINT(-96.1811929444548 40.653185676937)
22660,-101.153662846977,41.0921614818764,joint,115000;345000;345000;115000,60,,,,SRID=4326;POINT(-101.153662846977 41.0921614818764)
7458,-96.0034728019048,41.3430060630914,station,,,,,,SRID=4326;POINT(-96.0034728019048 41.3430060630914)
18418,-96.8213712009834,40.8355985070789,joint,115000;345000;115000;345000,60,,,,SRID=4326;POINT(-96.8213712009834 40.8355985070789)
3849,-95.969798330311,41.1696372963843,station,,,,,,SRID=4326;POINT(-95.969798330311 41.1696372963843)
28865,-99.7027155366162,40.6946259024815,merge,,,,,,SRID=4326;POINT(-99.7027155366162 40.6946259024815)
14188,-96.3869653674302,40.5379236798384,substation,,,,,,SRID=4326;POINT(-96.3869653674302 40.5379236798384)
4853,-96.7885996106763,40.5635072672677,substation,,,Moore Substation,,,SRID=4326;POINT(-96.7885996106763 40.5635072672677)
5555,-97.4099560342464,41.4562784454708,substation,,,Columbus West Substation,,,SRID=4326;POINT(-97.4099560342464 41.4562784454708)
7324,-96.5829319654316,40.7132843776489,substation,,,,,,SRID=4326;POINT(-96.5829319654316 40.7132843776489)
23075,-97.3564970767443,41.4645684930605,joint,115000;230000,60,,,,SRID=4326;POINT(-97.3564970767443 41.4645684930605)
3486,-102.991422506846,41.1619247109591,substation,,,,,,SRID=4326;POINT(-102.991422506846 41.1619247109591)
14228,-96.2882857601474,41.8339359141728,station,,,,,,SRID=4326;POINT(-96.2882857601474 41.8339359141728)
11549,-95.9233525496212,40.3642244099615,substation,,,,,,SRID=4326;POINT(-95.9233525496212 40.3642244099615)
22702,-98.335094528311,40.4054927880251,joint,115000;345000;115000;345000,60,,,,SRID=4326;POINT(-98.335094528311 40.4054927880251)
7674,-96.1328128226623,41.3342917395766,station,,,,,,SRID=4326;POINT(-96.1328128226623 41.3342917395766)
4850,-96.6236655228683,40.9069518117232,substation,,,,,,SRID=4326;POINT(-96.6236655228683 40.9069518117232)
7426,-99.1213585128262,40.5453427693585,substation,,,Axtell Substation,,,SRID=4326;POINT(-99.1213585128262 40.5453427693585)
5699,-97.3304540411225,41.4975155209053,substation,,,,,,SRID=4326;POINT(-97.3304540411225 41.4975155209053)
11552,-95.9249568556306,40.4805698798076,station,,,,,,SRID=4326;POINT(-95.9249568556306 40.4805698798076)
7350,-98.3555907038363,40.4063257173556,substation,,,Pauline Substation,,,SRID=4326;POINT(-98.3555907038363 40.4063257173556)
21695,-96.6040002821303,40.9074405001716,joint,115000;345000;115000;345000,60,,,,SRID=4326;POINT(-96.6040002821303 40.9074405001716)
28747,-95.644399192055,40.360247675289,merge,,,Cooper Substation,,,SRID=4326;POINT(-95.644399192055 40.360247675289)
21697,-96.549884421942,40.7773923704194,joint,115000;345000;115000;345000,60,,,,SRID=4326;POINT(-96.549884421942 40.7773923704194)
23079,-96.6823095695505,40.8971251609979,joint,115000;345000;345000;115000,60,,,,SRID=4326;POINT(-96.6823095695505 40.8971251609979)
7744,-96.1782798013076,41.3144872574364,station,,,,,,SRID=4326;POINT(-96.1782798013076 41.3144872574364)
8947,-96.1951183651991,41.2043760490182,station,,,,,,SRID=4326;POINT(-96.1951183651991 41.2043760490182)
21125,-96.025582436871,41.2093141563061,joint,345000,60,345kV transmission line,,,SRID=4326;POINT(-96.025582436871 41.2093141563061)
18421,-97.2621742414063,41.4287910796881,joint,345000,60,,,,SRID=4326;POINT(-97.2621742414063 41.4287910796881)
21236,-97.2635558503133,41.3019214082651,joint,345000;115000,60,,,,SRID=4326;POINT(-97.2635558503133 41.3019214082651)
5557,-97.2804537575507,41.4253630860054,substation,,,Columbus East Substation,,,SRID=4326;POINT(-97.2804537575507 41.4253630860054)
11470,-95.9055922891847,40.4799574991641,substation,,,,,,SRID=4326;POINT(-95.9055922891847 40.4799574991641)
7315,-95.7806871142529,40.6181717310333,sub_station,,,Nebraska City Substation,,,SRID=4326;POINT(-95.7806871142529 40.6181717310333)
23212,-98.0016719647015,42.3321905084536,joint,230000;115000,60,,,,SRID=4326;POINT(-98.0016719647015 42.3321905084536)
23078,-96.7389157393694,40.8948082897385,joint,345000;345000;115000;115000,60,,,,SRID=4326;POINT(-96.7389157393694 40.8948082897385)
7194,-100.709926288165,40.3033717694375,substation,,,Red Willow Substation,,,SRID=4326;POINT(-100.709926288165 40.3033717694375)
4890,-97.6195829604918,40.7218749072848,station,,,,,,SRID=4326;POINT(-97.6195829604918 40.7218749072848)
11514,-95.7751595198243,40.6206152945957,station,,,OPPD Nebraska City Power Station,,,SRID=4326;POINT(-95.7751595198243 40.6206152945957)
8609,-98.3539438103642,40.6557864433032,substation,,,,,,SRID=4326;POINT(-98.3539438103642 40.6557864433032)
21701,-96.8083394309883,40.8064986584874,joint,345000;115000,60,,,,SRID=4326;POINT(-96.8083394309883 40.8064986584874)
11551,-95.7384508488176,40.4656959063795,substation,,,,,,SRID=4326;POINT(-95.7384508488176 40.4656959063795)
3845,-96.198910203807,41.1256480901945,station,,,,,,SRID=4326;POINT(-96.198910203807 41.1256480901945)
7457,-95.944421035422,41.3276158259048,station,,,,,,SRID=4326;POINT(-95.944421035422 41.3276158259048)
