l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
24794,27842,27847,,,,,,,,882.780852336288,,,,,"","SRID=4326;LINESTRING(-119.537768140816 39.568143290721,-119.546439488422 39.5638551705466)"
12387,22154,22155,,9,2;1,,,,,169.065358382255,,,,,"","SRID=4326;LINESTRING(-115.116879610936 36.0026033870452,-115.118772720566 36.0025991720208)"
4602,2573,29592,,,,,,,,273.74371253014,,,,,"","SRID=4326;LINESTRING(-119.513321768805 39.5600115549471,-119.520203050184 39.56345776595)"
5460,10436,28450,230000,3,,60,,,,315.923246574705,,,,,"","SRID=4326;LINESTRING(-115.003411333624 36.0401212074024,-114.998782124568 36.0385987952301)"
38473,8055,15887,,3,,,,,,7091.82316686408,,,,,"","SRID=4326;LINESTRING(-119.857311548335 39.4783586607287,-119.93539995827 39.5057315660051)"
3502,27843,31106,,,,,,,,966.311362162724,,,,,"","SRID=4326;LINESTRING(-119.527081692364 39.5576852609133,-119.518771321825 39.5599168218126)"
26910,20068,20071,230000,6,,,,,,5410.764952198,,,,,"","SRID=4326;LINESTRING(-114.817065986546 35.9310659209615,-114.794530310339 35.9762708598997)"
30899,7087,7464,,9,2;1,,,,,2593.54245594376,,,,,"","SRID=4326;LINESTRING(-115.090928345169 36.0029620873948,-115.084181020283 35.9823010039786)"
4606,2573,29592,,,,,,,,278.292637867399,,,,,"","SRID=4326;LINESTRING(-119.513321768805 39.5600115549471,-119.520203050184 39.56345776595)"
12386,1903,22155,,3;9,2;1,,,,,16232.5334424268,,,,,"","SRID=4326;LINESTRING(-114.969068120543 36.0222812051065,-115.118772720566 36.0025991720208)"
26904,1898,20067,230000,3;6;3;3,1,60,,,,1962.99477030256,,,,,"","SRID=4326;LINESTRING(-114.834686474039 35.9278066939299,-114.857728766871 35.9254303614945)"
26911,29553,20071,230000,3,1,60,,,,6831.43382810529,,,,,"","SRID=4326;LINESTRING(-114.743171595021 36.0180608195057,-114.794530310339 35.9762708598997)"
33042,7463,9628,230000,6,,60,,,,20320.9403279203,,,,,"","SRID=4326;LINESTRING(-115.330005040858 36.334470006036,-115.34463042424 36.1826528137832)"
13757,7439,22727,230000,3,,60,,,,140068.099902092,,,,,"","SRID=4326;LINESTRING(-117.090200594664 39.5269632799005,-118.591659159814 39.2268940735538)"
31519,8054,8059,,3,,,,,,24025.6582332044,,,,,"","SRID=4326;LINESTRING(-119.69709298915 39.1888940481517,-119.924191675069 39.2394570813253)"
553,8038,29875,,3,,,,,,16083.6518990553,,,,,"","SRID=4326;LINESTRING(-119.753651689549 39.395713906529,-119.605281866215 39.3154444407984)"
26913,1902,20073,230000,6,,60,,,,2836.89043866286,,,,,"","SRID=4326;LINESTRING(-114.97559751675 35.9866706552742,-114.999962439404 35.9802190130617)"
