l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
41460,29448,2011,115000,,,,,,,9574.7560027602,,,,,"","SRID=4326;LINESTRING(-71.3414183249983 42.9037509716039,-71.2371582913288 42.9364175648555)"
41570,959,2124,230000,,,60,Comerford ‑ Tewksbury 230kV transmission line,,B-202,24188.136855768,,,,,"","SRID=4326;LINESTRING(-71.4391655637871 42.8738976352869,-71.5797795177533 43.0643185074608)"
4276,2085,29499,115000,3,,60,,,,9241.95406913547,,,,,"","SRID=4326;LINESTRING(-71.3098597418275 42.7366352824557,-71.3775961484619 42.7908084756533)"
41492,1993,2049,115000,3,,60,Madbury - Dover 115kV transmission line,PSNH,M183,20611.1958283672,,,,,"","SRID=4326;LINESTRING(-71.1848037167782 43.1417444788546,-70.9312897617274 43.1602610973633)"
20536,13674,25867,,,,,,,,1967.36058507524,,,,,"","SRID=4326;LINESTRING(-71.4682972846675 43.5364265149224,-71.4857923198553 43.5463702987953)"
36297,13675,13676,,3,,,,,,486.852330567799,,,,,"","SRID=4326;LINESTRING(-71.450404425387 43.5306977588783,-71.4519814740785 43.5251867104481)"
41489,29385,2047,34500;345000;345000,3,,60,Seabrook - Timber Swamp 345kV transmission line,,369,3199.36508803794,,,,,"","SRID=4326;LINESTRING(-70.8690934184119 42.9491929263189,-70.8432944277763 42.9310597917347)"
39393,13840,16857,115000,3,,60,,,,178.174653714699,,,,,"","SRID=4326;LINESTRING(-70.7872308693688 43.0948093269644,-70.7859045473736 43.0974299571634)"
16030,18860,18859,,,,,,,,7397.67174305661,,,,,"","SRID=4326;LINESTRING(-71.4884808876692 43.1827849936958,-71.491853881898 43.2127939631889)"
8088,20252,29385,115000,,,,,,,18233.4487688495,,,,,"","SRID=4326;LINESTRING(-70.7913504979505 43.0834831590472,-70.8690934184119 42.9491929263189)"
40414,960,961,,,,,,,,1763.12267067401,,,,,"","SRID=4326;LINESTRING(-71.4319460348946 42.891362336274,-71.4239590925388 42.9047448626307)"
41440,29448,1993,345000,3,,,Buxton - Scobie Pond 345kV transmission line,,391,29556.9892304823,,,,,"","SRID=4326;LINESTRING(-71.3414183249983 42.9037509716039,-71.1848037167782 43.1417444788546)"
41441,1725,1993,,,,,,,,23735.693583394,,,,,"","SRID=4326;LINESTRING(-71.4441553613794 43.0565820616258,-71.1848037167782 43.1417444788546)"
41462,29448,2011,345000,3,,60,Seabrook - Scobie Pond 345kV transmission line,,363,10415.1079456728,,,,,"","SRID=4326;LINESTRING(-71.3414183249983 42.9037509716039,-71.2371582913288 42.9364175648555)"
41463,29448,2011,115000,,,,,,,9563.57173346523,,,,,"","SRID=4326;LINESTRING(-71.3414183249983 42.9037509716039,-71.2371582913288 42.9364175648555)"
27256,2257,20252,345000,3,,60,Timber Swamp - Newington 345kV transmission line,,3135,1943.44847106206,,,,,"","SRID=4326;LINESTRING(-70.7924209639021 43.098105393534,-70.7913504979505 43.0834831590472)"
41684,2256,2257,,,,,,,,369.361114789028,,,,,"","SRID=4326;LINESTRING(-70.7984283689898 43.0970433923354,-70.7924209639021 43.098105393534)"
41590,2144,2145,,,,,,,,454.76686482868,,,,,"","SRID=4326;LINESTRING(-71.4731756892749 43.0031480361444,-71.4668090774431 43.0007568946607)"
27331,29448,3430,345000;34500;345000;345000,3,,60,Fitzwilliam - Amherst 345kV transmission line;Vernon VT - Fitzwilliam 345kV transmission line;Amherst - Scobie Pond 345kV transmission line;Fitzwilliam - Amherst 345kV transmission line,,367,25489.4259739233,,,,,"","SRID=4326;LINESTRING(-71.3414183249983 42.9037509716039,-71.5928288104539 42.8090272824237)"
28485,2124,4779,,,,,,,,13329.2134576665,,,,,"","SRID=4326;LINESTRING(-71.5797795177533 43.0643185074608,-71.4700740611584 43.1406647168058)"
