v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
2047,-70.8432944277763,42.9310597917347,substation,,,,,,SRID=4326;POINT(-70.8432944277763 42.9310597917347)
18861,-72.0988448905568,43.3919919581442,joint,,,,,,SRID=4326;POINT(-72.0988448905568 43.3919919581442)
961,-71.4239590925388,42.9047448626307,substation,,,,,,SRID=4326;POINT(-71.4239590925388 42.9047448626307)
5507,-72.3845862271757,42.793035637605,substation,115000,,Westport Substation,,,SRID=4326;POINT(-72.3845862271757 42.793035637605)
18859,-71.491853881898,43.2127939631889,joint,,,,,,SRID=4326;POINT(-71.491853881898 43.2127939631889)
21451,-70.8276746849476,43.1728438665677,joint,345000;115000,60,Dover - Three Rivers 115kV transmission line,,307,SRID=4326;POINT(-70.8276746849476 43.1728438665677)
2011,-71.2371582913288,42.9364175648555,substation,,,Chester Substation,,,SRID=4326;POINT(-71.2371582913288 42.9364175648555)
956,-71.4614803940759,42.9055981776464,substation,,,,,,SRID=4326;POINT(-71.4614803940759 42.9055981776464)
16846,-72.1624692480831,43.3681934148108,substation,,,,,,SRID=4326;POINT(-72.1624692480831 43.3681934148108)
2124,-71.5797795177533,43.0643185074608,substation,,,,,,SRID=4326;POINT(-71.5797795177533 43.0643185074608)
2145,-71.4668090774431,43.0007568946607,substation,,,,,,SRID=4326;POINT(-71.4668090774431 43.0007568946607)
29499,-71.3775961484619,42.7908084756533,merge,,,Lawrence Road Substation,,,SRID=4326;POINT(-71.3775961484619 42.7908084756533)
18860,-71.4884808876692,43.1827849936958,joint,,,,,,SRID=4326;POINT(-71.4884808876692 43.1827849936958)
25867,-71.4857923198553,43.5463702987953,joint,,,,,,SRID=4326;POINT(-71.4857923198553 43.5463702987953)
1993,-71.1848037167782,43.1417444788546,substation,345000;115000,60,Deerfield Substation,,,SRID=4326;POINT(-71.1848037167782 43.1417444788546)
2144,-71.4731756892749,43.0031480361444,substation,,,,,,SRID=4326;POINT(-71.4731756892749 43.0031480361444)
3430,-71.5928288104539,42.8090272824237,substation,345000;34500,60,Amherst Substation,,,SRID=4326;POINT(-71.5928288104539 42.8090272824237)
13674,-71.4682972846675,43.5364265149224,sub_station,,,,,,SRID=4326;POINT(-71.4682972846675 43.5364265149224)
18044,-71.7868896367865,42.7854924057686,joint,345000,,Fitzwilliam - Amherst 345kV transmission line,,367,SRID=4326;POINT(-71.7868896367865 42.7854924057686)
960,-71.4319460348946,42.891362336274,substation,,,Watts Brook Substation,,,SRID=4326;POINT(-71.4319460348946 42.891362336274)
29552,-71.5023989777324,43.00272682249,merge,,,,,,SRID=4326;POINT(-71.5023989777324 43.00272682249)
2257,-70.7924209639021,43.098105393534,substation,345000,60,Newington 345kV Substation,,,SRID=4326;POINT(-70.7924209639021 43.098105393534)
13675,-71.450404425387,43.5306977588783,sub_station,,,,,,SRID=4326;POINT(-71.450404425387 43.5306977588783)
