l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
42269,2854,2856,230000,6,,,230 kV Transmission Line,,,6652.94310373405,,,,,"","SRID=4326;LINESTRING(-74.870326066958 39.9159894117758,-74.8103852875882 39.9505411485117)"
5159,620,28330,230000,,,,Belleville - Penhorn 230kV transmission line,PSE&G,P-2216,1675.77483621544,,,,,"","SRID=4326;LINESTRING(-74.0985746366631 40.7379801604566,-74.1204159150679 40.7384161225691)"
42238,2820,2822,230000,,,,,,,8264.30035238837,,,,,"","SRID=4326;LINESTRING(-74.6689777120953 40.5253403350062,-74.6153039516225 40.5589805162577)"
25587,2945,19461,230000,,2,,Deans - Pierson Ave 230kV transmission line,,S-2219,3448.41886124166,,,,,"","SRID=4326;LINESTRING(-74.2948151403127 40.5639779371361,-74.2585328148078 40.5705771086777)"
42387,2943,2944,230000,,,,,,,3630.04780182207,,,,,"","SRID=4326;LINESTRING(-74.2379425149884 40.5909800677622,-74.2521514469207 40.5607368157584)"
4646,2902,29604,138000,,,,138kV Transmission Line,,,7181.76471207395,,,,,"","SRID=4326;LINESTRING(-75.0446634334843 39.9658084147949,-74.9688628524851 39.9975745458588)"
42410,2819,2967,230000,6,2,,Deans - New Dover 230kV transmission line,,S-2219,1992.05781299705,,,,,"","SRID=4326;LINESTRING(-74.4852915206823 40.4055331727425,-74.5038026665241 40.4172994410743)"
42234,706,2820,230000,3;6;6,2,60,Branchburg - Sunnymeade 230kV transmission line;Deans - Pierson Ave 230kV transmission line,,X-2224,6201.38338963553,,,,,"","SRID=4326;LINESTRING(-74.7421820275984 40.544349798692,-74.6689777120953 40.5253403350062)"
40180,716,715,230000,,,,230kV Transmission Line,,,14014.7537038488,,,,,"","SRID=4326;LINESTRING(-74.5185057862425 40.2404524966658,-74.3605762519632 40.2013629614873)"
4642,2852,29603,230000;138000,,,,138kV Transmission Line,,,1460.20363681654,,,,,"","SRID=4326;LINESTRING(-74.6750726289012 40.1415701844018,-74.6613887055346 40.1516126233363)"
42378,2924,2927,138000,,,,,PSE&G,F-1306,1707.91215439453,,,,,"","SRID=4326;LINESTRING(-74.035874935169 40.7887389225716,-74.0256133484537 40.8042004298446)"
42293,2863,2864,230000,3,,,230 KV Transmission Line,,,4444.7238699516,,,,,"","SRID=4326;LINESTRING(-74.5318985202829 40.3679658845832,-74.5686663055199 40.3360033753176)"
4652,25563,29606,69000,3,,,,,,16830.6930050966,,,,,"","SRID=4326;LINESTRING(-75.15960889129 40.7070100889546,-75.1617544646094 40.5677629851061)"
153,17860,29704,,,,,,,,126.529132204365,,,,,"","SRID=4326;LINESTRING(-74.7338888339821 40.1791666551568,-74.7325638820991 40.180790813296)"
35514,2904,12763,,,,,,,,860.908400973137,,,,,"","SRID=4326;LINESTRING(-75.0981794083906 39.8892444938302,-75.0857995346225 39.8929332336562)"
42292,717,2863,230000,3,,,230 KV Transmission Line,,,10387.9702910634,,,,,"","SRID=4326;LINESTRING(-74.461430593043 40.4461503067841,-74.5318985202829 40.3679658845832)"
25567,19449,19450,,,,,,,,151.344445296754,,,,,"","SRID=4326;LINESTRING(-74.7342348650295 40.1892004847657,-74.7358313509525 40.1885710635044)"
42345,2876,2904,230000,3,,,230kV Transmission Line,PJM,K-2237,3283.6996795474,,,,,"","SRID=4326;LINESTRING(-75.0798551785325 39.8612517094441,-75.0981794083906 39.8892444938302)"
42376,620,2926,138000;230000,6,,60,,PSE&G,F-1306,5112.96621306263,,,,,"","SRID=4326;LINESTRING(-74.0985746366631 40.7379801604566,-74.0551750139557 40.7633973494911)"
20705,1189,19122,230000,,,,Belleville - Penhorn 230kV transmission line,PJM,X-2250,3559.56112378673,,,,,"","SRID=4326;LINESTRING(-74.117066763507 40.7607079842384,-74.1150106886631 40.7911714136781)"
