v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
25563,-75.15960889129,40.7070100889546,joint,230000;69000,,,,,SRID=4326;POINT(-75.15960889129 40.7070100889546)
2930,-74.9206090414964,40.6816004472668,substation,,,Glen Gardner Substation,,,SRID=4326;POINT(-74.9206090414964 40.6816004472668)
9228,-74.0708649334476,40.3390488605894,station,,,,,,SRID=4326;POINT(-74.0708649334476 40.3390488605894)
716,-74.5185057862425,40.2404524966658,station,,,East Windsor Substation,,,SRID=4326;POINT(-74.5185057862425 40.2404524966658)
2926,-74.0551750139557,40.7633973494911,station,,,,,,SRID=4326;POINT(-74.0551750139557 40.7633973494911)
2819,-74.4852915206823,40.4055331727425,substation,500000;230000,,Deans Substation,,,SRID=4326;POINT(-74.4852915206823 40.4055331727425)
8462,-74.1184662070481,40.254164430445,station,,,Atlantic Substation,,,SRID=4326;POINT(-74.1184662070481 40.254164430445)
706,-74.7421820275984,40.544349798692,substation,500000;230000,,Branchburg Substation,,,SRID=4326;POINT(-74.7421820275984 40.544349798692)
13702,-74.7266382601244,41.0212654849002,sub_station,,,,,,SRID=4326;POINT(-74.7266382601244 41.0212654849002)
30034,-74.257841806056,41.1529984355616,joint,500000,60,Branchburg - Ramapo 500kV transmission line,,5018,SRID=4326;POINT(-74.257841806056 41.1529984355616)
2842,-74.2214659740731,40.8683711805788,substation,230000,,Cedar Grove Substation,PJM,CED,SRID=4326;POINT(-74.2214659740731 40.8683711805788)
2963,-74.2091790279271,39.8137215885529,station,,,Oyster Creek Substation,,,SRID=4326;POINT(-74.2091790279271 39.8137215885529)
2852,-74.6750726289012,40.1415701844018,sub_station,,,,,,SRID=4326;POINT(-74.6750726289012 40.1415701844018)
8995,-74.1564508010197,41.1072787389892,sub_station,,,,,,SRID=4326;POINT(-74.1564508010197 41.1072787389892)
10776,-74.1026823644311,40.7455498280626,station,,,NJT Meadowlands Rail Substaion,,,SRID=4326;POINT(-74.1026823644311 40.7455498280626)
19447,-74.932267840593,40.3918891652521,joint,230000,60,230kV Transmission Line,,,SRID=4326;POINT(-74.932267840593 40.3918891652521)
29604,-74.9688628524851,39.9975745458588,merge,,,Cinnaminson Substation,,,SRID=4326;POINT(-74.9688628524851 39.9975745458588)
22991,-74.6061227985947,40.8795464195188,joint,230000,,230kV transmission line,,,SRID=4326;POINT(-74.6061227985947 40.8795464195188)
2841,-74.2175858743701,40.8672382193606,substation,,,Cedar Grove Substation,PJM,CED,SRID=4326;POINT(-74.2175858743701 40.8672382193606)
2960,-74.4252940307342,40.5335550850061,station,,,Kilner Substation,,LAK,SRID=4326;POINT(-74.4252940307342 40.5335550850061)
20868,-75.500420367606,39.6787357970444,joint,230000;138000,,Pedricktown - Chambers 230kV transmission line,,,SRID=4326;POINT(-75.500420367606 39.6787357970444)
620,-74.0985746366631,40.7379801604566,station,,,Kearny Substation,PSE&G,KEA,SRID=4326;POINT(-74.0985746366631 40.7379801604566)
2848,-74.1581809288816,40.8616176755731,substation,,,Athenia Substation,PSE&G,ATH,SRID=4326;POINT(-74.1581809288816 40.8616176755731)
2968,-74.3487596885686,40.5304092635452,substation,,,Pierson Avenue Substation,,PIE,SRID=4326;POINT(-74.3487596885686 40.5304092635452)
2896,-74.8740838184208,40.0752336697993,station,,,Burlington Substation,,,SRID=4326;POINT(-74.8740838184208 40.0752336697993)
2947,-74.2266373673898,40.6122759207289,sub_station,,,Linden Substation,,LIN,SRID=4326;POINT(-74.2266373673898 40.6122759207289)
29704,-74.7325638820991,40.180790813296,joint,,,,,,SRID=4326;POINT(-74.7325638820991 40.180790813296)
29606,-75.1617544646094,40.5677629851061,merge,,,Gilbert Substation,,,SRID=4326;POINT(-75.1617544646094 40.5677629851061)
2881,-74.692276498554,40.2820220988381,station,,,Lawrence Substation,,,SRID=4326;POINT(-74.692276498554 40.2820220988381)
2902,-75.0446634334843,39.9658084147949,sub_station,,,Camden Substation,,,SRID=4326;POINT(-75.0446634334843 39.9658084147949)
2864,-74.5686663055199,40.3360033753176,station,,,,,,SRID=4326;POINT(-74.5686663055199 40.3360033753176)
28330,-74.1204159150679,40.7384161225691,merge,,,Essex Generating Station;Essex Substation,PSE&G,ESS,SRID=4326;POINT(-74.1204159150679 40.7384161225691)
19450,-74.7358313509525,40.1885710635044,joint,,,,,,SRID=4326;POINT(-74.7358313509525 40.1885710635044)
29603,-74.6613887055346,40.1516126233363,merge,,,,,,SRID=4326;POINT(-74.6613887055346 40.1516126233363)
2937,-74.929575905741,40.3372401825561,station,,,Pleasant Valley Substation,,PLV,SRID=4326;POINT(-74.929575905741 40.3372401825561)
2961,-74.2154571891632,40.4192040932385,station,,,NJT Aberdeen Substation,,,SRID=4326;POINT(-74.2154571891632 40.4192040932385)
5602,-75.50724865241,39.6830682981914,sub_station,,,Deepwater Substation,,,SRID=4326;POINT(-75.50724865241 39.6830682981914)
2875,-75.0692485539188,39.8275471275155,sub_station,,,,,,SRID=4326;POINT(-75.0692485539188 39.8275471275155)
31205,-74.3464662071926,40.531468561344,joint,138000,,Edison - Metuchen 138kV transmission line;Brunswick - Edison 138kV transmission line,,Q-1317;R-1318,SRID=4326;POINT(-74.3464662071926 40.531468561344)
2929,-74.6992322755304,40.7941883490571,substation,,,Chester Substation,,,SRID=4326;POINT(-74.6992322755304 40.7941883490571)
20500,-74.2160262423623,40.8665802878259,joint,230000,,,PJM,B-2228,SRID=4326;POINT(-74.2160262423623 40.8665802878259)
14067,-74.1994294277208,40.8630417347074,substation,,,,,,SRID=4326;POINT(-74.1994294277208 40.8630417347074)
2908,-74.6567018376569,40.1687283286285,station,,,Yardville Substation,,,SRID=4326;POINT(-74.6567018376569 40.1687283286285)
2982,-74.3769228052223,40.3003806954303,station,,,Englishtown Substation,,ENG,SRID=4326;POINT(-74.3769228052223 40.3003806954303)
2966,-74.3912861742814,40.4969803571849,station,,,Meadow Road Substation,,MEA,SRID=4326;POINT(-74.3912861742814 40.4969803571849)
2876,-75.0798551785325,39.8612517094441,sub_station,,,Beaver Brook Substation,PJM,BEA,SRID=4326;POINT(-75.0798551785325 39.8612517094441)
2846,-74.9627557907791,39.7410004365744,station,,,New Freedom Substation,PJM,NEW,SRID=4326;POINT(-74.9627557907791 39.7410004365744)
12772,-74.8456405788698,40.5155547248488,sub_station,,,,,,SRID=4326;POINT(-74.8456405788698 40.5155547248488)
2924,-74.035874935169,40.7887389225716,sub_station,,,,,,SRID=4326;POINT(-74.035874935169 40.7887389225716)
2866,-75.0247792806246,39.6765277389223,sub_station,,,Monroe Substation,PJM,MON,SRID=4326;POINT(-75.0247792806246 39.6765277389223)
2820,-74.6689777120953,40.5253403350062,station,,,,,,SRID=4326;POINT(-74.6689777120953 40.5253403350062)
2938,-75.0580416678492,39.449785159771,station,,,Sherman Avenue Substation,,,SRID=4326;POINT(-75.0580416678492 39.449785159771)
14191,-74.3651959409824,40.9130012225129,substation,,,,,,SRID=4326;POINT(-74.3651959409824 40.9130012225129)
2880,-74.7565379084322,40.2823982241727,station,,,Lawrence Substation,,,SRID=4326;POINT(-74.7565379084322 40.2823982241727)
28897,-74.1461220512791,41.0852678829088,merge,,,,,,SRID=4326;POINT(-74.1461220512791 41.0852678829088)
19122,-74.1150106886631,40.7911714136781,joint,230000,,Belleville - Penhorn 230kV transmission line;Athenia - NJT Meadows 230kV transmission line,PJM,X-2250,SRID=4326;POINT(-74.1150106886631 40.7911714136781)
2916,-74.1420936199123,40.8027894908489,substation,230000,,Belleville Substation,,BEL,SRID=4326;POINT(-74.1420936199123 40.8027894908489)
715,-74.3605762519632,40.2013629614873,substation,,,Smithburg Substation,,SMI,SRID=4326;POINT(-74.3605762519632 40.2013629614873)
717,-74.461430593043,40.4461503067841,substation,230000;138000,,Brunswick Substation,,BRU,SRID=4326;POINT(-74.461430593043 40.4461503067841)
2856,-74.8103852875882,39.9505411485117,station,,,Lumberton Substation,,,SRID=4326;POINT(-74.8103852875882 39.9505411485117)
2943,-74.2379425149884,40.5909800677622,station,,,Minue Street Substation,,MIN,SRID=4326;POINT(-74.2379425149884 40.5909800677622)
19449,-74.7342348650295,40.1892004847657,joint,,,,,,SRID=4326;POINT(-74.7342348650295 40.1892004847657)
2906,-75.1657347562832,40.7067562000963,sub_station,,,,,,SRID=4326;POINT(-75.1657347562832 40.7067562000963)
2927,-74.0256133484537,40.8042004298446,station,,,North Bergen Substation,PSE&G,,SRID=4326;POINT(-74.0256133484537 40.8042004298446)
1189,-74.117066763507,40.7607079842384,sub_station,,,,,,SRID=4326;POINT(-74.117066763507 40.7607079842384)
2969,-75.5015261010521,39.6746995051067,sub_station,,,Churchtown Substation,,,SRID=4326;POINT(-75.5015261010521 39.6746995051067)
2895,-74.880352029575,40.0280346831372,station,,,Levittown Substation,,,SRID=4326;POINT(-74.880352029575 40.0280346831372)
2967,-74.5038026665241,40.4172994410743,sub_station,,,,,,SRID=4326;POINT(-74.5038026665241 40.4172994410743)
19452,-74.7530691229394,41.0340586118042,joint,230000,60,,,,SRID=4326;POINT(-74.7530691229394 41.0340586118042)
20518,-75.1593590698095,40.7070239126845,joint,230000,,,,,SRID=4326;POINT(-75.1593590698095 40.7070239126845)
2821,-74.6733751906764,40.5929294254121,sub_station,,,,,,SRID=4326;POINT(-74.6733751906764 40.5929294254121)
15992,-75.1646993991818,40.5663149813055,substation,,,,,,SRID=4326;POINT(-75.1646993991818 40.5663149813055)
20516,-75.1304286464214,39.8683493634446,joint,230000,,230kV Transmission Line,PJM,V-2274,SRID=4326;POINT(-75.1304286464214 39.8683493634446)
2897,-74.8803771885479,39.9475293918286,station,,,Mount Laurel Substation,,,SRID=4326;POINT(-74.8803771885479 39.9475293918286)
23252,-74.8365533352169,40.4734363176431,joint,230000,60,,,,SRID=4326;POINT(-74.8365533352169 40.4734363176431)
2952,-74.3957478686316,40.4910648074951,station,,,Edison Substation,,EDI,SRID=4326;POINT(-74.3957478686316 40.4910648074951)
2809,-74.5490537091598,40.0623700561253,substation,,,,,,SRID=4326;POINT(-74.5490537091598 40.0623700561253)
20496,-74.9483923304483,39.7313258976702,joint,500000,,Salem to Deans 500 kV transmission line,,,SRID=4326;POINT(-74.9483923304483 39.7313258976702)
11574,-74.5102785275932,40.8526539322924,substation,,,,,,SRID=4326;POINT(-74.5102785275932 40.8526539322924)
2913,-74.7831397432756,40.0792008946481,station,,,Bustleton Substation,,,SRID=4326;POINT(-74.7831397432756 40.0792008946481)
2827,-74.3788326840457,40.7330208609952,substation,230000,,Traynor Substation,,,SRID=4326;POINT(-74.3788326840457 40.7330208609952)
2861,-74.5650291260682,40.2488790758161,station,,,Windsor Substation,,,SRID=4326;POINT(-74.5650291260682 40.2488790758161)
29733,-74.9501737890971,39.3966770874241,joint,230000,,230kV transmission line,,,SRID=4326;POINT(-74.9501737890971 39.3966770874241)
28331,-74.3535543836798,40.4791438648594,merge,,,Sayreville Generating Station;Sayreville Substation,,,SRID=4326;POINT(-74.3535543836798 40.4791438648594)
2964,-74.1858321818851,40.029996961658,station,,,Leisure Village Substation,,,SRID=4326;POINT(-74.1858321818851 40.029996961658)
2892,-74.9608840631471,40.5675563804813,sub_station,,,,,,SRID=4326;POINT(-74.9608840631471 40.5675563804813)
2823,-74.6283984855765,40.6229451033839,sub_station,,,,,,SRID=4326;POINT(-74.6283984855765 40.6229451033839)
17860,-74.7338888339821,40.1791666551568,station,,,Mercer Generating Station,,,SRID=4326;POINT(-74.7338888339821 40.1791666551568)
20511,-74.8679262778625,40.0344494964718,joint,138000;230000;230000,,138kV Transmission Line;230kV Transmission Line;230kV Transmission Line,,,SRID=4326;POINT(-74.8679262778625 40.0344494964718)
2935,-74.2694637332674,41.1364034611159,station,,,,,,SRID=4326;POINT(-74.2694637332674 41.1364034611159)
2932,-74.3481304846987,40.4492398869752,station,,,Read Oak Station,,,SRID=4326;POINT(-74.3481304846987 40.4492398869752)
2953,-74.480142455139,40.4582928922684,sub_station,,,Adams Substation,,ADA,SRID=4326;POINT(-74.480142455139 40.4582928922684)
20867,-75.499977677834,39.6791630662715,joint,230000,,Pedricktown - Chambers 230kV transmission line,,,SRID=4326;POINT(-75.499977677834 39.6791630662715)
2928,-74.5969609621674,40.9068048248501,station,,,,,,SRID=4326;POINT(-74.5969609621674 40.9068048248501)
2857,-74.9529502262278,39.8103409514299,station,,,Silver lake Substation,,,SRID=4326;POINT(-74.9529502262278 39.8103409514299)
2941,-74.5784276599368,41.0997880421534,substation,,,,,,SRID=4326;POINT(-74.5784276599368 41.0997880421534)
19439,-74.9516008431486,39.7243668952941,joint,500000,,Salem to Deans 500 kV transmission line,,,SRID=4326;POINT(-74.9516008431486 39.7243668952941)
2811,-74.3307716850838,40.8200463026431,substation,230000;138000,,Roseland Substation,PJM,ROS,SRID=4326;POINT(-74.3307716850838 40.8200463026431)
6333,-74.3531762346093,40.4738485145686,substation,230000,,Sayreville Converter station,,,SRID=4326;POINT(-74.3531762346093 40.4738485145686)
2962,-74.220013550695,39.9524818901921,station,,,Manitous Substation,,,SRID=4326;POINT(-74.220013550695 39.9524818901921)
3451,-75.4014730229891,39.7863212943577,sub_station,,,,,,SRID=4326;POINT(-75.4014730229891 39.7863212943577)
2874,-74.6585139307112,40.1535322642534,station,,,,,,SRID=4326;POINT(-74.6585139307112 40.1535322642534)
14449,-74.3884736378013,40.7248120563622,substation,230000,,Summit Substation,,,SRID=4326;POINT(-74.3884736378013 40.7248120563622)
19451,-74.2523013813449,40.3697207641293,joint,230000,,230kV transmission line;Freneau - Williams 230kV transmission line,,,SRID=4326;POINT(-74.2523013813449 40.3697207641293)
2871,-75.1369370480564,39.8590119108392,sub_station,,,Deptford Substation,,,SRID=4326;POINT(-75.1369370480564 39.8590119108392)
2822,-74.6153039516225,40.5589805162577,substation,230000,,,,,SRID=4326;POINT(-74.6153039516225 40.5589805162577)
2944,-74.2521514469207,40.5607368157584,substation,,,Sewaren Substation,,,SRID=4326;POINT(-74.2521514469207 40.5607368157584)
2860,-74.7006876722592,40.2259125789546,substation,,,Hamilton Substation,,,SRID=4326;POINT(-74.7006876722592 40.2259125789546)
2868,-74.9730203492469,39.7340391348318,station,,,Sickler Substation,PJM,SIC,SRID=4326;POINT(-74.9730203492469 39.7340391348318)
13240,-74.5644934679232,40.5602235692629,substation,230000,,,,,SRID=4326;POINT(-74.5644934679232 40.5602235692629)
3461,-75.4243014189171,39.7676330181837,sub_station,,,Pedricktown Substation,,,SRID=4326;POINT(-75.4243014189171 39.7676330181837)
19121,-74.1134332470241,40.7896076848206,joint,230000,,Belleville - Penhorn 230kV transmission line;Athenia - NJT Meadows 230kV transmission line,PJM,X-2250,SRID=4326;POINT(-74.1134332470241 40.7896076848206)
2855,-74.9319785607106,39.9011031861303,station,,,Marlton Substation,,,SRID=4326;POINT(-74.9319785607106 39.9011031861303)
19461,-74.2585328148078,40.5705771086777,joint,,,,,,SRID=4326;POINT(-74.2585328148078 40.5705771086777)
8513,-74.602746382127,40.3478405559945,station,,,,,,SRID=4326;POINT(-74.602746382127 40.3478405559945)
2965,-74.1672220855503,40.061006175711,station,,,Lakewood Substation,,LAK,SRID=4326;POINT(-74.1672220855503 40.061006175711)
2956,-74.4621708762551,40.5608111131255,substation,,,Middlesex Substation,,,SRID=4326;POINT(-74.4621708762551 40.5608111131255)
20526,-74.2570007380907,40.5676071849859,joint,230000,,Metuchen - Sewaren 230kV transmission line,,Y-2251,SRID=4326;POINT(-74.2570007380907 40.5676071849859)
2863,-74.5318985202829,40.3679658845832,station,,,,,,SRID=4326;POINT(-74.5318985202829 40.3679658845832)
2946,-74.323609257403,40.5485699768262,substation,,,Lafayette Road Station,,LAF,SRID=4326;POINT(-74.323609257403 40.5485699768262)
2920,-74.1170547395844,40.7919219893847,station,,,Kingsland Substation,,KIN,SRID=4326;POINT(-74.1170547395844 40.7919219893847)
2850,-75.5338586578015,39.4675092780738,substation,500000,,Hope Creek Substation,PJM,HOP,SRID=4326;POINT(-75.5338586578015 39.4675092780738)
19448,-74.7435041312887,40.2880892138905,joint,230000,,230kV Transmission Line,,,SRID=4326;POINT(-74.7435041312887 40.2880892138905)
2917,-74.1694016945189,40.8269128785699,station,,,,,,SRID=4326;POINT(-74.1694016945189 40.8269128785699)
