l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
1717,30358,30359,345000,3,,,,PNM,NB,26104.8206557825,,,,,"","SRID=4326;LINESTRING(-106.376459360897 35.3603564454943,-106.230273371182 35.5289005965736)"
565,10851,29881,,,,,,,,4924.45959961707,,,,,"","SRID=4326;LINESTRING(-103.143069974226 32.6823996463951,-103.196365863463 32.6824058542709)"
33126,9709,9712,230000,3,,60,,,,23182.4176023789,,,,,"","SRID=4326;LINESTRING(-104.200425482161 32.4453464142604,-103.965242646946 32.5058831014809)"
3843,9708,31238,,,,,,,,5110.67172718909,,,,,"","SRID=4326;LINESTRING(-103.353104817646 32.7133503657817,-103.302123586237 32.7134836044045)"
11253,10861,18428,,,,,,,,11411.3781314225,,,,,"","SRID=4326;LINESTRING(-103.081482660657 32.4314929435398,-103.193154928572 32.4204272805284)"
38554,28359,15980,,3,,,,,,14453.6197815887,,,,,"","SRID=4326;LINESTRING(-103.336265317704 34.5159396397805,-103.248154169817 34.4564134756268)"
22995,22655,27026,230000,3,,,,,,1564.23078475088,,,,,"","SRID=4326;LINESTRING(-103.214800464163 34.303317086019,-103.21469329515 34.3174329157439)"
23001,27027,27030,,3,,,,,,445.451247328027,,,,,"","SRID=4326;LINESTRING(-103.161444039716 34.3903241761644,-103.161446734662 34.3943545891982)"
5209,28350,28360,,3,,,,,,4964.86872826819,,,,,"","SRID=4326;LINESTRING(-104.519965019709 33.3926586504163,-104.494306316957 33.4304408998829)"
38660,16088,16087,,3,,,,,,9544.85002190523,,,,,"","SRID=4326;LINESTRING(-103.422117954979 34.1276042320408,-103.387263377047 34.185291964167)"
5216,28363,28364,,3,,,,,,626.939878133222,,,,,"","SRID=4326;LINESTRING(-104.51429212523 33.3188744952714,-104.514060629381 33.312542256579)"
38436,10438,15843,,,,,,,,4280.89135432208,,,,,"","SRID=4326;LINESTRING(-103.148731491862 32.7259840360912,-103.195966507351 32.7259586424823)"
