v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
28365,-104.488478792722,33.3279462297367,merge,,,,,,SRID=4326;POINT(-104.488478792722 33.3279462297367)
28364,-104.514060629381,33.312542256579,merge,,,,,,SRID=4326;POINT(-104.514060629381 33.312542256579)
28540,-108.81687193958,35.5929265246258,merge,,,McKinley Substation,,,SRID=4326;POINT(-108.81687193958 35.5929265246258)
21826,-106.631756087023,35.3219360589544,joint,345000,,,PNM,WW,SRID=4326;POINT(-106.631756087023 35.3219360589544)
27039,-104.515541142801,33.3505876929483,joint,,,,,,SRID=4326;POINT(-104.515541142801 33.3505876929483)
29049,-105.633554875893,36.3949889839232,merge,,,Taos Substation,,,SRID=4326;POINT(-105.633554875893 36.3949889839232)
15840,-104.220591144072,32.4072701255122,substation,,,,,,SRID=4326;POINT(-104.220591144072 32.4072701255122)
15838,-104.440370141929,33.1396494645328,substation,,,,,,SRID=4326;POINT(-104.440370141929 33.1396494645328)
5069,-106.583581913371,35.337419000737,sub_station,,,,,,SRID=4326;POINT(-106.583581913371 35.337419000737)
10861,-103.081482660657,32.4314929435398,substation,,,,,,SRID=4326;POINT(-103.081482660657 32.4314929435398)
29881,-103.196365863463,32.6824058542709,joint,,,,,,SRID=4326;POINT(-103.196365863463 32.6824058542709)
22623,-106.847878347632,32.1192213790067,joint,345000,60,,,,SRID=4326;POINT(-106.847878347632 32.1192213790067)
16088,-103.422117954979,34.1276042320408,sub_station,,,,,,SRID=4326;POINT(-103.422117954979 34.1276042320408)
14272,-103.771733280349,32.4731692824513,substation,,,,,,SRID=4326;POINT(-103.771733280349 32.4731692824513)
27042,-104.482271048106,33.4524283561508,joint,,,,,,SRID=4326;POINT(-104.482271048106 33.4524283561508)
9708,-103.353104817646,32.7133503657817,sub_station,,,,,,SRID=4326;POINT(-103.353104817646 32.7133503657817)
15746,-104.228801905716,32.4576142695083,substation,,,,,,SRID=4326;POINT(-104.228801905716 32.4576142695083)
3918,-108.078533652031,36.9117597315199,station,,,,,,SRID=4326;POINT(-108.078533652031 36.9117597315199)
23692,-104.433107869574,33.4177547796444,joint,230000;115000;230000;115000,60,,,,SRID=4326;POINT(-104.433107869574 33.4177547796444)
26185,-103.960032942401,32.4814397746457,joint,,,,,,SRID=4326;POINT(-103.960032942401 32.4814397746457)
22655,-103.214800464163,34.303317086019,joint,230000,60,,,,SRID=4326;POINT(-103.214800464163 34.303317086019)
28363,-104.51429212523,33.3188744952714,merge,,,,,,SRID=4326;POINT(-104.51429212523 33.3188744952714)
21049,-108.963581611469,34.2995985038786,joint,345000,60,,,,SRID=4326;POINT(-108.963581611469 34.2995985038786)
16080,-103.36571855479,34.1689496156927,station,,,,,,SRID=4326;POINT(-103.36571855479 34.1689496156927)
14270,-103.941329469401,32.4878978104655,substation,,,,,,SRID=4326;POINT(-103.941329469401 32.4878978104655)
14268,-103.936780363498,32.3495683407422,substation,,,,,,SRID=4326;POINT(-103.936780363498 32.3495683407422)
13544,-106.268001929944,35.8699170951317,substation,,,,,,SRID=4326;POINT(-106.268001929944 35.8699170951317)
30877,-108.037778750569,36.9997316179163,joint,345000,,Powerline,,,SRID=4326;POINT(-108.037778750569 36.9997316179163)
18428,-103.193154928572,32.4204272805284,joint,,,,,,SRID=4326;POINT(-103.193154928572 32.4204272805284)
28360,-104.494306316957,33.4304408998829,merge,,,,,,SRID=4326;POINT(-104.494306316957 33.4304408998829)
14266,-103.944991130628,32.4143500023046,substation,,,,,,SRID=4326;POINT(-103.944991130628 32.4143500023046)
27108,-103.317824022017,34.1826194146183,joint,,,,,,SRID=4326;POINT(-103.317824022017 34.1826194146183)
15983,-103.170797344811,34.3913844888368,station,,,,,,SRID=4326;POINT(-103.170797344811 34.3913844888368)
7113,-107.778978110726,32.302899046038,substation,,,Luna Substation,,,SRID=4326;POINT(-107.778978110726 32.302899046038)
28433,-108.444286186725,36.805695844214,merge,,,,,,SRID=4326;POINT(-108.444286186725 36.805695844214)
9705,-103.858385200516,33.9907223581288,station,,,,,,SRID=4326;POINT(-103.858385200516 33.9907223581288)
15949,-103.330664076583,35.0843993728682,station,,,,,,SRID=4326;POINT(-103.330664076583 35.0843993728682)
15839,-104.153560889382,32.2275991419396,substation,,,,,,SRID=4326;POINT(-104.153560889382 32.2275991419396)
7188,-105.019146285544,35.1007575533414,sub_station,,,Guadalupe Substation,,,SRID=4326;POINT(-105.019146285544 35.1007575533414)
7195,-103.337878769024,34.3028580393389,station,,,,,,SRID=4326;POINT(-103.337878769024 34.3028580393389)
7136,-106.587450586941,31.8048572606338,substation,,,Diablo Substation,,,SRID=4326;POINT(-106.587450586941 31.8048572606338)
28550,-106.530352440861,35.0500448444014,merge,,60,Sandia Substation,PNM,,SRID=4326;POINT(-106.530352440861 35.0500448444014)
30678,-104.220708751133,32.3257108791903,joint,,,,,,SRID=4326;POINT(-104.220708751133 32.3257108791903)
28357,-103.325404930169,34.3932460161435,merge,,,,,,SRID=4326;POINT(-103.325404930169 34.3932460161435)
28356,-103.33776790157,34.8221244114603,merge,,,,,,SRID=4326;POINT(-103.33776790157 34.8221244114603)
21829,-106.379612102174,35.3580635945579,joint,345000,,,PNM,WN;WW,SRID=4326;POINT(-106.379612102174 35.3580635945579)
27026,-103.21469329515,34.3174329157439,joint,230000,,,,,SRID=4326;POINT(-103.21469329515 34.3174329157439)
7158,-106.158551887171,36.1116862790749,sub_station,,,Ojo Substation,,,SRID=4326;POINT(-106.158551887171 36.1116862790749)
21048,-108.959536767239,34.30016427922,joint,345000,60,,,,SRID=4326;POINT(-108.959536767239 34.30016427922)
16079,-103.367479587176,34.1684344667898,station,,,,,,SRID=4326;POINT(-103.367479587176 34.1684344667898)
10751,-104.265191519985,32.4289856369058,sub_station,,,,,,SRID=4326;POINT(-104.265191519985 32.4289856369058)
26973,-104.221387174195,32.3258604230279,joint,,,,,,SRID=4326;POINT(-104.221387174195 32.3258604230279)
15844,-103.196624559024,32.7186707429894,substation,,,,,,SRID=4326;POINT(-103.196624559024 32.7186707429894)
26184,-103.94630084581,32.4218226194489,joint,,,,,,SRID=4326;POINT(-103.94630084581 32.4218226194489)
15917,-103.196248007758,32.667262719628,substation,,,,,,SRID=4326;POINT(-103.196248007758 32.667262719628)
26971,-104.152312298401,32.2687598653762,joint,,,,,,SRID=4326;POINT(-104.152312298401 32.2687598653762)
15901,-108.152329297162,32.7659812249551,substation,,,,,,SRID=4326;POINT(-108.152329297162 32.7659812249551)
16087,-103.387263377047,34.185291964167,sub_station,,,,,,SRID=4326;POINT(-103.387263377047 34.185291964167)
15979,-103.143742440141,34.4487339998145,sub_station,,,,,,SRID=4326;POINT(-103.143742440141 34.4487339998145)
14267,-103.934734138212,32.4190538731769,substation,,,,,,SRID=4326;POINT(-103.934734138212 32.4190538731769)
15980,-103.248154169817,34.4564134756268,station,,,,,,SRID=4326;POINT(-103.248154169817 34.4564134756268)
7196,-106.138167065238,32.5194010044035,sub_station,,,Amrad Substation,,,SRID=4326;POINT(-106.138167065238 32.5194010044035)
9714,-103.309871340942,32.7318049562525,station,,,,,,SRID=4326;POINT(-103.309871340942 32.7318049562525)
26969,-104.412393797101,32.6604772099509,joint,,,,,,SRID=4326;POINT(-104.412393797101 32.6604772099509)
28359,-103.336265317704,34.5159396397805,merge,,,,,,SRID=4326;POINT(-103.336265317704 34.5159396397805)
17771,-104.520686692748,33.5057628196933,sub_station,,,,,,SRID=4326;POINT(-104.520686692748 33.5057628196933)
28434,-108.484332492829,36.6874660917552,merge,,,,,,SRID=4326;POINT(-108.484332492829 36.6874660917552)
28734,-103.172954728853,34.3013189990968,merge,,,Blackwater HVDC Tie,,,SRID=4326;POINT(-103.172954728853 34.3013189990968)
13460,-106.336605138408,35.8674595322683,substation,,,,,,SRID=4326;POINT(-106.336605138408 35.8674595322683)
28358,-103.161216000868,34.3894819363856,merge,,,,,,SRID=4326;POINT(-103.161216000868 34.3894819363856)
16086,-103.325667513165,34.1826463013661,sub_station,,,,,,SRID=4326;POINT(-103.325667513165 34.1826463013661)
15836,-104.46838873409,33.2555391158039,substation,,,,,,SRID=4326;POINT(-104.46838873409 33.2555391158039)
10850,-103.093988062811,32.7332468872605,sub_station,,,,,,SRID=4326;POINT(-103.093988062811 32.7332468872605)
3771,-108.477331662363,36.7971492202694,substation,,,Shiprock Substation,,,SRID=4326;POINT(-108.477331662363 36.7971492202694)
28350,-104.519965019709,33.3926586504163,merge,,,,,,SRID=4326;POINT(-104.519965019709 33.3926586504163)
27030,-103.161446734662,34.3943545891982,joint,,,,,,SRID=4326;POINT(-103.161446734662 34.3943545891982)
27024,-103.214081183115,34.3755382056353,joint,230000,,,,,SRID=4326;POINT(-103.214081183115 34.3755382056353)
27029,-103.143421230003,34.3974324750919,joint,,,,,,SRID=4326;POINT(-103.143421230003 34.3974324750919)
11017,-103.336499934174,34.188816741366,sub_station,,,,,,SRID=4326;POINT(-103.336499934174 34.188816741366)
9709,-104.200425482161,32.4453464142604,sub_station,,,,,,SRID=4326;POINT(-104.200425482161 32.4453464142604)
27028,-103.143408833252,34.3932191903854,joint,,,,,,SRID=4326;POINT(-103.143408833252 34.3932191903854)
4918,-108.270965016444,36.2847289296123,substation,,,,,,SRID=4326;POINT(-108.270965016444 36.2847289296123)
10422,-104.04247241683,36.322596867016,station,,,,,,SRID=4326;POINT(-104.04247241683 36.322596867016)
4706,-108.044151412409,35.7964398760118,station,,,,,,SRID=4326;POINT(-108.044151412409 35.7964398760118)
15791,-104.415006636936,32.6232241155061,substation,,,,,,SRID=4326;POINT(-104.415006636936 32.6232241155061)
15988,-103.316879623253,34.214888298975,station,,,,,,SRID=4326;POINT(-103.316879623253 34.214888298975)
31238,-103.302123586237,32.7134836044045,joint,,,,,,SRID=4326;POINT(-103.302123586237 32.7134836044045)
30359,-106.230273371182,35.5289005965736,joint,345000;115000;115000,,115kV transmission line,PNM,NB,SRID=4326;POINT(-106.230273371182 35.5289005965736)
29882,-103.196173532178,32.7114117231719,joint,,,,,,SRID=4326;POINT(-103.196173532178 32.7114117231719)
10894,-103.175765875099,32.3231246606744,substation,,,,,,SRID=4326;POINT(-103.175765875099 32.3231246606744)
27046,-104.519744180352,33.5056222992051,joint,,,,,,SRID=4326;POINT(-104.519744180352 33.5056222992051)
3770,-108.442136122201,36.8168629783759,substation,345000,,,,,SRID=4326;POINT(-108.442136122201 36.8168629783759)
17770,-104.530727611836,33.3106683127726,sub_station,,,,,,SRID=4326;POINT(-104.530727611836 33.3106683127726)
7138,-106.848268667483,32.1140602309064,sub_station,,,,,,SRID=4326;POINT(-106.848268667483 32.1140602309064)
28967,-108.082299506585,35.4137327574058,merge,,,,,,SRID=4326;POINT(-108.082299506585 35.4137327574058)
13479,-104.40486360469,32.8537342417918,sub_station,,,,,,SRID=4326;POINT(-104.40486360469 32.8537342417918)
22502,-107.699773638602,32.3144836846469,joint,345000,60,,,,SRID=4326;POINT(-107.699773638602 32.3144836846469)
15973,-103.219292841149,34.317127186657,station,,,Southwest Cheese,,,SRID=4326;POINT(-103.219292841149 34.317127186657)
15982,-103.178167916781,34.3938492811082,sub_station,,,,,,SRID=4326;POINT(-103.178167916781 34.3938492811082)
15914,-103.159063302063,32.4864632449373,substation,,,,,,SRID=4326;POINT(-103.159063302063 32.4864632449373)
26913,-104.412368195115,32.6244733152206,joint,,,,,,SRID=4326;POINT(-104.412368195115 32.6244733152206)
