l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
31235,4014,7803,115000;345000;345000;345000;345000,3,,60,,,,570.129962578423,,,,,"","SRID=4326;LINESTRING(-75.2272075695504 43.1573988935792,-75.2246449158111 43.1530532079417)"
29493,29880,5883,,,,,,,,12318.0021456751,,,,,"","SRID=4326;LINESTRING(-77.8898701622072 43.1639943514292,-77.7423866914624 43.1460297707917)"
6019,6128,28614,115000,,,,,,,1808.50005276131,,,,,"","SRID=4326;LINESTRING(-77.2232706640228 42.963324953257,-77.2464748638712 42.9663158663437)"
30864,6055,7421,230000,3,,60,,,,43264.1887192302,,,,,"","SRID=4326;LINESTRING(-79.3812192278051 42.4360882450156,-79.7599866634564 42.1965690698999)"
33843,1723,10491,345000,3;6,,60,,,,13150.6067746334,,,,,"","SRID=4326;LINESTRING(-73.858070400934 40.9394142494805,-73.8090262678075 41.0499849055755)"
12381,22186,22151,,,,,,,,6268.76711394045,,,,,"","SRID=4326;LINESTRING(-78.9885804124727 43.1619666081308,-78.9746028063148 43.1424029681535)"
12590,22212,22253,,,,,,,,15.9818677474856,,,,,"","SRID=4326;LINESTRING(-78.8571965919415 43.0382463863917,-78.857368888813 43.0383394889543)"
6799,8728,28873,345000,3,,60,,,,1232.52991567325,,,,,"","SRID=4326;LINESTRING(-76.4072268222941 43.5131838725894,-76.3979885817735 43.5226173281123)"
14180,5419,22930,345000,3,4,60,,,,133494.174443134,,,,,"","SRID=4326;LINESTRING(-73.9042720789806 42.6091284474721,-75.2203970780826 43.1605464645799)"
34856,6175,11901,,,,,,,,522.357490868496,,,,,"","SRID=4326;LINESTRING(-76.2339683973225 43.0621646283572,-76.2252861444112 43.0631376820685)"
5814,5332,28548,115000,3,,60,Greenbush - Stephentown 115kV transmission line,,993,10595.3239273869,,,,,"","SRID=4326;LINESTRING(-73.4970332661981 42.5961262573683,-73.376914162134 42.5566863249442)"
17571,10612,18977,,,,,,,,17441.3248869056,,,,,"","SRID=4326;LINESTRING(-76.0259305539332 42.723242237605,-76.1501948993125 42.6024729827769)"
15409,9251,23514,,,,,,,,284.982682732432,,,,,"","SRID=4326;LINESTRING(-79.0278466719796 43.0837172807319,-79.0233600361703 43.0831742697563)"
