l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
29908,2415,6402,230000;230000;115000;230000;115000,3;6;3;6;6,,60,,,,5169.94580794224,,,,,"","SRID=4326;LINESTRING(-77.6590629227845 36.4459926602926,-77.6668121081393 36.3989146531569)"
16172,9876,18868,,,,,,,,4449.37902666521,,,,,"","SRID=4326;LINESTRING(-78.1094424607124 35.1870085711385,-78.0828518713025 35.2205159701228)"
27058,30301,20153,,,,,,,,3375.45911102375,,,,,"","SRID=4326;LINESTRING(-79.0420555890561 35.9976140267647,-79.0492954764011 35.9957284553148)"
7689,14283,29239,,,,,,,,53.9967282263309,,,,,"","SRID=4326;LINESTRING(-81.6831680413686 35.7395030551078,-81.6844710090348 35.7377021081973)"
37831,9887,15226,,,,,,,,12180.9676128198,,,,,"","SRID=4326;LINESTRING(-79.1691208724374 34.9299171779959,-79.1138348790561 34.8292281610466)"
6314,28703,28702,100000,6,,,,,,14416.7591782295,,,,,"","SRID=4326;LINESTRING(-80.3030733107804 35.9363127097736,-80.3568385899623 35.8149840510406)"
16209,10013,23846,230000;230000;115000;230000,3;6;3,,60,Rockingham - West End 230kV,Carolina Power & Light Company,,10233.2958625414,,,,,"","SRID=4326;LINESTRING(-79.3109295458826 35.3996172504728,-79.2296104406267 35.4648070705554)"
32922,23782,9480,230000,3,,60,New Bern - Wommack (north) 230kV,Carolina Power & Light Company,,51166.439678294,,,,,"","SRID=4326;LINESTRING(-77.6621614812703 35.2221951901689,-77.1235752108226 35.1413286937236)"
39580,9874,17072,,,,,,,,6201.14649662292,,,,,"","SRID=4326;LINESTRING(-78.2799073565679 35.0583645681836,-78.3319819845665 35.0200765498759)"
33521,10123,10126,230000,3,,60,Fentress - Sligo 230kV transmission line,,269,8377.15277535131,,,,,"","SRID=4326;LINESTRING(-76.2263051048352 36.3140147528989,-76.3013934955672 36.2721186080666)"
41848,6131,2416,230000;115000,6;3;6,,60,,,,13746.4148315538,,,,,"","SRID=4326;LINESTRING(-77.8101384744512 36.4968947465759,-77.6707634596537 36.4746415111051)"
16103,29016,23792,230000,3,,60,Rockingham - West End 230kV,Carolina Power & Light Company,,46660.9334754762,,,,,"","SRID=4326;LINESTRING(-79.5303889175821 35.2198154339775,-79.7106476751524 34.9185772839078)"
16064,9851,23776,230000,3,,60,,,,6518.19069831094,,,,,"","SRID=4326;LINESTRING(-79.034545150898 34.5646188636491,-79.0997274354408 34.5830705627354)"
31146,6902,7700,,,,,,,,28363.4738857068,,,,,"","SRID=4326;LINESTRING(-78.6562359967539 35.334729953486,-78.7906506779774 35.1135886221906)"
7130,319,29015,230000,,,,,,,11732.9828768016,,,,,"","SRID=4326;LINESTRING(-78.9518860621573 35.6322294025726,-79.0490769599539 35.5918566007772)"
2083,9851,30518,230000,3,,60,,,,5805.6956726195,,,,,"","SRID=4326;LINESTRING(-79.034545150898 34.5646188636491,-78.9781062181537 34.589671014235)"
13360,6676,22544,,,,,,,,677.827477516745,,,,,"","SRID=4326;LINESTRING(-78.0014864583881 33.9426963759294,-78.0062348302145 33.9467249512108)"
6976,23598,28945,230000,3,,60,Havelock - New Bern 230kV,Carolina Power & Light Company,,27057.6378929209,,,,,"","SRID=4326;LINESTRING(-77.1674796460627 35.061625572631,-76.944134677144 34.9136028363186)"
33222,7067,9824,230000,3,,60,,,,2809.21720568134,,,,,"","SRID=4326;LINESTRING(-79.0221325308011 35.0682811951294,-78.9916651061041 35.0604655855)"
30133,9419,6664,230000,3,,60,Sutton Plant - Wallace 230kV,Carolina Power & Light Company,,45449.844154923,,,,,"","SRID=4326;LINESTRING(-77.9627576339909 34.7244874487124,-78.0121183461678 34.3320137901524)"
16171,9487,18868,,,,,,,,9462.007467345,,,,,"","SRID=4326;LINESTRING(-78.0602153592052 35.3038149899826,-78.0828518713025 35.2205159701228)"
31019,322,7566,230000,,,,,,,7397.88993070117,,,,,"","SRID=4326;LINESTRING(-78.7497804973091 35.9505985640372,-78.8116922820543 35.9095249118377)"
30351,319,6894,230000,,,,,,,12117.8388887062,,,,,"","SRID=4326;LINESTRING(-78.9518860621573 35.6322294025726,-78.837791151286 35.5763274948818)"
548,20895,29873,230000,3,,60,,,,7605.63719819687,,,,,"","SRID=4326;LINESTRING(-78.8025934855431 36.0706170877369,-78.8328409805212 36.1346105530926)"
38076,15511,15512,,,,,,,,11320.6317027897,,,,,"","SRID=4326;LINESTRING(-81.8133308021771 35.3900478017142,-81.8181295109438 35.2924259816241)"
6204,28663,28673,230000,3;6;3;3,,60,,,,12313.7942382115,,,,,"","SRID=4326;LINESTRING(-79.7472844305894 34.8429766832312,-79.7579346769966 34.9041228022759)"
22669,7590,19223,230000,,,,,,,331.587009513568,,,,,"","SRID=4326;LINESTRING(-78.8057835045632 35.7992459723727,-78.8017398165287 35.7974747188546)"
30163,6700,6703,230000,3,,60,,,,7489.62906909013,,,,,"","SRID=4326;LINESTRING(-78.5696410523576 35.7300633260847,-78.5777773146868 35.6690262260117)"
