v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
6678,-79.780788710631,36.1224906799518,substation,,,,,,SRID=4326;POINT(-79.780788710631 36.1224906799518)
30950,-80.8321776118121,35.5659084947604,joint,230000,,,,,SRID=4326;POINT(-80.8321776118121 35.5659084947604)
10123,-76.2263051048352,36.3140147528989,station,,,,,,SRID=4326;POINT(-76.2263051048352 36.3140147528989)
9833,-77.8724331437559,34.2862473758982,station,,,,,,SRID=4326;POINT(-77.8724331437559 34.2862473758982)
9505,-77.7622545061466,35.7476540081075,sub_station,,,,,,SRID=4326;POINT(-77.7622545061466 35.7476540081075)
9869,-77.9752518717131,34.8219864524955,substation,,,,,,SRID=4326;POINT(-77.9752518717131 34.8219864524955)
1508,-78.879884273157,36.004031892792,station,,,,,,SRID=4326;POINT(-78.879884273157 36.004031892792)
23586,-77.4276242064953,34.7939328239695,joint,230000,,,,,SRID=4326;POINT(-77.4276242064953 34.7939328239695)
6654,-79.0559774598948,36.4533648312951,substation,,,,,,SRID=4326;POINT(-79.0559774598948 36.4533648312951)
10009,-79.1347477920132,35.4665980830528,station,,,Jonesboro Substation,Carolina Power & Light Company,,SRID=4326;POINT(-79.1347477920132 35.4665980830528)
6422,-76.4614603896393,36.2226063086815,sub_station,,,Winfall Substation,,,SRID=4326;POINT(-76.4614603896393 36.2226063086815)
17329,-75.6739246656539,36.0061036233711,sub_station,,,,,,SRID=4326;POINT(-75.6739246656539 36.0061036233711)
1575,-79.6565531323436,35.966989357096,substation,,,,,,SRID=4326;POINT(-79.6565531323436 35.966989357096)
4475,-81.1902094184021,35.2240774994268,station,,,Peacock Substation,Duke,,SRID=4326;POINT(-81.1902094184021 35.2240774994268)
4098,-80.8786634383709,35.4574846863794,sub_station,,,,,,SRID=4326;POINT(-80.8786634383709 35.4574846863794)
18865,-78.4378218744745,36.2999959764447,joint,230000,,,,,SRID=4326;POINT(-78.4378218744745 36.2999959764447)
13721,-83.1669522577791,35.0879330372982,substation,,,,,,SRID=4326;POINT(-83.1669522577791 35.0879330372982)
9439,-77.515203252244,34.7625960718277,substation,,,,,,SRID=4326;POINT(-77.515203252244 34.7625960718277)
15632,-81.240994626531,35.6544259534423,substation,,,,,,SRID=4326;POINT(-81.240994626531 35.6544259534423)
10127,-75.9104634893586,36.3310440016588,station,,,,,,SRID=4326;POINT(-75.9104634893586 36.3310440016588)
22546,-78.7410004980875,35.650460319002,joint,230000,,,,,SRID=4326;POINT(-78.7410004980875 35.650460319002)
25047,-78.5989739770593,35.7626996839776,joint,230000,60,,,,SRID=4326;POINT(-78.5989739770593 35.7626996839776)
31027,-80.6144444578899,34.9069523568853,joint,500000,60,Richmond - Newport 500kV transmission line,Duke,,SRID=4326;POINT(-80.6144444578899 34.9069523568853)
6900,-78.7115174922367,35.4115086046145,substation,,,,,,SRID=4326;POINT(-78.7115174922367 35.4115086046145)
6912,-80.3810569554756,35.2193859015923,sub_station,,,,,,SRID=4326;POINT(-80.3810569554756 35.2193859015923)
28700,-80.468958252432,35.5493808175813,merge,,,,,,SRID=4326;POINT(-80.468958252432 35.5493808175813)
14626,-79.7811633964298,35.367420932787,substation,,,,,,SRID=4326;POINT(-79.7811633964298 35.367420932787)
15777,-80.4438698129212,35.2531980130519,substation,,,,,,SRID=4326;POINT(-80.4438698129212 35.2531980130519)
6965,-80.364749885149,36.2766012015276,sub_station,,,,,,SRID=4326;POINT(-80.364749885149 36.2766012015276)
9867,-77.1143394916755,35.1536354759158,station,,,,,,SRID=4326;POINT(-77.1143394916755 35.1536354759158)
28665,-82.5435409596714,35.4720311581314,merge,,,,,,SRID=4326;POINT(-82.5435409596714 35.4720311581314)
28667,-80.1636435480327,36.171656685204,merge,,,,,,SRID=4326;POINT(-80.1636435480327 36.171656685204)
30415,-80.9940874986441,35.3310199462647,joint,,,,,,SRID=4326;POINT(-80.9940874986441 35.3310199462647)
9835,-77.8733701148059,34.254423003674,station,,,,,,SRID=4326;POINT(-77.8733701148059 34.254423003674)
23772,-77.4877323686178,34.7345168030215,joint,230000,60,,,,SRID=4326;POINT(-77.4877323686178 34.7345168030215)
7592,-78.7975366686496,35.9866140021564,substation,,,,,,SRID=4326;POINT(-78.7975366686496 35.9866140021564)
23788,-77.9773421360683,34.8210649902915,joint,230000,60,Clinton - Wallace 230kV,Carolina Power & Light Company,,SRID=4326;POINT(-77.9773421360683 34.8210649902915)
3498,-78.7780217861627,36.1251846799402,sub_station,,,,,,SRID=4326;POINT(-78.7780217861627 36.1251846799402)
