l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
5773,4797,28535,230000,3,,60,,,,109.183262815879,,,,,"","SRID=4326;LINESTRING(-97.1133121964082 47.9061109598134,-97.1079580090607 47.9069504505773)"
28831,5157,5156,230000,,,,Dawson County - Dickinson 230kV transmission line,,DC-DK,36229.0408236311,,,,,"","SRID=4326;LINESTRING(-103.070074658179 46.8417721598059,-103.524236307266 46.8550305322154)"
11122,4658,21618,345000,,,,Antelope Valley to Maple River 345 kV transmission line,,,47350.3970788038,,,,,"","SRID=4326;LINESTRING(-97.5163152082621 46.9591682954502,-96.9088104259623 46.9532782177027)"
23246,19534,27144,,,,,,,,153.582574676472,,,,,"","SRID=4326;LINESTRING(-100.741475011109 46.8322994861296,-100.743506012135 46.8323029891778)"
40763,18162,1294,230000,,,,Jamestown - Fargo 230kV transmission line,WAPA,JT-FA,83851.5420339744,,,,,"","SRID=4326;LINESTRING(-97.6205428407928 46.8119410158865,-98.6839510917327 46.8760139022)"
5777,25188,28536,,,,,,,,13502.5959598422,,,,,"","SRID=4326;LINESTRING(-98.7889266437832 48.1935368006541,-98.8246100662848 48.0866658803135)"
25829,19565,19567,,,,,,,,88.6243285704434,,,,,"","SRID=4326;LINESTRING(-100.894059072346 46.8502532961581,-100.895234877221 46.8501930883997)"
12885,6265,22376,,,,,,,,3708.47681555263,,,,,"","SRID=4326;LINESTRING(-97.6538752114652 47.2399524913843,-97.6791383298084 47.2685492614767)"
5741,6250,28523,,,,,,,,69908.3203409084,,,,,"","SRID=4326;LINESTRING(-96.9535519207865 47.455061112431,-96.9486098424076 46.8350337297168)"
28497,429,4802,,,,,,,,1467.91544037105,,,,,"","SRID=4326;LINESTRING(-102.316917314611 46.3714963347557,-102.296748609347 46.371739551319)"
25827,19562,19566,,,,,,,,484.285494933744,,,,,"","SRID=4326;LINESTRING(-100.891835023365 46.8432003582992,-100.894954962179 46.8463752872044)"
23251,27144,27146,,,,,,,,158.981615253335,,,,,"","SRID=4326;LINESTRING(-100.743506012135 46.8323029891778,-100.741405930664 46.832246018524)"
23250,26966,27146,,,,,,,,172.635522028805,,,,,"","SRID=4326;LINESTRING(-100.741464770315 46.8338106922018,-100.741405930664 46.832246018524)"
40761,1272,1289,,,,,,,,11872.7445468179,,,,,"","SRID=4326;LINESTRING(-101.506462834833 47.4582392949822,-101.505563220032 47.3505077952629)"
6952,28672,28933,,,,,,,,69110.7601589592,,,,,"","SRID=4326;LINESTRING(-102.912171067835 48.4022410303497,-103.73225901954 48.1432197378137)"
30219,1276,6761,,,,,,,,51873.125105119,,,,,"","SRID=4326;LINESTRING(-100.883861499899 48.0239075794037,-100.495100463305 48.3126284706441)"
28447,4723,4724,,,,,,,,2865.90546789394,,,,,"","SRID=4326;LINESTRING(-96.8497081972949 46.8753168977349,-96.8517512652847 46.8484013627078)"
11123,21617,21618,345000;230000,6,,60,,,,297.092136009176,,,,,"","SRID=4326;LINESTRING(-96.9048915255353 46.9531958668823,-96.9088104259623 46.9532782177027)"
