l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
9853,3686,21003,345000,3,,60,Bixby - Kirk 345kV transmission line,AEP,,1060.89950214841,,,,,"","SRID=4326;LINESTRING(-82.6481498189045 39.9912484325824,-82.654832989552 39.9844888678516)"
7985,2327,29355,345000,6,,60,,ATSI,,13891.0223370216,,,,,"","SRID=4326;LINESTRING(-81.5714515807411 41.3611441661127,-81.4669874284202 41.364535539008)"
4573,2384,29582,,,,,,,,2635.49045076413,,,,,"","SRID=4326;LINESTRING(-82.0505614334923 41.4781241648552,-82.0532805631562 41.5024877351319)"
25341,509,19341,345000,,,,,AEP,,13522.6920998989,,,,,"","SRID=4326;LINESTRING(-82.9001414960428 39.8712685314954,-83.0384941049205 39.8408010566687)"
4622,9007,29597,345000,3,,60,,,,18810.1941091422,,,,,"","SRID=4326;LINESTRING(-80.5723878965827 41.9084419369816,-80.7692322782673 41.9069649279628)"
36166,19263,211,345000,,,,,AEP,34532,72844.7243050532,,,,,"","SRID=4326;LINESTRING(-83.1821791854578 39.8421584735694,-84.0015552840774 39.7086325213926)"
32474,2672,9007,345000,3,,60,,,,54044.3335872316,,,,,"","SRID=4326;LINESTRING(-81.1474430870317 41.7995813577785,-80.5723878965827 41.9084419369816)"
6050,22392,28626,345000,,,,,,,10096.4794755215,,,,,"","SRID=4326;LINESTRING(-83.4851520050391 38.7778064944192,-83.4731127736306 38.6873069384136)"
37217,15885,386,765000,,,,Marysville - Flatlick 765kV transmission line,AEP,,175300.125057243,,,,,"","SRID=4326;LINESTRING(-82.3308451292826 39.0855712272077,-83.4299444400727 40.3330964411814)"
41754,20279,2327,345000,3;6,,60,,ATSI,,3377.3273505351,,,,,"","SRID=4326;LINESTRING(-81.5699764281411 41.3297546026209,-81.5714515807411 41.3611441661127)"
1397,28539,30228,,,,,,,,6271.72776290766,,,,,"","SRID=4326;LINESTRING(-83.677046678746 38.6363308440165,-83.6497814518606 38.6900828962994)"
9860,572,21009,345000,,,,345kV transmission line,ATSI,,38553.4446333748,,,,,"","SRID=4326;LINESTRING(-83.9184946953395 41.4752464539397,-83.4573626217249 41.4751615155552)"
8099,22392,29390,345000,,,,,AEP,34552,51432.9210305301,,,,,"","SRID=4326;LINESTRING(-83.4851520050391 38.7778064944192,-83.0095209753785 39.0220388437809)"
9858,21005,21006,345000,3,,60,,,,353.592890797544,,,,,"","SRID=4326;LINESTRING(-82.8139574148774 40.052949207662,-82.8175645100693 40.0545441131907)"
41826,2384,2385,138000,,,,,ATSI,,4132.32959963624,,,,,"","SRID=4326;LINESTRING(-82.0505614334923 41.4781241648552,-82.0505491109494 41.4393439876563)"
25350,19346,19345,138000,3,,60,,,,739.625257239356,,,,,"","SRID=4326;LINESTRING(-84.0541756283832 39.9227371730711,-84.0566467140667 39.9244545099039)"
8563,2697,20416,138000,,,,,ATSI,,295.309386441575,,,,,"","SRID=4326;LINESTRING(-83.4594373085695 41.6659443239606,-83.4584620698011 41.6692532837169)"
36200,223,224,,,,,,,,5325.95473750503,,,,,"","SRID=4326;LINESTRING(-84.4052789003106 39.1528507985653,-84.3664835778192 39.1179070758103)"
42114,2693,2697,138000;345000,,,,138kV transmission line,,,2157.3368109875,,,,,"","SRID=4326;LINESTRING(-83.4584001396356 41.6450729723684,-83.4594373085695 41.6659443239606)"
5787,22396,28539,345000,,,,,,,11375.6642984569,,,,,"","SRID=4326;LINESTRING(-83.7751658181633 38.7219928625781,-83.677046678746 38.6363308440165)"
3653,2628,31165,,,,,,,,12998.9810103554,,,,,"","SRID=4326;LINESTRING(-82.6812856572784 40.8508048287501,-82.5256373479024 40.85352077964)"
41825,2383,2385,138000,,,,,ATSI,,9392.48258553138,,,,,"","SRID=4326;LINESTRING(-81.9641116574082 41.393652159849,-82.0505491109494 41.4393439876563)"
16365,18875,18880,,,,,,,,4247.30698122303,,,,,"","SRID=4326;LINESTRING(-82.1673738787233 38.9653960146916,-82.1186759376765 38.9680110133941)"
41667,2246,2247,,,,,,,,2269.08797995355,,,,,"","SRID=4326;LINESTRING(-84.5599277230498 39.3121836398523,-84.5316578821957 39.3083334730293)"
32451,1956,8986,,,,,,,,2383.54181512355,,,,,"","SRID=4326;LINESTRING(-84.6019451567943 39.1783609506629,-84.6311565493399 39.1748938834378)"
4571,20082,29582,345000,3,,60,,,,10189.0911004026,,,,,"","SRID=4326;LINESTRING(-82.1027354227914 41.4243205217857,-82.0532805631562 41.5024877351319)"
42086,2446,2674,345000,6,,60,,ATSI,,25352.0292101611,,,,,"","SRID=4326;LINESTRING(-81.4025319208204 41.3865841931714,-81.3429906247209 41.5966908084728)"
37251,2610,14602,345000;138000,6;3;3,,,South Canton - Canton Central 345 kV transmission line;138 kV transmission line,,,3717.03573291451,,,,,"","SRID=4326;LINESTRING(-81.3561519097882 40.7801322077961,-81.3762153422095 40.7494266760139)"
36114,201,203,138000,6,,60,,,,6689.23650414706,,,,,"","SRID=4326;LINESTRING(-84.4493679581476 39.327518056205,-84.3865363295356 39.3063831461914)"
91,19130,29673,345000,3,,60,,,,2430.16476609095,,,,,"","SRID=4326;LINESTRING(-84.2197608270635 39.3078206808332,-84.2473161165153 39.3086524143975)"
37580,18873,14956,,3,,,,,,27229.0974503441,,,,,"","SRID=4326;LINESTRING(-82.1614062804593 40.8204612613511,-82.4659200549983 40.7779166248935)"
37327,2351,14689,345000,6,,60,,ATSI,,1676.38239871123,,,,,"","SRID=4326;LINESTRING(-81.6599384559337 41.4317129653451,-81.6394997946157 41.4392403833852)"
25380,570,19361,345000,,,,East Lima - Marysville 345kV transmission line,AEP,,11553.1619822979,,,,,"","SRID=4326;LINESTRING(-84.0289566192919 40.8009620818904,-83.9334089063635 40.7242506121303)"
