v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
20305,-81.6270600525336,41.4472328163312,joint,345000,60,,ATSI,,SRID=4326;POINT(-81.6270600525336 41.4472328163312)
17856,-82.0357362841244,39.9949569205389,substation,,,N Zanesville 138-kV,Ohio Power,,SRID=4326;POINT(-82.0357362841244 39.9949569205389)
20415,-83.4491686388608,41.5767547987125,joint,138000,,138kV transmission line,,,SRID=4326;POINT(-83.4491686388608 41.5767547987125)
20279,-81.5699764281411,41.3297546026209,joint,345000,60,,ATSI,,SRID=4326;POINT(-81.5699764281411 41.3297546026209)
5183,-81.6627957981038,39.5254487795765,station,,,Waterford Substation,,,SRID=4326;POINT(-81.6627957981038 39.5254487795765)
30228,-83.6497814518606,38.6900828962994,joint,345000,,,AEP,34552,SRID=4326;POINT(-83.6497814518606 38.6900828962994)
373,-83.1770962784368,39.7124657899658,station,,,Adkins Substation,AEP,,SRID=4326;POINT(-83.1770962784368 39.7124657899658)
20409,-81.1544504526774,41.7862229167856,joint,345000,60,,ATSI,,SRID=4326;POINT(-81.1544504526774 41.7862229167856)
2696,-83.4714105976619,41.6731491919038,station,,,,,,SRID=4326;POINT(-83.4714105976619 41.6731491919038)
11309,-84.6089636943355,39.5070227356944,sub_station,,,,,,SRID=4326;POINT(-84.6089636943355 39.5070227356944)
224,-84.3664835778192,39.1179070758103,sub_station,,,,,,SRID=4326;POINT(-84.3664835778192 39.1179070758103)
2666,-83.4608353495662,41.1390818542519,substation,345000;138000,,Fostoria Central Substation,,,SRID=4326;POINT(-83.4608353495662 41.1390818542519)
14689,-81.6394997946157,41.4392403833852,substation,,,,FirstEnergy,,SRID=4326;POINT(-81.6394997946157 41.4392403833852)
8596,-83.1305807965516,40.0509831568134,station,,,,,,SRID=4326;POINT(-83.1305807965516 40.0509831568134)
17076,-81.4131952956015,41.0561931267733,substation,,,,FirstEnergy,,SRID=4326;POINT(-81.4131952956015 41.0561931267733)
19346,-84.0541756283832,39.9227371730711,joint,345000;138000,60,,,,SRID=4326;POINT(-84.0541756283832 39.9227371730711)
539,-84.5377059015477,39.1073187011283,sub_station,,,,,,SRID=4326;POINT(-84.5377059015477 39.1073187011283)
18873,-82.1614062804593,40.8204612613511,joint,,,,,,SRID=4326;POINT(-82.1614062804593 40.8204612613511)
13585,-82.3672820768302,38.4463376409731,sub_station,,,,,,SRID=4326;POINT(-82.3672820768302 38.4463376409731)
518,-83.0038818046734,39.0160761447855,station,,,,,,SRID=4326;POINT(-83.0038818046734 39.0160761447855)
20366,-81.2127356635939,41.1190956671546,joint,345000,60,Hanna - Highland 345kV,American Transmission Systems,,SRID=4326;POINT(-81.2127356635939 41.1190956671546)
1062,-84.4354187199012,39.2853680165189,sub_station,,,,,,SRID=4326;POINT(-84.4354187199012 39.2853680165189)
20414,-83.4445203064231,41.4745468775794,joint,345000,,Fostoria - Lemoyne 345 kV transmission line,,,SRID=4326;POINT(-83.4445203064231 41.4745468775794)
15876,-81.4186121128298,39.4314479368227,substation,,,,,,SRID=4326;POINT(-81.4186121128298 39.4314479368227)
21009,-83.4573626217249,41.4751615155552,joint,345000,,345kV transmission line,,,SRID=4326;POINT(-83.4573626217249 41.4751615155552)
2675,-81.2620679735967,41.7299760200677,substation,,,,,,SRID=4326;POINT(-81.2620679735967 41.7299760200677)
18877,-82.2784289142063,38.9321329704579,joint,345000,,,,,SRID=4326;POINT(-82.2784289142063 38.9321329704579)
204,-84.3257362435525,39.2752931734864,sub_station,,,,,,SRID=4326;POINT(-84.3257362435525 39.2752931734864)
2329,-81.8343118472987,41.3533016557538,station,,,Fowles Substation,ATSI,,SRID=4326;POINT(-81.8343118472987 41.3533016557538)
572,-83.9184946953395,41.4752464539397,substation,345000;138000,,,,,SRID=4326;POINT(-83.9184946953395 41.4752464539397)
19349,-84.7588312950684,39.2038570140517,joint,,,,,,SRID=4326;POINT(-84.7588312950684 39.2038570140517)
30229,-83.0582276761017,39.0288717492525,joint,345000,,,AEP,34552,SRID=4326;POINT(-83.0582276761017 39.0288717492525)
2383,-81.9641116574082,41.393652159849,station,,,,,,SRID=4326;POINT(-81.9641116574082 41.393652159849)
31112,-82.8418905265984,40.1220369604961,joint,138000;345000,,Corridor - Morse Road 138kV transmission line;Jug Street - Kirk 345kV transmission line,AEP,,SRID=4326;POINT(-82.8418905265984 40.1220369604961)
210,-84.3199861876424,39.2276754512198,sub_station,,,,Duke Energy Ohio,,SRID=4326;POINT(-84.3199861876424 39.2276754512198)
31165,-82.5256373479024,40.85352077964,joint,,,,,,SRID=4326;POINT(-82.5256373479024 40.85352077964)
567,-84.1831677671782,40.6776835519694,substation,345000;138000,,Southwest Lima Substation,AEP,,SRID=4326;POINT(-84.1831677671782 40.6776835519694)
18878,-82.3481349463189,38.9124970145958,joint,,,,,,SRID=4326;POINT(-82.3481349463189 38.9124970145958)
2698,-83.3329737577324,41.6372215843832,station,,,Decant Substation,,,SRID=4326;POINT(-83.3329737577324 41.6372215843832)
2681,-81.4399954658945,41.6721569208918,substation,,,Eastlake Station,,,SRID=4326;POINT(-81.4399954658945 41.6721569208918)
27721,-81.4129809202075,41.0540992591555,joint,69000;23000;230000,,,Ohio Edison,,SRID=4326;POINT(-81.4129809202075 41.0540992591555)
18881,-82.118705941407,38.9676219825734,joint,,,,,,SRID=4326;POINT(-82.118705941407 38.9676219825734)
19125,-84.2937805691705,39.2302592583979,joint,,,,,,SRID=4326;POINT(-84.2937805691705 39.2302592583979)
223,-84.4052789003106,39.1528507985653,station,,,,,,SRID=4326;POINT(-84.4052789003106 39.1528507985653)
22396,-83.7751658181633,38.7219928625781,joint,345000,60,,,,SRID=4326;POINT(-83.7751658181633 38.7219928625781)
2674,-81.3429906247209,41.5966908084728,station,,,,,,SRID=4326;POINT(-81.3429906247209 41.5966908084728)
1925,-82.2620037483171,41.4277639012072,substation,345000,,Beaver Substation,American Transmission Systems,,SRID=4326;POINT(-82.2620037483171 41.4277639012072)
18893,-82.9889328828858,38.8641699707033,joint,,,,,,SRID=4326;POINT(-82.9889328828858 38.8641699707033)
5182,-81.68272852315,39.588435286355,station,,,Muskingum River Substation,,,SRID=4326;POINT(-81.68272852315 39.588435286355)
29065,-82.3498467716453,40.8215314009865,merge,,,,,,SRID=4326;POINT(-82.3498467716453 40.8215314009865)
19098,-84.2521064654988,39.3065781540581,joint,345000,60,,,,SRID=4326;POINT(-84.2521064654988 39.3065781540581)
9382,-82.7996645066754,40.6942291226731,station,,,Galion Substation,,,SRID=4326;POINT(-82.7996645066754 40.6942291226731)
