l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
22552,15714,26814,,,,,,,,601.014316090159,,,,,"","SRID=4326;LINESTRING(-101.473974461394 36.7107414933438,-101.474514206838 36.704253054642)"
22660,26175,26862,,,,,,,,9617.61363190287,,,,,"","SRID=4326;LINESTRING(-101.996284380112 36.7621031004477,-102.10401250494 36.7622579002315)"
34076,24339,10830,,3,,60,,,,25087.3663565544,,,,,"","SRID=4326;LINESTRING(-96.3911754674355 36.7695794075779,-96.6561114068172 36.7639351656159)"
21909,14892,26510,,,,,,,,64.7196636528466,,,,,"","SRID=4326;LINESTRING(-97.5746972096429 35.4098718467981,-97.5764730200898 35.4091566963824)"
30749,6931,7288,,,,,,,,10133.5359232893,,,,,"","SRID=4326;LINESTRING(-97.3700343415005 35.3285099968944,-97.4418118691502 35.3628667706123)"
6353,7037,28713,,,,,,,,518.457773400535,,,,,"","SRID=4326;LINESTRING(-97.1802210260712 35.5076924733049,-97.1842815571301 35.5128280526711)"
18084,11545,24702,,,,,,,,231.494744381157,,,,,"","SRID=4326;LINESTRING(-95.1848775633965 35.6275256941427,-95.1849752859295 35.6300765785945)"
13977,7665,22833,345000,3,,60,Redbud - Riverside 345kV,Public Service Company of Oklahoma,,102287.677297128,,,,,"","SRID=4326;LINESTRING(-97.0167310711974 35.7105552369115,-95.9321137197052 35.9416073844387)"
30988,18484,7523,138000,3,,60,,,,19627.8852255214,,,,,"","SRID=4326;LINESTRING(-96.8079439027686 35.1315169768607,-96.7316362528726 34.9660612528898)"
28818,5122,5136,,,,,,,,5952.65855961604,,,,,"","SRID=4326;LINESTRING(-97.4846691481236 35.276913727121,-97.4950960490428 35.2295455187897)"
18106,29920,24711,,,,,,,,33183.6079659108,,,,,"","SRID=4326;LINESTRING(-95.3081836735592 35.7637139596479,-95.2117533458969 35.7677067126995)"
18609,12075,24921,,,,,,,,0.825059057013187,,,,,"","SRID=4326;LINESTRING(-96.5910991809347 34.77580048024,-96.5916413502829 34.7755412590353)"
13974,7524,22831,345000,3,,60,,,,8063.295446316,,,,,"","SRID=4326;LINESTRING(-95.4680452801028 35.7167323211282,-95.5196297991197 35.7760016710717)"
31943,8412,8449,,,,,,,,4181.15709125899,,,,,"","SRID=4326;LINESTRING(-97.5469650034588 35.3452853234233,-97.548955245434 35.3851564873066)"
18613,12077,24923,,,,,,,,4934.99151400882,,,,,"","SRID=4326;LINESTRING(-96.6130184627175 34.8653790550256,-96.5988320946377 34.826261870991)"
