v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
23147,-97.5477409447165,35.3343765627975,joint,,,,,,SRID=4326;POINT(-97.5477409447165 35.3343765627975)
10831,-96.1808985733219,36.7712444289759,sub_station,,,,,,SRID=4326;POINT(-96.1808985733219 36.7712444289759)
22843,-95.5846301862795,35.7242243014877,joint,345000;138000;345000;138000,60,,,,SRID=4326;POINT(-95.5846301862795 35.7242243014877)
7635,-95.7537427380399,36.171657085672,sub_station,138000;69000,,Catoosa Substation,Public Service Company of Oklahoma,,SRID=4326;POINT(-95.7537427380399 36.171657085672)
7166,-97.2221306832538,35.0158490337685,sub_station,,,,,,SRID=4326;POINT(-97.2221306832538 35.0158490337685)
21860,-97.4590897127563,35.3124943045322,joint,,,,,,SRID=4326;POINT(-97.4590897127563 35.3124943045322)
22242,-97.4234369266025,35.1859824727259,joint,,,,,,SRID=4326;POINT(-97.4234369266025 35.1859824727259)
18452,-99.4204262086756,34.6163184617229,joint,,,,,,SRID=4326;POINT(-99.4204262086756 34.6163184617229)
21855,-97.4582957817082,35.2692667911014,joint,345000;138000,60,,,,SRID=4326;POINT(-97.4582957817082 35.2692667911014)
28878,-97.6755804025235,35.4685518168858,merge,,,,,,SRID=4326;POINT(-97.6755804025235 35.4685518168858)
5130,-97.7074940411737,35.4030323907685,sub_station,,,,,,SRID=4326;POINT(-97.7074940411737 35.4030323907685)
14247,-102.104470194771,36.6096646403787,sub_station,,,,,,SRID=4326;POINT(-102.104470194771 36.6096646403787)
15755,-101.907294146554,36.791563308699,sub_station,,,,,,SRID=4326;POINT(-101.907294146554 36.791563308699)
22578,-97.3972333392594,35.3016774936794,joint,,,,,,SRID=4326;POINT(-97.3972333392594 35.3016774936794)
23488,-97.4678894296165,35.4607081745709,joint,,,,,,SRID=4326;POINT(-97.4678894296165 35.4607081745709)
13785,-96.8456103877626,34.3564443590138,sub_station,,,,,,SRID=4326;POINT(-96.8456103877626 34.3564443590138)
8931,-97.5117249348493,35.4449120448886,substation,,,,,,SRID=4326;POINT(-97.5117249348493 35.4449120448886)
8870,-97.3219100343727,35.5068324447025,sub_station,,,,,,SRID=4326;POINT(-97.3219100343727 35.5068324447025)
8801,-97.6327271127561,35.479329939193,sub_station,,,,,,SRID=4326;POINT(-97.6327271127561 35.479329939193)
26816,-101.63667179372,36.7623220941924,joint,,,,,,SRID=4326;POINT(-101.63667179372 36.7623220941924)
21764,-97.5563503085679,35.4603620844673,joint,,,,,,SRID=4326;POINT(-97.5563503085679 35.4603620844673)
18448,-96.3335818694562,35.820175019821,joint,,,,,,SRID=4326;POINT(-96.3335818694562 35.820175019821)
11545,-95.1848775633965,35.6275256941427,sub_station,,,,,,SRID=4326;POINT(-95.1848775633965 35.6275256941427)
18447,-96.3335498894321,35.815162991641,joint,,,,,,SRID=4326;POINT(-96.3335498894321 35.815162991641)
17845,-95.4191782975873,35.6706468555957,station,,,,,,SRID=4326;POINT(-95.4191782975873 35.6706468555957)
7666,-99.3986385245463,35.3883346579726,sub_station,230000;138000;69000,,Elk City Substation,Public Service Company of Oklahoma,,SRID=4326;POINT(-99.3986385245463 35.3883346579726)
7522,-97.6535953264559,35.7429082110134,sub_station,,,Spring Creek Substation,,,SRID=4326;POINT(-97.6535953264559 35.7429082110134)
7630,-95.9353614533525,35.9840653335689,sub_station,,,Green Country Substation,,,SRID=4326;POINT(-95.9353614533525 35.9840653335689)
28784,-95.2903605363501,36.1910314746989,merge,,,Grand River Energy Center,Grand River Dam Authority,,SRID=4326;POINT(-95.2903605363501 36.1910314746989)
22835,-95.9317787379358,35.9674969234256,joint,345000,60,,,,SRID=4326;POINT(-95.9317787379358 35.9674969234256)
23281,-97.6460533778943,35.4426228634095,joint,,,,,,SRID=4326;POINT(-97.6460533778943 35.4426228634095)
11485,-95.9237517333805,35.9697066475865,sub_station,,,,,,SRID=4326;POINT(-95.9237517333805 35.9697066475865)
10840,-96.7336645026288,36.8696458384916,sub_station,,60,,,,SRID=4326;POINT(-96.7336645026288 36.8696458384916)
6435,-95.6282554153476,36.8131542378939,sub_station,345000;138000,60,Delaware Substation,Public Service Company of Oklahoma,,SRID=4326;POINT(-95.6282554153476 36.8131542378939)
15378,-95.9617173222556,36.7496475350431,substation,,,,,,SRID=4326;POINT(-95.9617173222556 36.7496475350431)
14619,-101.640059124976,36.8635334304957,sub_station,,,,,,SRID=4326;POINT(-101.640059124976 36.8635334304957)
18440,-98.2284429445192,35.0827189605648,joint,,,,,,SRID=4326;POINT(-98.2284429445192 35.0827189605648)
26861,-101.996244045756,36.7912157936518,joint,,,,,,SRID=4326;POINT(-101.996244045756 36.7912157936518)
4937,-97.5661753149245,35.4914930251545,sub_station,,,,Oklahoma Gas Electric,,SRID=4326;POINT(-97.5661753149245 35.4914930251545)
6925,-97.2129290770814,35.1524772969495,sub_station,,,Little Axe WFEC Sub,,,SRID=4326;POINT(-97.2129290770814 35.1524772969495)
5120,-97.3982478194432,35.1320577560268,sub_station,,,,,,SRID=4326;POINT(-97.3982478194432 35.1320577560268)
29236,-96.7926272890034,34.1870438129238,merge,,,,,,SRID=4326;POINT(-96.7926272890034 34.1870438129238)
10472,-97.8984330423791,34.5502268410053,sub_station,,,,,,SRID=4326;POINT(-97.8984330423791 34.5502268410053)
22438,-95.7229755011049,36.4312316175071,joint,345000;138000,60,,Public Service Company of Oklahoma,,SRID=4326;POINT(-95.7229755011049 36.4312316175071)
4374,-97.7918844814472,35.5111316761885,station,,,Cimarron Substation,Oklahoma Gas & Electric,,SRID=4326;POINT(-97.7918844814472 35.5111316761885)
11575,-95.2959299426131,35.7636731014253,station,,,,,,SRID=4326;POINT(-95.2959299426131 35.7636731014253)
18450,-97.8846840059244,34.9737690952804,joint,,,,,,SRID=4326;POINT(-97.8846840059244 34.9737690952804)
22730,-97.1360386482596,36.6346471534035,joint,,,,,,SRID=4326;POINT(-97.1360386482596 36.6346471534035)
22704,-98.3082338233374,34.6012496111371,joint,345000,60,,Public Service Company of Oklahoma,,SRID=4326;POINT(-98.3082338233374 34.6012496111371)
18469,-96.135370937635,35.3234940026289,joint,,,,,,SRID=4326;POINT(-96.135370937635 35.3234940026289)
7351,-98.3147244230862,34.6037677836462,sub_station,345000;138000;69000,,Lawton Eastside,Public Service Company of Oklahoma,,SRID=4326;POINT(-98.3147244230862 34.6037677836462)
7524,-95.4680452801028,35.7167323211282,sub_station,,,Pecan Creek Substation,Oklahoma Gas & Electric,,SRID=4326;POINT(-95.4680452801028 35.7167323211282)
5997,-97.4151655614894,35.2032718932556,sub_station,,,,,,SRID=4326;POINT(-97.4151655614894 35.2032718932556)
22774,-97.1853534624119,35.5185246166329,joint,138000;345000;138000;345000,60,,,,SRID=4326;POINT(-97.1853534624119 35.5185246166329)
12084,-96.6021733727757,34.8262731764259,sub_station,,,,,,SRID=4326;POINT(-96.6021733727757 34.8262731764259)
21768,-97.5456643991057,35.4643277634486,joint,,,,,,SRID=4326;POINT(-97.5456643991057 35.4643277634486)
6935,-97.2649233906336,35.2475287724629,sub_station,,,,,,SRID=4326;POINT(-97.2649233906336 35.2475287724629)
11577,-95.2505924245809,35.7716198982673,sub_station,,,,,,SRID=4326;POINT(-95.2505924245809 35.7716198982673)
