l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
42207,20477,2794,500000,3,,,,Bonneville Power Administration,Grizzly - Captain Jack,93576.6022945158,,,,,"","SRID=4326;LINESTRING(-121.358864595312 42.0839457073507,-120.987467847555 42.853471492003)"
2730,2830,30796,500000,3,,,,,Wautoma - Ostrander,49680.4741020657,,,,,"","SRID=4326;LINESTRING(-122.407125736776 45.3609629565728,-121.942332748617 45.6333079769953)"
3536,9150,31119,,,,,,,,5551.79984283769,,,,,"","SRID=4326;LINESTRING(-123.046822233258 44.5713188135184,-123.101255408597 44.6029343152336)"
7237,3412,29063,500000,3,3,,,,,4756.24890820835,,,,,"","SRID=4326;LINESTRING(-119.264704528721 45.8062373554612,-119.31134101461 45.7931806556746)"
8757,1225,20494,230000,3,,,,,,36725.8072767755,,,,,"","SRID=4326;LINESTRING(-121.115759427184 45.6063697327872,-121.555247096204 45.5268665636017)"
32934,9493,9500,230000,3,,60,,,,34306.9391170657,,,,,"","SRID=4326;LINESTRING(-123.564828407792 43.1776984848642,-123.35943783932 43.4158654412059)"
27322,3419,3420,500000,,,,,,,1338.62862435028,,,,,"","SRID=4326;LINESTRING(-123.238204416572 43.2061660425905,-123.225035988394 43.2181507688315)"
9495,3416,20840,230000,6,,,,,,931.813014457211,,,,,"","SRID=4326;LINESTRING(-123.173398483348 46.1782014676759,-123.16361773035 46.1714513037523)"
7287,2793,29087,500000,3,,,,Bonneville Power Administration,Grizzly-Summer Lake,25448.3628813409,,,,,"","SRID=4326;LINESTRING(-120.95589801516 43.0139691839401,-120.920485620764 43.2434956527749)"
25663,19635,19494,230000,3,,60,,,,287.787830594967,,,,,"","SRID=4326;LINESTRING(-122.844720296064 45.5613161736419,-122.844446220071 45.5639109158731)"
40656,29513,1194,230000,3;6;3,,,,,,3249.74496975485,,,,,"","SRID=4326;LINESTRING(-122.673393570551 44.772532666749,-122.698545340996 44.7996488972478)"
8036,2796,29368,500000,3,,,,Bonneville Power Administration,Grizzly - Captain Jack,57103.0032177838,,,,,"","SRID=4326;LINESTRING(-120.932648126093 44.2256000650592,-120.853780240336 43.7204005608479)"
40649,29278,1191,230000,3,,60,Parkdale,,,40049.9685361867,,,,,"","SRID=4326;LINESTRING(-122.999033470269 45.0145039283435,-122.777214261768 45.3291372314528)"
26100,1197,19692,230000,3,,,,,,469.544823006176,,,,,"","SRID=4326;LINESTRING(-122.660379291694 44.7709706932067,-122.667108362529 44.7686308726003)"
23300,28958,18036,,,,,,,,8758.2137184338,,,,,"","SRID=4326;LINESTRING(-123.840762426192 46.1428451522287,-123.733080899363 46.1674029937916)"
8818,23611,20522,230000,3;6;3;3;6;3,,60,,,,30900.1853532444,,,,,"","SRID=4326;LINESTRING(-123.416527169653 46.1464321064847,-123.040101624572 46.0899913904)"
4330,1171,29511,,,,,,,,1539.66771108556,,,,,"","SRID=4326;LINESTRING(-122.429928457263 45.5543348600764,-122.405472715239 45.5590059018721)"
2644,29513,30757,230000,,,,,,,76.2863616673983,,,,,"","SRID=4326;LINESTRING(-122.673393570551 44.772532666749,-122.674821423552 44.7701108181943)"
40658,20689,1197,230000,3;6;3;6,,,,,,35267.7725551448,,,,,"","SRID=4326;LINESTRING(-122.248464514377 44.7243448110085,-122.660379291694 44.7709706932067)"
23299,9519,18036,,,,,,,,1970.82562682912,,,,,"","SRID=4326;LINESTRING(-123.757301129748 46.1747495899808,-123.733080899363 46.1674029937916)"
40714,5124,1236,230000,3,,60,,Bonneville Power Administration,,103505.54422593,,,,,"","SRID=4326;LINESTRING(-121.21974198185 44.3198001721007,-121.035658990735 45.1937734825754)"
32612,4787,9151,230000,3,,60,,PacifiCorp,,23326.6175855056,,,,,"","SRID=4326;LINESTRING(-123.009719555381 44.3882036248308,-123.036464199869 44.5896605697969)"
1591,3286,30306,230000,,,,,,,738.2164286209,,,,,"","SRID=4326;LINESTRING(-122.865864493577 44.5045825060513,-122.865193220565 44.4968524296677)"
28167,8319,4372,,,,,Power Line,,,28475.4204462857,,,,,"","SRID=4326;LINESTRING(-121.20365676794 45.6321987903295,-121.524749562759 45.6883564634932)"
42249,1191,2830,500000,,,,,,,31019.2315677591,,,,,"","SRID=4326;LINESTRING(-122.777214261768 45.3291372314528,-122.407125736776 45.3609629565728)"
15822,9497,23669,,,,,,,,3012.62731610431,,,,,"","SRID=4326;LINESTRING(-124.190931492084 43.3414141542643,-124.228665002442 43.3414470144951)"
9492,30431,20839,230000,6,,60,,,,100.150544195691,,,,,"","SRID=4326;LINESTRING(-123.037173953912 46.1127402410144,-123.037232225892 46.1138062159582)"
40696,1223,1224,500000,,,,,,,651.917729454554,,,,,"","SRID=4326;LINESTRING(-121.113736721195 45.5953676483722,-121.107765323888 45.6036673458863)"
2656,1232,30760,,3,,,,,,368.527320138267,,,,,"","SRID=4326;LINESTRING(-119.647781407432 45.8452274054752,-119.647450513941 45.8408124553977)"
23521,9492,18039,,,,,,,,7166.64492959387,,,,,"","SRID=4326;LINESTRING(-124.07564503586 43.2130444165038,-124.164629944886 43.215343009009)"
6997,9514,28957,230000,3,,60,,,,8583.22244780423,,,,,"","SRID=4326;LINESTRING(-122.772833311002 42.3015089406589,-122.823132029312 42.3463115615427)"
3235,9493,31001,230000,3,,60,,,,47307.2927332668,,,,,"","SRID=4326;LINESTRING(-123.564828407792 43.1776984848642,-124.073635126057 43.2117814695965)"
4336,3286,29513,230000,,,,,,,35393.9952473372,,,,,"","SRID=4326;LINESTRING(-122.865864493577 44.5045825060513,-122.673393570551 44.772532666749)"
3552,1227,31126,230000,3,,,,,,505.900451928461,,,,,"","SRID=4326;LINESTRING(-119.313328812651 45.9240155626539,-119.319969846868 45.9216202288916)"
42217,2795,2796,500000,3,,,,Bonneville Power Administration,Grizzly - Malin,29049.2619535185,,,,,"","SRID=4326;LINESTRING(-121.020507582015 44.4818754407051,-120.932648126093 44.2256000650592)"
15821,18038,23669,,,,,,,,1529.91129075922,,,,,"","SRID=4326;LINESTRING(-124.22964290846 43.3276829979674,-124.228665002442 43.3414470144951)"
8331,2830,20301,230000,3,,60,Parkdale,,,17293.4737868944,,,,,"","SRID=4326;LINESTRING(-122.407125736776 45.3609629565728,-122.206359129537 45.3879236200437)"
4700,3313,29619,230000,,,,,,,26048.4416486949,,,,,"","SRID=4326;LINESTRING(-123.610058294929 44.6057576651518,-123.923421433636 44.6211717747662)"
