v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
3389,-124.010772992787,44.0074672090325,station,,,Wendson Substation,,,SRID=4326;POINT(-124.010772992787 44.0074672090325)
20522,-123.040101624572,46.0899913904,joint,230000,60,,,,SRID=4326;POINT(-123.040101624572 46.0899913904)
2397,-123.043715068508,44.0957110350406,substation,,,,,,SRID=4326;POINT(-123.043715068508 44.0957110350406)
20840,-123.16361773035,46.1714513037523,joint,230000,60,,,,SRID=4326;POINT(-123.16361773035 46.1714513037523)
1227,-119.313328812651,45.9240155626539,substation,,,McNary Substation,Bonneville Power Administration,,SRID=4326;POINT(-119.313328812651 45.9240155626539)
7844,-119.226938479061,45.8892043520845,sub_station,,,,,,SRID=4326;POINT(-119.226938479061 45.8892043520845)
3407,-116.858762205882,44.9858758488216,substation,,,,,,SRID=4326;POINT(-116.858762205882 44.9858758488216)
31001,-124.073635126057,43.2117814695965,joint,230000,60,,,,SRID=4326;POINT(-124.073635126057 43.2117814695965)
31121,-119.647585649843,45.8404120664868,joint,230000,,,,,SRID=4326;POINT(-119.647585649843 45.8404120664868)
7926,-118.58819264593,45.9029436749346,sub_station,,,,,,SRID=4326;POINT(-118.58819264593 45.9029436749346)
2806,-119.047830188047,43.6676054962023,station,,,,,,SRID=4326;POINT(-119.047830188047 43.6676054962023)
11000,-122.757690662312,43.915492153544,station,,,,,,SRID=4326;POINT(-122.757690662312 43.915492153544)
7642,-121.516219605457,43.6682773060647,substation,,,,,,SRID=4326;POINT(-121.516219605457 43.6682773060647)
20667,-122.897924186576,44.9561149686175,joint,230000,60,Bethel - BPA Tie (Santiam) 230kV,,,SRID=4326;POINT(-122.897924186576 44.9561149686175)
20477,-121.358864595312,42.0839457073507,joint,500000,,Path 66,Bonneville Power Administration,Malin - Captain Jack/Grizzly - Captain Jack,SRID=4326;POINT(-121.358864595312 42.0839457073507)
19327,-122.787838073959,45.3304633631763,joint,230000,,,,,SRID=4326;POINT(-122.787838073959 45.3304633631763)
18040,-123.23091088761,43.2160589617212,joint,,,,,,SRID=4326;POINT(-123.23091088761 43.2160589617212)
3412,-119.264704528721,45.8062373554612,substation,,,,,,SRID=4326;POINT(-119.264704528721 45.8062373554612)
28410,-120.737253895196,45.6773371498037,merge,230000;500000,,John Day Substation,Bonneville Power Administration,,SRID=4326;POINT(-120.737253895196 45.6773371498037)
18037,-124.233891221102,43.3429039738742,joint,,,,,,SRID=4326;POINT(-124.233891221102 43.3429039738742)
29368,-120.853780240336,43.7204005608479,merge,,,,,,SRID=4326;POINT(-120.853780240336 43.7204005608479)
19714,-119.309307429949,45.9148990794441,joint,500000,,,,,SRID=4326;POINT(-119.309307429949 45.9148990794441)
26855,-121.515353992415,43.6746318984648,joint,,60,,,,SRID=4326;POINT(-121.515353992415 43.6746318984648)
9151,-123.036464199869,44.5896605697969,sub_station,,,Fry Substation,PacifiCorp,,SRID=4326;POINT(-123.036464199869 44.5896605697969)
20474,-123.044423419404,43.9945136029817,joint,230000,60,,PacifiCorp,,SRID=4326;POINT(-123.044423419404 43.9945136029817)
3419,-123.238204416572,43.2061660425905,station,,,Dixonville Substation,PacifiCorp,,SRID=4326;POINT(-123.238204416572 43.2061660425905)
6168,-122.7879800487,45.1092835984835,sub_station,,,,,,SRID=4326;POINT(-122.7879800487 45.1092835984835)
1197,-122.660379291694,44.7709706932067,sub_station,,,,,,SRID=4326;POINT(-122.660379291694 44.7709706932067)
1233,-119.673629644202,45.8471259665407,sub_station,,,,,,SRID=4326;POINT(-119.673629644202 45.8471259665407)
19636,-122.841248936312,45.4630774025022,joint,230000;115000;115000;230000,60,,,,SRID=4326;POINT(-122.841248936312 45.4630774025022)
30757,-122.674821423552,44.7701108181943,joint,230000,,,,,SRID=4326;POINT(-122.674821423552 44.7701108181943)
5124,-121.21974198185,44.3198001721007,sub_station,,,,,,SRID=4326;POINT(-121.21974198185 44.3198001721007)
11219,-123.941853925012,44.6216291676283,sub_station,,,,,,SRID=4326;POINT(-123.941853925012 44.6216291676283)
9509,-121.249181032677,44.0082412803684,sub_station,,,,,,SRID=4326;POINT(-121.249181032677 44.0082412803684)
7643,-121.454247139571,43.6610960748709,substation,,,La Pine Substation,Bonneville Power Administration,,SRID=4326;POINT(-121.454247139571 43.6610960748709)
20494,-121.555247096204,45.5268665636017,joint,230000,,,,,SRID=4326;POINT(-121.555247096204 45.5268665636017)
30431,-123.037173953912,46.1127402410144,joint,230000,60,,,,SRID=4326;POINT(-123.037173953912 46.1127402410144)
2424,-121.210583306274,44.2701329951478,sub_station,,,Redmond Substation,Bonneville Power Administration,,SRID=4326;POINT(-121.210583306274 44.2701329951478)
9495,-123.346564999672,43.1932062833077,sub_station,,,,,,SRID=4326;POINT(-123.346564999672 43.1932062833077)
28958,-123.840762426192,46.1428451522287,merge,,,,,,SRID=4326;POINT(-123.840762426192 46.1428451522287)
1205,-123.034289827594,46.107915039387,station,,,Alston Substation,,,SRID=4326;POINT(-123.034289827594 46.107915039387)
