l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
41987,2506,2550,,,,,,,,5247.90997415805,,,,,"","SRID=4326;LINESTRING(-75.3584507970837 40.1144123074636,-75.4201700474037 40.1147003000685)"
29860,9757,6320,230000,3;6;6;3;3,,60,,,,6346.65013759685,,,,,"","SRID=4326;LINESTRING(-76.9919508312004 41.168618022951,-77.0175454539406 41.2217080217883)"
20118,25666,25671,,,,,,,,813.209667330401,,,,,"","SRID=4326;LINESTRING(-75.2482478163307 40.6822161884516,-75.2460348166283 40.6751258893922)"
20275,25747,25754,,,,,,,,1270.50977017136,,,,,"","SRID=4326;LINESTRING(-75.4004900686015 40.6409521580158,-75.3982682654093 40.6522458206279)"
40254,790,791,,,,,,,,497.063233894487,,,,,"","SRID=4326;LINESTRING(-75.3492383393988 40.6226358481099,-75.3581629148416 40.6204211848865)"
5591,5834,28489,,,,,,,,23398.1243431835,,,,,"","SRID=4326;LINESTRING(-75.5810903995247 41.4898012336282,-75.7998638608712 41.3764354308072)"
20187,13087,25710,,3,,,,,,207.188360487472,,,,,"","SRID=4326;LINESTRING(-75.3276129364776 40.7322357488002,-75.3249561262516 40.7314689693807)"
33179,23739,9776,230000,6;3;3,,60,,,,4132.49568843478,,,,,"","SRID=4326;LINESTRING(-75.7590669873023 40.4383085794277,-75.7638628478007 40.4769420063816)"
42351,25669,2912,,,,,,,,658.050465648451,,,,,"","SRID=4326;LINESTRING(-75.254088302982 40.7034967937165,-75.255823719791 40.710343038808)"
29342,22094,5726,,,,,,,,19106.8007248942,,,,,"","SRID=4326;LINESTRING(-76.4483922748434 41.7575550650854,-76.4326753576064 41.6076975838095)"
15933,23719,23720,230000,3,,60,,,,221.028474146566,,,,,"","SRID=4326;LINESTRING(-76.1559328881898 41.0916849946719,-76.1546791095477 41.0934469916393)"
3228,5814,30999,230000,3,,60,,,,4646.61186438485,,,,,"","SRID=4326;LINESTRING(-75.6094484014183 41.4970158553644,-75.6373715241585 41.5292319356296)"
35982,25746,13352,,,,,,,,350.32848719739,,,,,"","SRID=4326;LINESTRING(-75.3927021242458 40.7235632772796,-75.3927457329846 40.720182164428)"
20276,25751,25754,,3,,,,,,910.167867895017,,,,,"","SRID=4326;LINESTRING(-75.3967932317128 40.6600604183732,-75.3982682654093 40.6522458206279)"
2314,25685,30620,,,,,,,,1198.84010843933,,,,,"","SRID=4326;LINESTRING(-75.3854737404806 40.6709312106061,-75.3884959796311 40.681376359263)"
32471,9003,9005,345000,3,,60,Erie West - Wayne - Handsome Lake 345kV,,,30877.8895149295,,,,,"","SRID=4326;LINESTRING(-79.8081961655824 41.2914559033228,-80.0098117651793 41.5158095121984)"
33958,791,10666,,,,,,,,249.945855232061,,,,,"","SRID=4326;LINESTRING(-75.3581629148416 40.6204211848865,-75.3566312601452 40.6169972721796)"
8676,1441,18240,,,,,,,,417.621382030359,,,,,"","SRID=4326;LINESTRING(-79.466051604815 40.9281753519885,-79.4598455936746 40.9272563106007)"
5490,20520,28461,230000,6,,60,,,,293.059491970941,,,,,"","SRID=4326;LINESTRING(-76.7172352221722 40.1522350793779,-76.7241813065241 40.1529815652027)"
19988,25587,25593,,3,,,,,,397.937705758958,,,,,"","SRID=4326;LINESTRING(-75.3344837479865 40.6542796164172,-75.3319169018936 40.6572974146807)"
21307,26214,26211,,,,,,,,1684.14365413462,,,,,"","SRID=4326;LINESTRING(-80.1306738508634 40.4296308928327,-80.1446071700778 40.4387629045646)"
20002,25602,25603,,,,,,,,122.300454111006,,,,,"","SRID=4326;LINESTRING(-75.2268011677431 40.6695968594872,-75.2267179837478 40.6693243171678)"
20110,13373,25665,,,,,,,,10.1821899989072,,,,,"","SRID=4326;LINESTRING(-75.2672515176845 40.6804330867123,-75.266688073157 40.6805422602577)"
4586,2500,29586,,,,,,,,7185.20933563454,,,,,"","SRID=4326;LINESTRING(-75.6322795873094 39.9096286437983,-75.6659470697952 39.9688553598902)"
42337,2886,2893,230000;115000,,,,Glendon-Hosensack 115kV transmission line,,1015,33659.3769524936,,,,,"","SRID=4326;LINESTRING(-75.5039268007782 40.4552312826952,-75.2291913152196 40.6496928223365)"
3207,9013,30989,230000,3,,60,Forest - Elko 230kV,Pennsylvania Electric Company,,7166.16071953885,,,,,"","SRID=4326;LINESTRING(-78.7423183636284 41.4499033882027,-78.6738677147044 41.4126774642822)"
4551,691,29575,500000,3,,60,Branchburg - Deans 500kV transmission line,PJM,5019,14516.5021904772,,,,,"","SRID=4326;LINESTRING(-75.3100133629839 40.1715442666425,-75.3267204965299 40.2788525074053)"
42425,2973,2974,230000,,,,,,,26909.4604700267,,,,,"","SRID=4326;LINESTRING(-76.2067441924583 40.1420575565952,-76.2848763599415 39.9914933803352)"
12271,5746,22093,,,,,,,,1722.9060544362,,,,,"","SRID=4326;LINESTRING(-76.5256612196322 41.9073653134801,-76.5097524189774 41.9147304191452)"
27368,3473,3474,,,,,,,,235.465426522529,,,,,"","SRID=4326;LINESTRING(-79.3505900936876 40.6385727474351,-79.345984427876 40.641575692321)"
13475,21475,22586,230000,6;3;3;3,,60,,,,2557.4112639307,,,,,"","SRID=4326;LINESTRING(-76.1511197148974 41.0958363021049,-76.1207127306768 41.0962485141923)"
10829,28489,21478,230000,3,,60,,,,14.008403204738,,,,,"","SRID=4326;LINESTRING(-75.7998638608712 41.3764354308072,-75.8010958356798 41.3773166596348)"
33959,791,10666,,,,,,,,241.9688280358,,,,,"","SRID=4326;LINESTRING(-75.3581629148416 40.6204211848865,-75.3566312601452 40.6169972721796)"
2065,23741,30511,230000,3,,60,,,,3126.70018567948,,,,,"","SRID=4326;LINESTRING(-76.2424479264043 40.7662027829208,-76.20716435365 40.7606320763315)"
41051,673,1573,,,,,,,,9527.57282015303,,,,,"","SRID=4326;LINESTRING(-75.4728349364838 40.0548434688641,-75.585361074542 40.0363425999713)"
20245,25679,25739,,,,,,,,393.523949132499,,,,,"","SRID=4326;LINESTRING(-75.272692232853 40.7095583054678,-75.2772978054832 40.7090717678245)"
20307,2550,25768,,,,,,,,95.9476960208182,,,,,"","SRID=4326;LINESTRING(-75.4201700474037 40.1147003000685,-75.4196241841532 40.113475789485)"
