l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
29048,5395,5408,345000,3,,,West Farnum - Kent County 345kV transmission line;West Farnum - Sherman Road 345kV transmission line,,332,40.2905352924862,,,,,"","SRID=4326;LINESTRING(-71.6735031054601 42.0099481385914,-71.6695288587441 42.0095033337118)"
30246,5411,6789,345000,3,,,West Farnum - Kent County 345kV transmission line;West Farnum - Sherman Road 345kV transmission line,,332,2885.10867599737,,,,,"","SRID=4326;LINESTRING(-71.5193220892279 41.8277341364612,-71.5169194739052 41.8025659067489)"
29049,5395,5408,345000,3,,,Ocean State - Sherman Road 345kV transmission line,,333,30.579504053396,,,,,"","SRID=4326;LINESTRING(-71.6735031054601 42.0099481385914,-71.6695288587441 42.0095033337118)"
29224,5406,5595,345000,3,,,West Farnum - Kent County 345kV transmission line;West Farnum - Sherman Road 345kV transmission line,,332,10117.177429721,,,,,"","SRID=4326;LINESTRING(-71.5391549129707 41.9694747330029,-71.5269246502976 41.8814403852542)"
29223,5411,5595,115000,,,,,,S-171,5997.96436450242,,,,,"","SRID=4326;LINESTRING(-71.5193220892279 41.8277341364612,-71.5269246502976 41.8814403852542)"
29050,5406,5408,345000,3,,,West Farnum - Kent County 345kV transmission line;West Farnum - Sherman Road 345kV transmission line,,332,13972.7793847918,,,,,"","SRID=4326;LINESTRING(-71.5391549129707 41.9694747330029,-71.6695288587441 42.0095033337118)"
11939,5406,21966,,,,,,,,2137.86884609338,,,,,"","SRID=4326;LINESTRING(-71.5391549129707 41.9694747330029,-71.5132893015446 41.9729875601045)"
29155,5597,5522,,,,,,,,3411.58699797509,,,,,"","SRID=4326;LINESTRING(-71.4890351543673 41.8580857670209,-71.472748126774 41.8336777416713)"
29222,5411,5595,345000,3,,,West Farnum - Kent County 345kV transmission line;West Farnum - Sherman Road 345kV transmission line,,332,6020.14596337633,,,,,"","SRID=4326;LINESTRING(-71.5193220892279 41.8277341364612,-71.5269246502976 41.8814403852542)"
29226,5595,5597,,,,,,,,6466.01387037281,,,,,"","SRID=4326;LINESTRING(-71.5269246502976 41.8814403852542,-71.4890351543673 41.8580857670209)"
11938,5406,21966,345000,3,,,Brayton Point - West Farnum 345kV transmission line,,315,2346.68814535916,,,,,"","SRID=4326;LINESTRING(-71.5391549129707 41.9694747330029,-71.5132893015446 41.9729875601045)"
29225,5595,5596,,,,,,,,3777.58333969721,,,,,"","SRID=4326;LINESTRING(-71.5269246502976 41.8814403852542,-71.5646988278118 41.8746811365913)"
30244,5409,6789,345000,3,,,West Farnum - Kent County 345kV transmission line;West Farnum - Sherman Road 345kV transmission line,,332,14640.8243068096,,,,,"","SRID=4326;LINESTRING(-71.4794223438195 41.6832778499188,-71.5169194739052 41.8025659067489)"
