v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
6789,-71.5169194739052,41.8025659067489,substation,115000,60,,,,SRID=4326;POINT(-71.5169194739052 41.8025659067489)
5406,-71.5391549129707,41.9694747330029,substation,345000,,West Farnum Substation,,,SRID=4326;POINT(-71.5391549129707 41.9694747330029)
5411,-71.5193220892279,41.8277341364612,substation,,,Hartford Avenue Substation,,,SRID=4326;POINT(-71.5193220892279 41.8277341364612)
5408,-71.6695288587441,42.0095033337118,substation,345000,,Ocean State Substation,,,SRID=4326;POINT(-71.6695288587441 42.0095033337118)
5595,-71.5269246502976,41.8814403852542,substation,,,Wolf Hill Substation,,#19,SRID=4326;POINT(-71.5269246502976 41.8814403852542)
5596,-71.5646988278118,41.8746811365913,substation,,,,,,SRID=4326;POINT(-71.5646988278118 41.8746811365913)
5522,-71.472748126774,41.8336777416713,substation,,,,,,SRID=4326;POINT(-71.472748126774 41.8336777416713)
5395,-71.6735031054601,42.0099481385914,substation,345000,,Sherman Road Substation,,,SRID=4326;POINT(-71.6735031054601 42.0099481385914)
5409,-71.4794223438195,41.6832778499188,substation,345000;115000,,Kent County Substation,,,SRID=4326;POINT(-71.4794223438195 41.6832778499188)
21966,-71.5132893015446,41.9729875601045,joint,345000,,Brayton Point - West Farnum 345kV transmission line,,315,SRID=4326;POINT(-71.5132893015446 41.9729875601045)
5597,-71.4890351543673,41.8580857670209,substation,,,,,,SRID=4326;POINT(-71.4890351543673 41.8580857670209)
