l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
9076,18303,18301,,,,,,,,1420.1319514405,,,,,"","SRID=4326;LINESTRING(-81.6655029161283 34.2517229649268,-81.6503839105705 34.2543020047951)"
16223,18285,23854,230000,3,,60,Robinson Plant - Rockingham 230kV,Carolina Power & Light Company,,44112.108459945,,,,,"","SRID=4326;LINESTRING(-80.1358611724716 34.408545292972,-79.8573706783175 34.6460581956816)"
33305,9913,9918,115000,3,,60,,,,8284.33146409008,,,,,"","SRID=4326;LINESTRING(-79.9321234607889 33.0176568046699,-79.8727027853191 32.9762875112021)"
9081,18301,18304,,,,,,,,2566.85542555678,,,,,"","SRID=4326;LINESTRING(-81.6503839105705 34.2543020047951,-81.6305438988684 34.2577659941142)"
16165,23822,23824,230000,3,,60,,,,8626.72451480264,,,,,"","SRID=4326;LINESTRING(-81.0431589806116 34.0967878084144,-81.0731045901023 34.1571467933255)"
8713,18250,18251,,,,,,,,3342.27274974391,,,,,"","SRID=4326;LINESTRING(-81.6530458882519 33.2172409972427,-81.6756218988147 33.2406699673913)"
1816,30398,30399,,,,,,,,33193.0695349132,,,,,"","SRID=4326;LINESTRING(-80.1410538758156 34.2873153759906,-80.2207542120267 34.0001372934344)"
16197,23840,23838,230000;115000;230000,6;3,,60,,,,3434.85235504977,,,,,"","SRID=4326;LINESTRING(-80.8655766914803 32.6961902998018,-80.8919947066818 32.6762673236855)"
33235,9842,9845,230000,3,,60,,,,54563.5488480635,,,,,"","SRID=4326;LINESTRING(-79.3689820663029 34.195258533088,-79.6690971823044 34.5854151073036)"
11008,21559,21560,,,,,,,,1037.63160947544,,,,,"","SRID=4326;LINESTRING(-82.2460187767336 34.6889242686965,-82.2566288683858 34.685628154633)"
9099,18306,18307,,,,,,,,7572.95573693952,,,,,"","SRID=4326;LINESTRING(-80.8372308916791 33.5755549956734,-80.9054248795055 33.5393359546331)"
5666,4477,28505,230000,,,,230kV transmission line,Duke,,38952.724391517,,,,,"","SRID=4326;LINESTRING(-81.4335801581707 35.1573568007215,-81.0750101040616 35.0515281375588)"
989,9956,30062,,,,,,,,4860.17263963387,,,,,"","SRID=4326;LINESTRING(-81.0374768007039 34.1845226643869,-80.9864533423436 34.1985017323895)"
3272,15826,31016,,,,,,,,18876.3956184425,,,,,"","SRID=4326;LINESTRING(-81.1419076150299 34.3540043135949,-81.2978806233939 34.2499746352116)"
7105,9989,29008,230000;230000;115000;230000;115000,3;6;6,,60,,,,44888.2594856889,,,,,"","SRID=4326;LINESTRING(-80.1902591797545 32.8972535513667,-80.6206904010285 33.0642551452151)"
