v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
6191,-80.7807074566978,34.1790571721021,station,,,,,,SRID=4326;POINT(-80.7807074566978 34.1790571721021)
14593,-82.5162843564648,34.8096846689987,substation,,,,,,SRID=4326;POINT(-82.5162843564648 34.8096846689987)
28307,-82.7029417060365,34.5427405816103,merge,,,,,,SRID=4326;POINT(-82.7029417060365 34.5427405816103)
18300,-81.0639069195713,33.7889909850619,joint,,,,,,SRID=4326;POINT(-81.0639069195713 33.7889909850619)
18292,-80.6999070511633,34.333523590107,joint,,,,,,SRID=4326;POINT(-80.6999070511633 34.333523590107)
18301,-81.6503839105705,34.2543020047951,joint,,,,,,SRID=4326;POINT(-81.6503839105705 34.2543020047951)
9916,-80.0477438613338,32.9558848415454,station,,,,,,SRID=4326;POINT(-80.0477438613338 32.9558848415454)
21560,-82.2566288683858,34.685628154633,joint,,,,,,SRID=4326;POINT(-82.2566288683858 34.685628154633)
18251,-81.6756218988147,33.2406699673913,joint,,,,,,SRID=4326;POINT(-81.6756218988147 33.2406699673913)
23839,-80.8932644753359,32.676471255207,joint,115000;230000;230000;115000,60,,,,SRID=4326;POINT(-80.8932644753359 32.676471255207)
23815,-80.4027670825532,33.6216629870912,joint,230000,60,,,,SRID=4326;POINT(-80.4027670825532 33.6216629870912)
9842,-79.3689820663029,34.195258533088,station,,,,,,SRID=4326;POINT(-79.3689820663029 34.195258533088)
9910,-79.0595507366135,33.8600255035453,station,,,,,,SRID=4326;POINT(-79.0595507366135 33.8600255035453)
18298,-80.4810999058338,34.6855200128629,joint,,,,,,SRID=4326;POINT(-80.4810999058338 34.6855200128629)
10023,-82.5310901421988,35.025221045272,sub_station,,,,,,SRID=4326;POINT(-82.5310901421988 35.025221045272)
26265,-82.7234779316511,34.4766767892471,joint,,,,,,SRID=4326;POINT(-82.7234779316511 34.4766767892471)
30912,-82.1586390934791,34.9467508078727,joint,230000,,,,,SRID=4326;POINT(-82.1586390934791 34.9467508078727)
23831,-80.9575348016644,32.4696070507463,joint,230000;115000,60,,,,SRID=4326;POINT(-80.9575348016644 32.4696070507463)
18254,-81.6510308772381,33.2157280037166,joint,,,,,,SRID=4326;POINT(-81.6510308772381 33.2157280037166)
14002,-82.3140588403576,34.8440876538203,substation,,,,,,SRID=4326;POINT(-82.3140588403576 34.8440876538203)
18295,-80.3230689098722,34.4037070148712,joint,,,,,,SRID=4326;POINT(-80.3230689098722 34.4037070148712)
9928,-80.4395627059786,34.0427171023345,station,,,,,,SRID=4326;POINT(-80.4395627059786 34.0427171023345)
23813,-79.9282319438855,34.2500720973433,joint,230000,60,,,,SRID=4326;POINT(-79.9282319438855 34.2500720973433)
30343,-81.0804177951509,35.0568255094703,joint,230000;44000;44000,,Catawba - Pacolet 230kV transmission line;Catawba - Clover Transmission Line (Abandoned);Catawba - Clover Transmission Line (Abandoned),Duke,,SRID=4326;POINT(-81.0804177951509 35.0568255094703)
18255,-80.7378208968871,33.6188849540687,joint,,,,,,SRID=4326;POINT(-80.7378208968871 33.6188849540687)
9996,-80.9686465855488,32.2775541858614,sub_station,,,,,,SRID=4326;POINT(-80.9686465855488 32.2775541858614)
18271,-80.8896988823102,34.5557390086355,joint,,,,,,SRID=4326;POINT(-80.8896988823102 34.5557390086355)
13988,-82.6211115032407,34.8198463549423,substation,,,,,,SRID=4326;POINT(-82.6211115032407 34.8198463549423)
9999,-80.8761448357449,32.2767951897787,sub_station,,,,,,SRID=4326;POINT(-80.8761448357449 32.2767951897787)
21770,-82.5857614375245,34.8331531759028,joint,,,,,,SRID=4326;POINT(-82.5857614375245 34.8331531759028)
18262,-81.4546249303172,35.0727819914583,joint,,,,,,SRID=4326;POINT(-81.4546249303172 35.0727819914583)
23798,-79.9322197450948,33.5530612073896,joint,230000,60,,,,SRID=4326;POINT(-79.9322197450948 33.5530612073896)
28303,-82.742032851881,34.5981616997427,merge,,,,,,SRID=4326;POINT(-82.742032851881 34.5981616997427)
